epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.07559790532579835,0.7547000061380863,0.07163112610578537,245.5,274.9,8224.6
2,0.011718654548939394,0.7615399984383583,0.06939619779586792,242.3,283.9,8239.0
3,0.008875701203467133,0.7644000052237511,0.04575102776288986,244.2,280.7,8906.5
4,0.009186589753027169,0.7554800093221664,0.09731610119342804,242.7,271.4,8906.5
5,0.007504958336298563,0.7672600051498413,0.02885792963206768,230.0,260.4,8906.5
6,0.007018454201823595,0.7668000074350834,0.020689869299530983,241.4,251.0,8989.3
7,0.005202140134036997,0.7572999954223633,0.019320474937558174,254.2,273.6,9318.3
8,0.004726609973027846,0.7620199941325188,0.023426217958331108,264.0,273.8,9318.3
9,0.004847024118394724,0.7609199976229668,0.025619804859161377,256.1,262.9,9318.3
10,0.004603631495098982,0.7567800071036815,0.021897558122873306,255.7,267.8,10220.5
11,0.004057022122837299,0.7669599982309342,0.022005198523402214,236.2,272.1,10334.8
