epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.083084863686592,0.7588799977529049,0.0631275475025177,246.9,278.2,9135.4
2,0.010258001375145145,0.7618999964118004,0.031045716255903244,245.7,285.3,10026.8
3,0.006732391199448659,0.7660800025677681,0.02681197226047516,246.4,280.7,10444.3
4,0.005165412252274703,0.7583400107467174,0.03257707133889198,242.5,268.4,10444.3
5,0.005321874859391199,0.7630000175940991,0.03094678930938244,234.5,256.8,10444.3
6,0.005549775709740209,0.7649800095081329,0.04790160804986954,245.3,248.4,10444.3
7,0.005602231403641707,0.7557399947690964,0.04936836287379265,252.0,271.4,10444.3
8,0.006328053321043144,0.7664599939703941,0.029296347871422768,261.4,269.9,10444.3
9,0.0058724511894682535,0.7673600020229816,0.026379510760307312,256.2,262.5,10444.3
10,0.005345410997599212,0.7548199950015545,0.041972242295742035,253.0,271.6,10444.3
11,0.005178913766309163,0.7592400061321258,0.02580230124294758,236.8,271.0,10444.3
12,0.007149140523955682,0.7690599843740463,0.026210632175207138,230.7,278.5,10444.3
13,0.005953169235370445,0.7663200079572201,0.0367683582007885,229.2,266.9,10444.3
14,0.005938606911661978,0.7620799878561497,0.043576210737228394,227.2,264.1,10444.3
15,0.004856659158855221,0.76208000233531,0.03906429186463356,262.0,301.8,10444.3
