epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.1516894426728998,0.5408491913938522,0.15758493542671204,283.4,304.4,8231.7
2,0.08072925313394896,0.6123192319333554,0.14591462910175323,284.0,311.6,8246.1
3,0.07454365826382929,0.6495330499076843,0.13688595592975616,285.7,310.2,8246.1
4,0.06930720705386935,0.6850024257028103,0.13188090920448303,284.1,311.2,8246.1
5,0.06647740042179215,0.7162891920018196,0.12841537594795227,285.1,311.6,8246.1
6,0.06526731503937318,0.7252459925723076,0.12607762217521667,286.0,312.1,8246.1
7,0.06442987217510841,0.7287561418926716,0.12428713589906693,284.0,313.5,8246.1
8,0.06388418401154328,0.7300840611648559,0.12290257215499878,283.3,312.4,8246.1
9,0.06329216353823336,0.731695368218422,0.12176661938428879,285.2,315.9,8246.1
10,0.06289768836708093,0.7321971515655518,0.12074332684278488,290.6,298.7,8246.1
11,0.062458964387829205,0.7324589907550811,0.11995617300271988,248.9,268.5,8246.1
12,0.06215049275102056,0.7324382192468644,0.11950312554836273,238.6,277.1,8246.1
13,0.06183758398936111,0.7322702464735508,0.11905690282583237,242.4,275.9,8246.1
14,0.06161338005366982,0.7323969650328159,0.11869591474533081,242.1,279.3,8246.1
15,0.0612468405683734,0.7327260758471489,0.11809825152158737,247.9,290.2,8246.1
