epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.15067931709673582,0.17577408295770486,0.26341769099235535,4432.3,4235.5,6099.1
2,0.1331776132144584,0.23613590038269758,0.22497686743736267,4359.8,4180.3,6275.3
3,0.14283204497769475,0.17434685499742628,0.5572708249092102,4359.2,4183.1,6869.4
4,0.1451331291053969,0.2407405524233977,0.29405826330184937,4371.8,4194.1,7157.6
5,0.14538838850309285,0.24776507528672614,0.28435125946998596,4386.8,4171.5,7157.6
6,0.1438813363389431,0.2501549686342478,0.2992982864379883,4367.5,4166.8,7157.6
7,0.14496895447435895,0.24071724896430968,0.2710927128791809,4379.0,4158.9,7157.6
8,0.13989641370201772,0.22372314917693537,0.3340342938899994,4369.2,4207.7,7157.6
9,0.1417911790636362,0.2419158655330539,0.27563464641571045,4417.7,4225.5,7157.6
10,0.1403233683386805,0.2499963072180748,0.28924185037612915,4426.2,4239.3,7157.6
