epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.1532351955421419,0.1804235123236974,0.2862030267715454,4930.8,4729.0,6341.8
2,0.14520908269918706,0.21733702318916717,0.2868046760559082,4848.6,4772.2,6341.8
3,0.1448731935276781,0.22725483987629413,0.32224035263061523,4875.9,4852.0,6341.8
4,0.1462779677966797,0.24202641423443952,0.26706060767173767,4818.9,4760.6,6341.8
5,0.14412907259101235,0.2424044538885355,0.2885550260543823,4839.5,4809.4,6341.8
6,0.14305099518344605,0.23203585455367962,0.2872599959373474,4749.7,4744.2,6341.8
7,0.14139012350457025,0.24306396456062793,0.28588801622390747,4978.5,4937.6,6341.8
8,0.14353107389112646,0.2507163815662265,0.28555193543434143,4921.3,4796.5,6341.8
9,0.14613230111414954,0.2514046987483899,0.27919912338256836,4920.2,4896.9,6606.4
10,0.1455436168244771,0.24593332059731085,0.283580482006073,4769.8,4310.5,6606.4
