epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.15701634520602306,0.16285232644031444,0.34560447931289673,4872.2,4789.4,6247.2
2,0.14418519040157132,0.2009152277469635,0.3247348964214325,4803.1,4653.9,6247.2
3,0.14290200033843917,0.20966226554065942,0.29512640833854675,4858.0,4723.5,6247.2
4,0.1432538499880657,0.22875916721274456,0.32960808277130127,4828.9,4753.5,6247.2
5,0.1464004739025145,0.23780011915514868,0.2708103358745575,4863.5,4780.5,6247.2
6,0.15563116736097524,0.2506759921963016,0.2985602617263794,4731.5,4662.8,6247.2
7,0.14438509799215019,0.23646784660468498,0.31210821866989136,4720.6,4672.9,6831.8
8,0.14314846146301735,0.25046302978346746,0.28965145349502563,4670.9,4592.0,6831.8
9,0.1433716605217415,0.24914971672644218,0.28536662459373474,4876.7,4848.3,6831.8
10,0.14335069193460998,0.2485360826705893,0.27790021896362305,4855.0,4745.4,6831.8
