epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.1108742497630955,0.6601576928210259,0.09081808477640152,159.7,198.4,8333.3
2,0.052165294315704366,0.6961377705264091,0.06577941030263901,164.0,203.8,8347.8
3,0.047842443699842876,0.7005204168987275,0.05708715692162514,156.5,197.6,8347.8
4,0.046292939482583215,0.710918317297697,0.05493981018662453,155.9,198.2,8393.1
5,0.04229634704509961,0.719075337766409,0.0479719415307045,156.2,199.3,8426.2
6,0.040316630356474634,0.7209558521497249,0.045665036886930466,156.0,198.8,8426.2
7,0.039259355025577175,0.7211486663579941,0.04250302538275719,158.4,201.4,8599.2
8,0.03849554851113521,0.7214393268918992,0.042132556438446045,158.9,199.4,8732.6
9,0.03781237054769833,0.7225912194943428,0.041301507502794266,162.3,199.7,8732.6
10,0.037544586695730686,0.7260453891563415,0.04048294574022293,158.2,200.3,8732.6
11,0.03684510160045525,0.7243575755667686,0.039908938109874725,162.0,202.4,8732.6
12,0.03637547930222504,0.7260208700716495,0.0382654070854187,159.2,200.9,8732.6
13,0.035690064244356355,0.7270758777999878,0.037912968546152115,158.4,201.8,8732.6
14,0.03553459768365953,0.7257645012426376,0.03807220980525017,158.6,201.0,8732.6
15,0.03549596884278292,0.7258109835708141,0.04174213856458664,158.7,200.4,8732.6
