epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.34549978022512634,0.3629265943005681,0.4290015399456024,1558.9,1262.5,6556.2
2,0.24058027199952675,0.3724181370973587,0.39432233572006226,1550.6,1257.8,7141.1
3,0.23125216481100797,0.3725227169930935,0.40405479073524475,1566.7,1282.3,7141.1
4,0.22926352101665243,0.3715952766224742,0.39461010694503784,1566.1,1278.1,7649.4
5,0.22652125623273223,0.3696955916389823,0.4040783941745758,1568.1,1278.9,7809.8
6,0.22514106208612597,0.36955128290355205,0.40514618158340454,1571.0,1254.5,8263.0
7,0.2233196251038322,0.36946315796375273,0.40356558561325073,1583.4,1273.6,8608.8
8,0.2224748038259664,0.3650495527625084,0.4055578410625458,1526.6,1230.7,8608.8
9,0.22152343658464296,0.3696447223380208,0.39524734020233154,1468.0,1212.7,8608.8
10,0.2212488075396172,0.3709454246774316,0.4029143452644348,1441.7,1178.1,8608.8
11,0.22219533352811532,0.3689673508957028,0.40519165992736816,1433.9,1222.7,8608.8
