epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.012813253525270997,0.3382666655242443,0.5788182616233826,3037.5,3077.1,4852.2
2,0.004555624339698126,0.3759999978452921,0.2750645577907562,2926.2,2956.9,5924.5
3,0.005682234582618076,0.17076666803310314,0.8054163455963135,2897.0,2940.7,9456.0
4,0.010067722723303692,0.3104666667888562,0.5444585680961609,2908.0,2969.9,10155.9
5,0.005476495493160465,0.3651666656722625,0.33452537655830383,2925.0,2969.7,10155.9
6,0.007432427263642253,0.41569999998609225,0.23029600083827972,2909.4,2968.3,10155.9
7,0.018348906916140346,0.2673333353643616,0.6243170499801636,2928.4,2952.8,11800.5
8,0.6873652000557506,0.2999000016440948,0.4504757523536682,2924.5,2962.0,11800.5
9,0.017736747874569986,0.3649333341002464,0.3093564212322235,2922.3,2955.4,11800.5
10,0.0058776070726824624,0.34310000097652277,0.369404137134552,2925.3,3013.1,11800.5
