run,dataset,seed,head,core,val_mrr,test_mrr,test_hits10,finished
forum_abl_curonly,thgl-forum,43,REC on,current-only maps,0.6390461442090046,0.6475029310472113,0.7027667955805105,2026-09-13 11:31
forum_abl_curonly_s46,thgl-forum,46,REC on,current-only maps,0.5970923248663716,0.6099031559287126,0.6601871731578661,2026-09-15 03:04
forum_abl_identity,thgl-forum,43,REC on,identity maps,0.6208468056184606,0.6313291609545825,0.6899838453754632,2026-09-13 16:26
forum_abl_identity_s46,thgl-forum,46,REC on,identity maps,0.643751651384947,0.6500633659490559,0.7030246771979136,2026-09-14 22:29
forum_abl_nodelta,thgl-forum,43,REC on,no Delta_k,0.6411054474165372,0.6474948869573741,0.7020562899901811,2026-09-13 15:00
forum_abl_nodelta_s46,thgl-forum,46,REC on,no Delta_k,0.6119040134212504,0.6233383256856021,0.6927054924865418,2026-09-15 03:02
forum_abl_nomem,thgl-forum,43,REC on,no memory,0.6425410483473862,0.6491080161076297,0.7005524956159483,2026-09-15 07:49
forum_abl_nomem_s46,thgl-forum,46,REC on,no memory,0.6405455441894158,0.6478267060816746,0.702245981747617,2026-09-15 22:23
forum_coreoff_norec,thgl-forum,43,REC off,core OFF,0.2536413730401214,0.2372644542169087,0.3461855013492428,2026-09-14 22:51
forum_coreoff_norec_s46,thgl-forum,46,REC off,core OFF,0.2360489549845404,0.2201751497290645,0.3394441041078251,2026-09-15 21:56
forum_coreoff_norec_s47,thgl-forum,47,REC off,core OFF,0.2487840283004073,0.2320260988385767,0.3502490279224075,2026-09-17 05:26
forum_coreoff_rec,thgl-forum,43,REC on,core OFF,0.601966775580632,0.6150883266127067,0.6475150643355128,2026-09-15 07:42
forum_coreoff_rec_s46,thgl-forum,46,REC on,core OFF,0.6023613795668099,0.6150842270336785,0.6476127168700926,2026-09-15 22:07
forum_f_s43,thgl-forum,43,REC on,full,0.6229663878828519,0.6279851863704754,0.6825754371571802,2026-09-05 18:37
forum_f_s46,thgl-forum,46,REC on,full,0.6345150431407026,0.6412311482580632,0.6943841060540421,2026-09-07 02:43
forum_f_s47,thgl-forum,47,REC on,full,0.6018888419682515,0.6187274944382603,0.6525823367516175,2026-09-11 01:43
forum_norec_curonly,thgl-forum,43,REC off,current-only maps,0.3909623752280976,0.3842456007412674,0.5673899781077126,2026-09-15 03:25
forum_norec_curonly_s46,thgl-forum,46,REC off,current-only maps,0.416308126405197,0.4112601795877655,0.5449860025182013,2026-09-15 22:27
forum_norec_full,thgl-forum,43,REC off,full,0.4060855183130543,0.3940118118014095,0.5448148281884854,2026-09-15 07:51
forum_norec_full_s46,thgl-forum,46,REC off,full,0.409095854542181,0.4006918595762869,0.5359211455592578,2026-09-15 22:02
forum_norec_full_s47,thgl-forum,47,REC off,full,0.3554031809670085,0.3469586156369317,0.5585706579961731,2026-09-17 03:59
forum_norec_identity,thgl-forum,43,REC off,identity maps,0.2276779280898375,0.2203694883466112,0.4597970119817808,2026-09-15 07:43
forum_norec_identity_s46,thgl-forum,46,REC off,identity maps,0.3414231625868361,0.3324549436032786,0.5273900141969372,2026-09-15 22:12
forum_norec_identity_s47,thgl-forum,47,REC off,identity maps,0.3536406748377187,0.3257445062434097,0.5538241236275092,2026-09-17 03:30
forum_norec_nodelta,thgl-forum,43,REC off,no Delta_k,0.3654365803925927,0.360758431686101,0.50531547383284,2026-09-15 11:51
forum_norec_nodelta_s46,thgl-forum,46,REC off,no Delta_k,0.361907299967605,0.3513941346120325,0.5307312484683336,2026-09-15 22:10
forum_norec_nodelta_s47,thgl-forum,47,REC off,no Delta_k,0.391259698802863,0.3899712856797306,0.5558849307155528,2026-09-17 04:36
forum_norec_nomem,thgl-forum,43,REC off,no memory,0.4171525249833858,0.4087130126492935,0.5558425576657128,2026-09-15 09:02
forum_norec_nomem_s46,thgl-forum,46,REC off,no memory,0.3912564177746654,0.3829193315311225,0.5353725517099881,2026-09-15 21:59
icews_abl_curonly,tkgl-icews,43,REC on,current-only maps,0.3157741773471787,0.3285119192191082,0.5267628216819469,2026-09-14 17:50
icews_abl_identity,tkgl-icews,43,REC on,identity maps,0.3219813079365144,0.3368611076201042,0.5399675104920856,2026-09-14 17:54
icews_abl_nodelta_eval,tkgl-icews,43,REC on,no Delta_k,0.3217489039876325,0.3375142007180292,0.5405183156028841,2026-09-15 02:37
icews_abl_nomem,tkgl-icews,43,REC on,no memory,0.3172839436143652,0.3294988349413741,0.5242756016834208,2026-09-16 13:27
icews_abl_nomem_s46,tkgl-icews,46,REC on,no memory,0.3123036054982445,0.3269051694209502,0.5219835921961239,2026-09-17 07:28
icews_coreoff_norec,tkgl-icews,43,REC off,core OFF,0.0199160268590255,0.0172159058045131,0.0385672805033428,2026-09-16 04:12
icews_coreoff_norec_s46,tkgl-icews,46,REC off,core OFF,0.0243964653488588,0.0256281949712905,0.0594234655091678,2026-09-17 04:17
icews_coreoff_rec,tkgl-icews,43,REC on,core OFF,0.2979849694233258,0.319061778637057,0.5214742817926714,2026-09-16 14:01
icews_coreoff_rec_s46,tkgl-icews,46,REC on,core OFF,0.2996283026545567,0.3113882963671058,0.5074908986339922,2026-09-18 18:09
icews_eval_s43,tkgl-icews,43,REC on,full,0.3235238312974722,0.3386218864867703,0.5405479843181132,2026-09-11 23:24
icews_eval_s46,tkgl-icews,46,REC on,full,0.3227437193100907,0.3341947866141307,0.5288327457694774,2026-09-14 03:00
icews_eval_s47,tkgl-icews,47,REC on,full,0.3088133073799262,0.3326458931631487,0.5269528731613141,2026-09-13 23:23
icews_norec_curonly,tkgl-icews,43,REC off,current-only maps,0.0253024134899085,0.0216068916810823,0.0567390997465172,2026-09-16 08:59
icews_norec_curonly_s46,tkgl-icews,46,REC off,current-only maps,0.0304778921418438,0.0279403655615214,0.0595883629127328,2026-09-17 07:52
icews_norec_full,tkgl-icews,43,REC off,full,0.0308800554971177,0.0279846057919452,0.0647042662357728,2026-09-16 10:26
icews_norec_full_s46,tkgl-icews,46,REC off,full,0.0267747170372169,0.0203680265904127,0.0413858000658194,2026-09-17 05:26
icews_norec_identity,tkgl-icews,43,REC off,identity maps,0.0298833046433424,0.0250177132725342,0.0598932186993767,2026-09-16 12:37
icews_norec_identity_s46,tkgl-icews,46,REC off,identity maps,0.0307568475312471,0.0266848157059987,0.0607604886571472,2026-09-17 06:27
icews_norec_nodelta,tkgl-icews,43,REC off,no Delta_k,0.0296766545340862,0.0279285901197004,0.070480188903183,2026-09-16 13:35
icews_norec_nodelta_s46,tkgl-icews,46,REC off,no Delta_k,0.0275056566632527,0.0240298942989877,0.0502891830989801,2026-09-17 09:26
icews_norec_nomem,tkgl-icews,43,REC off,no memory,0.0304059345455961,0.0263627069194277,0.0562570920340665,2026-09-16 13:23
icews_norec_nomem_s46,tkgl-icews,46,REC off,no memory,0.0229610280220665,0.0191667956671667,0.0478473261335633,2026-09-16 20:39
polecat_abl_curonly,tkgl-polecat,43,REC on,current-only maps,0.2543648241627057,0.2476125469915536,0.4006619905872262,2026-09-12 21:04
polecat_abl_curonly_s46,tkgl-polecat,46,REC on,current-only maps,0.2529608954857726,0.2467899576703148,0.3987357216182811,2026-09-18 16:09
polecat_abl_identity,tkgl-polecat,43,REC on,identity maps,0.2507755770326225,0.2449254768156146,0.397121111044021,2026-09-12 20:57
polecat_abl_identity_s46,tkgl-polecat,46,REC on,identity maps,0.2501019246977746,0.2440185746415087,0.3942410956832169,2026-09-18 16:28
polecat_abl_nodelta,tkgl-polecat,43,REC on,no Delta_k,0.2501328823415141,0.2441376445832858,0.3977406712679882,2026-09-12 20:27
polecat_abl_nodelta_s46,tkgl-polecat,46,REC on,no Delta_k,0.2466892318382613,0.2407722905548344,0.3941340810315689,2026-09-18 16:01
polecat_f_s43,tkgl-polecat,43,REC on,full,0.2472286557681902,0.2403000034304314,0.3941528546385045,2026-09-05 23:56
polecat_f_s46,tkgl-polecat,46,REC on,full,0.2518201775849535,0.2460985191840125,0.3992332470564603,2026-09-08 23:10
polecat_f_s47,tkgl-polecat,47,REC on,full,0.252723530937182,0.2461634466937962,0.3975435374392707,2026-09-12 15:01
sp_abl_curonly,tkgl-smallpedia,43,REC on,current-only maps,0.6301516495956648,0.595924788723391,0.7102198837066034,2026-09-05 02:45
sp_abl_curonly_s46,tkgl-smallpedia,46,REC on,current-only maps,0.6413805398836238,0.6110305249109472,0.7117765282348755,2026-09-16 00:55
sp_abl_curonly_s47,tkgl-smallpedia,47,REC on,current-only maps,0.6429524959695292,0.6092045273143879,0.7118562019277799,2026-09-15 23:05
sp_abl_identity,tkgl-smallpedia,43,REC on,identity maps,0.6466548478456398,0.6181829827892553,0.7119236188130611,2026-09-04 23:15
sp_abl_identity_s46,tkgl-smallpedia,46,REC on,identity maps,0.6386929906999125,0.6062263694189525,0.7120216750252335,2026-09-15 23:16
sp_abl_identity_s47,tkgl-smallpedia,47,REC on,identity maps,0.6456739932521903,0.6154445466131291,0.7121503648994232,2026-09-15 23:10
sp_abl_nodelta,tkgl-smallpedia,43,REC on,no Delta_k,0.6453187028943603,0.6160227267823046,0.7128551413166728,2026-09-05 01:02
sp_abl_nodelta_s46,tkgl-smallpedia,46,REC on,no Delta_k,0.6385620132160562,0.6053613115896461,0.7125180794051094,2026-09-15 21:37
sp_abl_nodelta_s47,tkgl-smallpedia,47,REC on,no Delta_k,0.6412710462607698,0.6111548309061061,0.7139031180238302,2026-09-16 01:15
sp_f_s43,tkgl-smallpedia,43,REC on,full,0.6460062032429511,0.6164438131824711,0.7146446694870244,2026-09-05 00:34
sp_f_s46,tkgl-smallpedia,46,REC on,full,0.6383026609734654,0.6032514479112208,0.7132473690577067,2026-09-05 06:49
sp_f_s47,tkgl-smallpedia,47,REC on,full,0.6442271785284274,0.6111797571271381,0.7107285579129387,2026-09-05 09:59
sp_o_s43,tkgl-smallpedia,43,REC off,efficient (original) model,0.0263238307419155,0.0139322965388908,0.0207449807317084,2026-09-05 03:03
sw_abl_curonly,thgl-software,43,REC on,current-only maps,0.3804918713762141,0.4341200941254584,0.4720478279229966,2026-09-09 20:50
sw_abl_curonly_s46,thgl-software,46,REC on,current-only maps,0.385362568207875,0.4424667496171048,0.4862510113203198,2026-09-16 02:27
sw_abl_curonly_s47,thgl-software,47,REC on,current-only maps,0.3830483142677607,0.4397323931442057,0.4789659509280772,2026-09-16 02:22
sw_abl_identity,thgl-software,43,REC on,identity maps,0.3802446732757097,0.4357419709521494,0.4742136582563566,2026-09-09 01:32
sw_abl_identity_s46,thgl-software,46,REC on,identity maps,0.3836526896394432,0.4407569926911357,0.4850651757989487,2026-09-16 01:22
sw_abl_identity_s47,thgl-software,47,REC on,identity maps,0.3843976362842011,0.4410239014094569,0.4827919496708156,2026-09-16 01:15
sw_abl_nodelta,thgl-software,43,REC on,no Delta_k,0.382809954195066,0.4392225462091222,0.4813689479928339,2026-09-09 11:11
sw_abl_nodelta_s46,thgl-software,46,REC on,no Delta_k,0.3829535152200423,0.4397171850628737,0.4814360694218214,2026-09-16 01:52
sw_abl_nodelta_s47,thgl-software,47,REC on,no Delta_k,0.3854023887107815,0.4390691224999892,0.4825771582370348,2026-09-15 23:40
sw_f_s43,thgl-software,43,REC on,full,0.3795992666279121,0.4360192940843008,0.4736453505356431,2026-09-05 05:54
sw_f_s46,thgl-software,46,REC on,full,0.3844292875001592,0.4399680341391525,0.4796282287885221,2026-09-05 17:51
sw_f_s47,thgl-software,47,REC on,full,0.3798061961816557,0.4368618048309459,0.4744418728301235,2026-09-05 22:23
sw_o_s43,thgl-software,43,REC off,efficient (original) model,0.0532115471963451,0.0622738168395303,0.1280210857475927,2026-09-05 10:21
wd_abl_curonly,tkgl-wikidata,43,REC on,current-only maps,0.6377580265692873,0.5381421677215943,0.6090814896680292,2026-09-17 16:49
wd_abl_identity,tkgl-wikidata,43,REC on,identity maps,0.6420807737021286,0.5336320426707885,0.5950328451414092,2026-09-17 17:11
wd_abl_nodelta,tkgl-wikidata,43,REC on,no Delta_k,0.6434268721203226,0.5362135107331231,0.5982001783139389,2026-09-17 16:57
wd_f_s43,tkgl-wikidata,43,REC on,full,0.6440309238005584,0.5370788666432262,0.6017973897120726,2026-09-10 02:50
wd_f_s46,tkgl-wikidata,46,REC on,full,0.640763976212773,0.5500371345736689,0.6206359693410809,2026-09-12 13:43
wd_f_s47,tkgl-wikidata,47,REC on,full,0.6404688045006894,0.532305703439783,0.5951610774787377,2026-09-12 10:28
wd_o_s43,tkgl-wikidata,43,REC off,efficient (original) model,0.025905988356581,0.0244704853642178,0.0452681153150328,2026-09-10 02:40
wiki_abl_curonly,tgbl-wiki,43,REC on,current-only maps,0.7375024121478159,0.7252508802204197,0.8493713224238493,2026-09-09 06:28
wiki_abl_curonly_s46,tgbl-wiki,46,REC on,current-only maps,0.7464495531391075,0.7344555757331998,0.8507260489784779,2026-09-13 12:35
wiki_abl_curonly_s47,tgbl-wiki,47,REC on,current-only maps,0.746335978624525,0.7331915602752253,0.8515304179078239,2026-09-13 13:16
wiki_abl_identity,tgbl-wiki,43,REC on,identity maps,0.7402044491306409,0.7267484473304499,0.8483976127811564,2026-09-09 06:25
wiki_abl_identity_s46,tgbl-wiki,46,REC on,identity maps,0.7440514685686636,0.7334198446213445,0.8493289867518773,2026-09-13 13:08
wiki_abl_identity_s47,tgbl-wiki,47,REC on,identity maps,0.7411530252186018,0.7274644358029116,0.8491596462404005,2026-09-13 13:18
wiki_abl_nodelta,tgbl-wiki,43,REC on,no Delta_k,0.7387187975798234,0.7295151675066927,0.8498793453183789,2026-09-09 06:32
wiki_abl_nodelta_s46,tgbl-wiki,46,REC on,no Delta_k,0.739434708247797,0.7246289276084026,0.8489056357097516,2026-09-13 13:22
wiki_abl_nodelta_s47,tgbl-wiki,47,REC on,no Delta_k,0.7370099659018248,0.7252003429066817,0.8492443166847612,2026-09-13 13:10
wiki_embhead,tgbl-wiki,43,REC on,full +emb_in_head+learn_node_emb,0.7369071161720231,0.7145188524357062,0.8466618694899665,2026-09-09 06:29
wiki_f_s43,tgbl-wiki,43,REC on,full,0.7521191344960245,0.7357009219255755,0.8477625845386618,2026-09-05 01:55
wiki_f_s46,tgbl-wiki,46,REC on,full,0.7447171374770003,0.730524992957698,0.8498793446358059,2026-09-05 09:23
wiki_f_s47,tgbl-wiki,47,REC on,full,0.7438044920282972,0.7330750208806186,0.8508530546746687,2026-09-05 15:04
wiki_o_s43,tgbl-wiki,43,REC off,efficient (original) model,0.0200954720639603,0.0110351701036332,0.0163413913585622,2026-09-05 04:37
