epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.05577953282820575,0.09554999975189567,0.33472317457199097,898.4,882.7,7846.5
2,0.005919507318953888,0.11834999817237259,0.35022905468940735,895.6,880.6,8262.6
3,0.003593357682654435,0.11390000123605132,0.36833178997039795,891.5,954.8,8264.4
4,0.0028644405161449946,0.09179999936968088,0.45700281858444214,877.0,841.4,8264.4
5,0.002999907411572892,0.15220000099390746,0.26955315470695496,852.2,932.4,8264.4
6,0.0024141099404541015,0.09679999931119382,0.4168041944503784,854.1,837.9,8264.4
7,0.0024848874261321876,0.1268500030364841,0.3229619860649109,867.5,824.4,8264.4
8,0.0017922585780402963,0.11454999999627472,0.28318557143211365,853.9,838.6,8264.4
9,0.0017734134777149405,0.11925000153556466,0.3049653470516205,846.6,849.3,8264.4
10,0.0019357769736844529,0.1499500020250678,0.3054659962654114,852.1,855.2,8264.4
11,0.0014062018759896382,0.08195000026673079,0.4781818687915802,816.1,813.4,8264.4
12,0.0013648158751928736,0.11334999863803387,0.32764706015586853,822.3,807.7,8264.4
13,0.001230630512908669,0.07225000051558017,0.5057027339935303,824.8,806.3,8264.4
