epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.06377574427256022,0.4476499957576394,0.245496928691864,558.1,544.8,6357.6
2,0.005586621257730744,0.4508500016078353,0.2113477885723114,559.4,546.0,7160.7
3,0.0034495657492812555,0.4658500045195222,0.17078746855258942,558.9,552.5,7160.7
4,0.002430061940330921,0.46659999679327013,0.18900638818740845,554.5,564.9,7160.7
5,0.0017022137893481777,0.44960000195652244,0.18277232348918915,553.9,562.4,7160.7
6,0.001575308656033852,0.46404999791383744,0.16477465629577637,538.0,496.0,7533.1
7,0.001407036649633812,0.45980000359117984,0.17277003824710846,512.6,487.5,7533.1
8,0.002136434050590083,0.4703999984845519,0.16487178206443787,504.2,489.4,7533.1
9,0.0011669928183694813,0.47899999692589046,0.15255752205848694,501.2,490.0,7533.1
10,0.001654922525876981,0.45034999663531783,0.3916075527667999,503.6,493.4,7533.1
11,0.0020118728857400348,0.46079999867528676,0.18718531727790833,512.9,498.1,7533.1
12,0.0015579424553317511,0.46214999850541355,0.1950538009405136,517.4,533.9,7533.1
13,0.0016340521087192478,0.4655499974742532,0.1678587645292282,636.5,616.7,7533.1
14,0.0012954509597508715,0.4576500013023615,0.2200520634651184,630.5,618.4,7533.1
15,0.0019126191799044888,0.49064999353289607,0.19180694222450256,629.6,621.4,7533.1
16,0.0031673966153677926,0.4737500022217631,0.1603177785873413,632.0,621.4,9097.8
17,0.001449092366785295,0.48640000506788494,0.16544121503829956,627.5,618.6,9097.8
18,0.0019376420064125557,0.49220000066012143,0.1564316600561142,630.1,619.3,9097.8
19,0.0018636697199869215,0.4836500028848648,0.12199833989143372,620.3,605.4,9097.8
20,0.0013627947686145284,0.5165000101983547,0.11887506395578384,630.1,608.8,9097.8
