epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.035314193782160726,0.45874999980330466,0.18386469781398773,567.8,551.7,6353.6
2,0.004285248084361604,0.4633499964788556,0.16404908895492554,570.8,557.2,6769.9
3,0.0024939088146927403,0.477599998319149,0.14350955188274384,572.2,558.1,6769.9
4,0.00231756615240824,0.46219999812990425,0.19188454747200012,592.4,573.7,6769.9
5,0.0014164593947355027,0.47964998982697726,0.14654448628425598,593.1,572.1,6769.9
6,0.00222318292915206,0.475849997548759,0.18492530286312103,593.6,573.8,6769.9
7,0.0014390267615641624,0.46375000007897615,0.1578366905450821,589.5,578.0,6769.9
8,0.0015007255176378424,0.46169999857991934,0.18414613604545593,588.4,560.5,6769.9
9,0.0012415393815776875,0.49250000339597466,0.13146033883094788,583.4,548.4,6769.9
10,0.0012540989607838149,0.4974499978452921,0.1232835128903389,572.3,548.6,6769.9
11,0.0011990382765812056,0.48679999618679287,0.14933308959007263,578.4,563.8,6769.9
12,0.0014680392968369372,0.5018500006318093,0.09719590097665787,562.0,539.9,6769.9
13,0.0014614990473834164,0.5101999920338393,0.1865829974412918,561.1,536.0,6769.9
14,0.0015052703157170282,0.5065500074490905,0.11115816980600357,558.4,542.3,6769.9
15,0.0014653807271728541,0.5073500003322959,0.12379498779773712,560.2,542.7,6769.9
16,0.0012350732802065025,0.4758000024735928,0.14303696155548096,559.9,541.2,6769.9
17,0.0011315673059257715,0.4679499942928553,0.20677463710308075,556.9,539.2,6769.9
18,0.0013553146958789823,0.5085499986261129,0.13390566408634186,552.3,535.3,6769.9
19,0.0008134183312827711,0.48805000086426736,0.13561594486236572,552.6,544.2,6769.9
20,0.0013650465181349002,0.5041500042647123,0.14337223768234253,561.5,552.0,6769.9
