epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.1569382510319048,0.0073599999942258,0.29759544134140015,151.4,208.3,7873.3
2,0.05820768759871016,0.009560000077504665,0.2807233929634094,150.0,203.5,8748.4
3,0.05159395830515696,0.006139999999748543,0.18199443817138672,151.4,204.3,8748.4
4,0.05219059984902946,0.06328000031918288,0.14595666527748108,153.8,204.4,8748.4
5,0.03642955241838888,0.02280000013396144,0.09310399740934372,153.2,204.1,8748.4
6,0.02918599053685154,0.06462000026233494,0.09613734483718872,152.1,202.3,8748.4
7,0.024763860217086514,0.017659999924581497,0.0993104949593544,148.4,201.0,9291.7
8,0.04718967565164274,0.06511999956354499,0.1589982807636261,150.1,206.3,9291.7
9,0.0367496255595161,0.07232000052586197,0.10919547080993652,152.3,208.2,9291.7
10,0.03654242799218212,0.0032400000199256465,0.11045922338962555,152.0,206.3,9291.7
11,0.02960600491080965,0.008819999993182719,0.10861910879611969,150.7,206.7,9291.7
12,0.029429860051949412,0.04923999942705035,0.08548592031002045,151.0,206.7,9291.7
13,0.025412211137614688,0.029259999814368786,0.08659746497869492,153.1,206.0,9291.7
14,0.022373554353811304,0.017800000028125942,0.09325958788394928,148.9,206.4,9291.7
15,0.02164637529272206,0.017099999863356353,0.08451692014932632,152.8,206.2,9291.7
16,0.02287835635396899,0.05127999962240457,0.08281315863132477,151.2,210.2,9291.7
17,0.019212166351095145,0.06836000010758639,0.07329396158456802,150.3,207.2,9291.7
