epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.08913538030975936,0.7505199974441529,0.08447392284870148,192.9,215.3,13687.3
2,0.009982328956984744,0.758139994481802,0.042776431888341904,194.0,213.3,13701.0
3,0.006047006841387828,0.76336000705719,0.03188711032271385,192.6,213.6,13701.3
4,0.005017602246026604,0.7668999999642372,0.032703276723623276,193.2,212.6,13702.4
5,0.005834327638862009,0.761020010150671,0.032838523387908936,193.6,219.6,13702.4
6,0.006318497433498198,0.7624599977958202,0.029662905260920525,193.6,217.4,13702.4
7,0.0055801196413456785,0.7673599882936478,0.027085665613412857,193.8,216.3,13702.4
8,0.004356706669383055,0.7655799960005283,0.023434404283761978,194.2,215.5,13702.4
9,0.004333142151970568,0.7686199937009811,0.02275785431265831,192.5,213.2,13702.4
10,0.0035516084053040463,0.7628600032603741,0.022902097553014755,195.3,218.3,13702.4
11,0.0035754862545552303,0.7612600085401535,0.022227121517062187,195.6,214.9,13703.2
12,0.003638963009544401,0.7587600017297268,0.019812922924757004,196.4,215.2,13703.2
13,0.0034297299119928964,0.7659799897253513,0.021220896393060684,192.0,214.9,13703.2
14,0.0035509603710997166,0.7639600009667873,0.02143750712275505,191.9,210.2,13703.2
15,0.003386437588808488,0.7625600104522705,0.021430928260087967,190.9,215.2,13703.2
