epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.0711624232710016,0.7611800110435486,0.06471111625432968,311.3,317.5,8224.5
2,0.009879523360797641,0.7624599962139129,0.058625515550374985,307.8,316.2,8239.0
3,0.006546836764532693,0.7660400047028064,0.030596928671002388,309.3,317.0,8239.0
4,0.0055365488907246265,0.7660800087189674,0.029330585151910782,309.7,319.2,8239.0
5,0.00552585835768176,0.7680599980664253,0.024995606392621994,309.3,315.7,8239.0
6,0.00447292228428913,0.7654999988853931,0.026386594399809837,310.4,313.9,8239.0
7,0.004156304281014873,0.7649999942922592,0.027758214622735977,309.9,312.6,8239.0
8,0.0037669496698666135,0.7655000014853478,0.03081391379237175,308.5,311.8,8239.0
9,0.003669938920730991,0.7681399996340275,0.024949178099632263,309.0,312.5,8239.0
10,0.0033745474849675534,0.7677399944067002,0.02221773751080036,307.7,317.0,8239.0
11,0.0032062517533706005,0.7667599989044667,0.023216962814331055,308.1,317.9,8239.0
12,0.003296691476490957,0.7660599998414517,0.020177945494651794,308.1,316.9,8765.1
13,0.007497770046549184,0.7647199912047387,0.031180107966065407,306.5,311.9,9513.3
14,0.006031620723661035,0.7670999898922444,0.019619394093751907,309.4,319.0,9513.3
15,0.004406296393872067,0.767099998114109,0.02003595605492592,306.7,317.9,9513.3
