epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.0645461061429477,0.4293320779666305,0.22713328897953033,681.2,683.1,6348.2
2,0.005617074731311029,0.4371636276841164,0.17826709151268005,710.6,654.2,6764.4
3,0.003008034656883181,0.4432781027421355,0.1784677654504776,677.4,846.9,7331.9
4,0.0022785179972243243,0.4305268996372819,0.2011399269104004,865.6,848.2,7331.9
5,0.002311527426856942,0.436819992209971,0.19743652641773224,867.4,844.7,7331.9
6,0.001942547524389837,0.451474735416472,0.14623571932315826,866.1,845.4,7331.9
7,0.0025859160744677923,0.4416800186723471,0.16737093031406403,851.7,749.4,7331.9
8,0.0017437524398994993,0.44293856281936167,0.16715820133686066,684.6,673.3,9841.3
9,0.0021881241919027247,0.45298492452055217,0.13848380744457245,679.5,662.4,9841.3
10,0.0015530131255341152,0.4453949112355709,0.15749070048332214,667.2,628.3,9841.3
11,0.0012698800994162352,0.4510910152584314,0.15982457995414734,644.6,635.3,9841.3
12,0.001329679740988715,0.4525184687376022,0.18460600078105927,659.5,630.5,9841.3
13,0.0013571044856155602,0.440122419321537,0.20554274320602417,642.3,633.0,9841.3
14,0.0014251770444730241,0.44815785468369723,0.19709007441997528,647.6,629.6,9845.1
15,0.0016685922645802537,0.44843995965719224,0.1491067111492157,648.1,636.1,9845.1
16,0.00143196778613825,0.44430918391793967,0.21874746680259705,656.5,625.8,9845.1
17,0.0015667367561224073,0.4596701901242137,0.21328289806842804,647.4,628.8,9845.1
18,0.0019309252567041497,0.45155679749399424,0.16141214966773987,645.8,626.2,9845.1
19,0.001421202969471758,0.45108743910938504,0.1630183607339859,643.1,623.1,9845.1
20,0.0014558585410226507,0.43785125031918287,0.33859485387802124,635.9,620.4,9845.1
