epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.08850642406410161,0.046875000362517315,0.5647326111793518,452.6,397.7,708.4
2,0.1600019825638936,0.044000000426312906,0.6408275365829468,414.0,398.8,713.2
3,0.057349441793106866,0.05662500071222894,0.4659440815448761,417.7,399.8,713.2
4,0.07650857459305337,0.010875000063912012,0.4820803105831146,413.8,400.5,713.6
5,0.8025905801658181,0.06512500056438147,0.43816736340522766,417.3,395.3,713.6
6,,0.8978750033304095,,414.5,400.6,713.6
7,,0.9028750024214387,,413.1,415.9,713.6
8,,0.9012500019818545,,439.8,420.2,713.6
9,,0.9032500026375055,,442.8,421.5,713.6
10,,0.9100000026524067,,440.4,420.7,713.6
11,,0.9111250022798777,,440.2,421.5,713.6
12,,0.8987500023394823,,435.3,413.0,713.6
13,,0.8997500018924475,,436.9,416.9,713.6
14,,0.899625001899898,,437.6,417.6,713.6
15,,0.8991250023841858,,433.1,418.7,713.6
