epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.09078254297596138,0.08975000085774809,1.7007378339767456,437.1,418.5,52.2
2,0.15169402571790963,0.08212500052247196,0.4558733403682709,437.7,421.0,53.3
3,0.05991783814441755,0.13512500092340635,0.5817491412162781,437.4,419.8,53.3
4,0.0535112566008696,0.10462500116496813,0.25941136479377747,435.4,416.8,53.3
5,,0.9101250023543834,,435.7,419.9,53.3
6,,0.9105000022873282,,433.1,418.7,53.3
7,,0.911875001989305,,434.7,418.9,53.3
8,,0.9132500003576278,,434.9,427.7,53.3
9,,0.9106250015124678,,442.7,428.6,53.3
10,,0.9075000027045608,,441.7,426.2,53.3
11,,0.9063750027790666,,443.3,427.0,53.3
12,,0.9097500018179416,,443.2,426.1,53.3
13,,0.9091250021085143,,441.8,415.3,53.3
14,,0.9135000017732382,,430.5,414.3,53.3
15,,0.9026250019967555,,431.1,417.4,53.3
