trial_id,seed,val_ndcg,test_ndcg,best_epoch,n_params,minutes,error,hp_lr,hp_weight_decay,hp_temporal_d_model,hp_hidden_channels,hp_d,hp_layers,hp_feedback_dim,hp_diffusion_update,hp_dropout,hp_dt_init
2,43,0.7479637926529399,0.7773707471938992,14,2130807,6.492921145011981,,0.008448798426526148,6.177827389808546e-05,256,128,4,3,16,euler,0.1,0.01
0,43,0.44783178084200204,0.44173243529089823,26,2712470,7.56288539894546,,0.003008432418322604,4.012330468314133e-08,256,64,4,2,32,euler,0.0,0.003
1,43,0.25821250162522874,0.36166669385045114,62,599693,11.225710532255471,,0.0013395362958277795,4.7063975086399884e-07,64,64,6,5,16,euler,0.0,0.03
5,43,0.34915136001637187,0.3596663067361143,14,1272556,6.420953149224321,,0.00232785641358281,5.236812183218734e-08,64,64,6,4,64,direct,0.1,0.03
4,43,0.4387660074105373,0.35958171100688263,14,4856802,6.540112522834291,,0.0012247237927083129,6.665532514844873e-08,256,128,5,5,64,direct,0.1,0.01
3,43,0.3923274585190313,0.3751330054574856,58,1387159,10.47617434983452,,0.001633361255990565,2.959163437364258e-08,128,64,4,3,32,euler,0.0,0.03
7,43,0.47733307084268695,0.48388295361367334,6,1398881,6.081652689787249,,0.004196619579111269,7.048169400335606e-05,64,128,5,4,64,direct,0.1,0.003
6,43,0.42536202356913466,0.43653837988679445,6,599693,5.893929159020384,,0.004602380516777335,2.727947928271188e-06,64,64,6,5,16,direct,0.0,0.01
8,43,0.6661394610927398,0.6879507021477871,90,2333400,13.812885544511179,,0.01740741414512074,6.007923311201243e-05,128,64,4,4,64,direct,0.1,0.03
9,43,0.33441882139952434,0.31955460200752933,2,1398880,5.888873946666718,,0.00371416112048012,4.727274959342576e-06,64,128,5,3,64,euler,0.1,0.003
10,43,0.36313052880824725,0.3700192753262208,6,2753442,6.137406885530799,,0.0021004838277828403,1.4116521892485733e-07,256,64,5,5,32,euler,0.0,0.01
11,43,0.41754260560898837,0.3825983813098969,4,1456876,6.045645896128068,,0.003919920578474485,1.2922797028248662e-07,64,128,6,4,64,direct,0.1,0.03
12,43,0.813669877952449,0.8553133950148922,32,547319,8.003388119768351,,0.020232987737874523,6.775242058969922e-05,64,64,4,3,16,euler,0.0,0.01
14,43,0.4307431894821982,0.43710910605645376,10,2753442,6.104958853808542,,0.010469907799730354,1.1533622489504418e-06,256,64,5,5,32,direct,0.1,0.003
17,43,0.43423191844627285,0.40745885233349044,2,2208639,6.052675418059031,,0.008651668542346584,6.635476198364363e-05,256,128,5,2,16,direct,0.1,0.01
13,43,0.6560067456951691,0.6388724806264603,144,2333401,19.14038129619633,,0.01688985668393532,5.3625517457848553e-08,128,64,4,5,64,direct,0.1,0.003
20,43,0.5719790703821027,0.5862033882417647,62,1456875,11.086384649202227,,0.0034806476110222826,4.6576638117900466e-08,64,128,6,3,64,euler,0.0,0.01
15,43,0.7835928919127754,0.7880296117125536,192,547321,19.215453036905576,,0.005143604757523047,3.9973347778852664e-07,64,64,4,5,16,euler,0.1,0.03
23,43,0.3880576822324724,0.3411438058097015,4,963242,6.032880030510326,,0.002163110932184084,6.121032052630333e-08,64,128,6,2,32,direct,0.0,0.03
16,43,0.49690364431133754,0.4512349081489393,136,573439,18.205489572448034,,0.0011958054873309786,1.0021509156214375e-08,64,64,5,2,16,euler,0.1,0.003
18,43,0.478777271065474,0.4898682977604348,92,963244,13.747051529524226,,0.005184208439924575,2.2056604010436676e-08,64,128,6,4,32,euler,0.0,0.003
19,43,0.781947512327604,0.8491870258723745,28,1272556,7.74024362238124,,0.025393408702828354,1.2972676259821684e-06,64,64,6,4,64,euler,0.1,0.03
22,43,0.33705669816490974,0.35471679054267896,54,1647532,10.22108717467636,,0.0019321332112792263,2.6336382840606264e-06,128,128,6,4,32,euler,0.0,0.003
21,43,0.6447975054541345,0.6662210370437561,114,2208639,15.882212497014553,,0.012384605131909561,8.071568933678941e-08,256,128,5,2,16,direct,0.1,0.01
