cell,scenario,method,alpha,segment,mean,std,count
N32,A,cur,0.0,all,0.09597326516757172,0.005381042684425919,50
N32,A,cur,0.0,post,0.09689438398002018,0.015534954366812525,50
N32,A,cur,0.0,pre,0.1012213282844572,0.016977515230258918,50
N32,A,cur,0.01,all,0.09548949978218964,0.005382385676302083,50
N32,A,cur,0.01,post,0.0962888222220883,0.015417402244759093,50
N32,A,cur,0.01,pre,0.10082877840920623,0.016928436438712308,50
N32,A,cur,0.03,all,0.0948458974487213,0.005375782825872696,50
N32,A,cur,0.03,post,0.09520873861482261,0.015197645073331354,50
N32,A,cur,0.03,pre,0.10056885441086207,0.016783248174485784,50
N32,A,cur,0.1,all,0.0955101144390914,0.005419474020508734,50
N32,A,cur,0.1,post,0.09264973076068078,0.014607686379218379,50
N32,A,cur,0.1,pre,0.10423854534576353,0.01598382783534286,50
N32,A,cur,0.3,all,0.11154917671814892,0.00928035237351745,50
N32,A,cur,0.3,post,0.09249093949698244,0.015209465136260092,50
N32,A,cur,0.3,pre,0.1338545965772766,0.01540335734078282,50
N32,A,cur,1.0,all,0.18024485796951667,0.025255687301299894,50
N32,A,cur,1.0,post,0.11419848551074695,0.028672877566538187,50
N32,A,cur,1.0,pre,0.23599359055895777,0.023076813374346722,50
N32,A,cur,3.0,all,0.27158818834686616,0.04097828929635398,50
N32,A,cur,3.0,post,0.1568831280560335,0.048343323483764127,50
N32,A,cur,3.0,pre,0.3618434728828857,0.029885579140763428,50
N32,A,cur,10.0,all,0.34679237598591683,0.052359441432263315,50
N32,A,cur,10.0,post,0.19642065479280507,0.06394626889106426,50
N32,A,cur,10.0,pre,0.46325962478537264,0.032426708221759505,50
N32,A,cur,30.0,all,0.3825930823600964,0.05736733703716661,50
N32,A,cur,30.0,post,0.21602712532575594,0.07145711756081577,50
N32,A,cur,30.0,pre,0.5111375937536838,0.03259104518879828,50
N32,A,cur,100.0,all,0.3998743629487438,0.0596607438936526,50
N32,A,cur,100.0,post,0.22582832690963958,0.0752843429514671,50
N32,A,cur,100.0,pre,0.5340802766760777,0.03220121297013428,50
N32,A,hist,0.0,all,0.0959732651624186,0.00538104269134235,50
N32,A,hist,0.0,post,0.09689438397379271,0.01553495436837436,50
N32,A,hist,0.0,pre,0.10122132828021246,0.016977515234276055,50
N32,A,hist,0.01,all,0.09545068773288375,0.0053865354126362616,50
N32,A,hist,0.01,post,0.09637848676332479,0.01545587148639144,50
N32,A,hist,0.01,pre,0.1006588348686999,0.016908917343955897,50
N32,A,hist,0.03,all,0.09453202535173305,0.005382903979076953,50
N32,A,hist,0.03,post,0.09547396016965598,0.015310813131938907,50
