{'p': 40, 'n': 20, 'd': 2, 'N': 8, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 0.78125, 'moment_state_MiB': 0.18310546875, 'moment_state_nnz': 2488, 't_gram_recursion_s': 0.9715485591441393, 't_moment_recursion_s': 0.336496876552701, 't_dense_solve_s': 0.014902031049132347, 'peak_dense_solve_MiB': 2.345550537109375, 't_cg_solve_s': 0.010130763053894043, 'peak_cg_solve_MiB': 0.1017303466796875, 'cg_iters': 16, 'cg_vs_dense_max_abs_diff': 2.606248550307555e-14, 't_cur_s': 0.00042875297367572784, 't_in_s': 0.08519933000206947}
{'p': 40, 'n': 20, 'd': 2, 'N': 8, 'T': 100, 'alpha': 10.0, 'gram_state_MiB': 0.78125, 'moment_state_MiB': 0.18310546875, 'moment_state_nnz': 2488, 't_gram_recursion_s': 0.9715485591441393, 't_moment_recursion_s': 0.336496876552701, 't_dense_solve_s': 0.009757423773407936, 'peak_dense_solve_MiB': 2.3442611694335938, 't_cg_solve_s': 0.014939161017537117, 'peak_cg_solve_MiB': 0.08960819244384766, 'cg_iters': 33, 'cg_vs_dense_max_abs_diff': 1.7860712908657206e-14, 't_cur_s': 0.00034136325120925903, 't_in_s': 0.0822248924523592}
{'p': 40, 'n': 20, 'd': 2, 'N': 16, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 3.125, 'moment_state_MiB': 0.37841796875, 'moment_state_nnz': 6108, 't_gram_recursion_s': 5.007417054846883, 't_moment_recursion_s': 0.7184759639203548, 't_dense_solve_s': 0.03488687239587307, 'peak_dense_solve_MiB': 9.375465393066406, 't_cg_solve_s': 0.013706985861063004, 'peak_cg_solve_MiB': 0.33522891998291016, 'cg_iters': 15, 'cg_vs_dense_max_abs_diff': 2.538629029213979e-13, 't_cur_s': 0.0003578830510377884, 't_in_s': 0.13764416053891182}
{'p': 40, 'n': 20, 'd': 2, 'N': 16, 'T': 100, 'alpha': 10.0, 'gram_state_MiB': 3.125, 'moment_state_MiB': 0.37841796875, 'moment_state_nnz': 6108, 't_gram_recursion_s': 5.007417054846883, 't_moment_recursion_s': 0.7184759639203548, 't_dense_solve_s': 0.03404964692890644, 'peak_dense_solve_MiB': 9.375511169433594, 't_cg_solve_s': 0.02615957520902157, 'peak_cg_solve_MiB': 0.3336172103881836, 'cg_iters': 33, 'cg_vs_dense_max_abs_diff': 2.918359998105302e-13, 't_cur_s': 0.00036963261663913727, 't_in_s': 0.13973761163651943}
{'p': 40, 'n': 20, 'd': 2, 'N': 32, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 12.5, 'moment_state_MiB': 0.76904296875, 'moment_state_nnz': 23170, 't_gram_recursion_s': 19.95688222721219, 't_moment_recursion_s': 1.4880107156932354, 't_dense_solve_s': 0.16819948703050613, 'peak_dense_solve_MiB': 37.500465393066406, 't_cg_solve_s': 0.04601409286260605, 'peak_cg_solve_MiB': 1.2903633117675781, 'cg_iters': 15, 'cg_vs_dense_max_abs_diff': 4.955619248292464e-13, 't_cur_s': 0.0004133414477109909, 't_in_s': 0.27478740364313126}
{'p': 40, 'n': 20, 'd': 2, 'N': 32, 'T': 100, 'alpha': 10.0, 'gram_state_MiB': 12.5, 'moment_state_MiB': 0.76904296875, 'moment_state_nnz': 23170, 't_gram_recursion_s': 19.95688222721219, 't_moment_recursion_s': 1.4880107156932354, 't_dense_solve_s': 0.18861217983067036, 'peak_dense_solve_MiB': 37.500511169433594, 't_cg_solve_s': 0.09418061934411526, 'peak_cg_solve_MiB': 1.2903633117675781, 'cg_iters': 35, 'cg_vs_dense_max_abs_diff': 1.7877713198721779e-13, 't_cur_s': 0.00039066001772880554, 't_in_s': 0.27554241195321083}
{'p': 80, 'n': 40, 'd': 2, 'N': 8, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 3.125, 'moment_state_MiB': 0.732421875, 'moment_state_nnz': 4088, 't_gram_recursion_s': 3.3312139194458723, 't_moment_recursion_s': 0.5913410037755966, 't_dense_solve_s': 0.036874013021588326, 'peak_dense_solve_MiB': 9.375465393066406, 't_cg_solve_s': 0.009931785985827446, 'peak_cg_solve_MiB': 0.17505741119384766, 'cg_iters': 16, 'cg_vs_dense_max_abs_diff': 1.159922852211892e-13, 't_cur_s': 0.0004062037914991379, 't_in_s': 0.09867132641375065}
{'p': 80, 'n': 40, 'd': 2, 'N': 8, 'T': 100, 'alpha': 10.0, 'gram_state_MiB': 3.125, 'moment_state_MiB': 0.732421875, 'moment_state_nnz': 4088, 't_gram_recursion_s': 3.3312139194458723, 't_moment_recursion_s': 0.5913410037755966, 't_dense_solve_s': 0.024219542741775513, 'peak_dense_solve_MiB': 9.375511169433594, 't_cg_solve_s': 0.0233810693025589, 'peak_cg_solve_MiB': 0.17505741119384766, 'cg_iters': 43, 'cg_vs_dense_max_abs_diff': 1.494256107736902e-13, 't_cur_s': 0.0003783591091632843, 't_in_s': 0.09689667262136936}
{'p': 80, 'n': 40, 'd': 2, 'N': 16, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 12.5, 'moment_state_MiB': 1.513671875, 'moment_state_nnz': 10440, 't_gram_recursion_s': 15.273801868781447, 't_moment_recursion_s': 1.3135588448494673, 't_dense_solve_s': 0.20702438428997993, 'peak_dense_solve_MiB': 37.500465393066406, 't_cg_solve_s': 0.017329556867480278, 'peak_cg_solve_MiB': 0.6585092544555664, 'cg_iters': 16, 'cg_vs_dense_max_abs_diff': 1.3310186286474845e-13, 't_cur_s': 0.0003706812858581543, 't_in_s': 0.14658463932573795}
{'p': 80, 'n': 40, 'd': 2, 'N': 16, 'T': 100, 'alpha': 10.0, 'gram_state_MiB': 12.5, 'moment_state_MiB': 1.513671875, 'moment_state_nnz': 10440, 't_gram_recursion_s': 15.273801868781447, 't_moment_recursion_s': 1.3135588448494673, 't_dense_solve_s': 0.19741519168019295, 'peak_dense_solve_MiB': 37.500511169433594, 't_cg_solve_s': 0.04129199683666229, 'peak_cg_solve_MiB': 0.6585092544555664, 'cg_iters': 43, 'cg_vs_dense_max_abs_diff': 2.2355034490217918e-13, 't_cur_s': 0.00038880109786987305, 't_in_s': 0.14714116230607033}
{'p': 80, 'n': 40, 'd': 2, 'N': 32, 'T': 100, 'alpha': 1.0, 'gram_state_MiB': 50.0, 'moment_state_MiB': 3.076171875, 'moment_state_nnz': 42814, 't_gram_recursion_s': 99.29621949233115, 't_moment_recursion_s': 3.44587229937315, 't_dense_solve_s': 1.3016092274338007, 'peak_dense_solve_MiB': 150.0004653930664, 't_cg_solve_s': 0.14457318000495434, 'peak_cg_solve_MiB': 2.5628061294555664, 'cg_iters': 16, 'cg_vs_dense_max_abs_diff': 3.0270230766404893e-13, 't_cur_s': 0.0005443822592496872, 't_in_s': 0.2928240764886141}
