cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
N32,A,all,hist-cur,50,-0.0023579029908137876,-0.0026144608176968537,-0.002067366232388047,49,1,-0.02486035826787969
N32,A,all,hist-in,50,-1.7428373783817674e-06,-6.624636827715961e-06,3.035431604907317e-06,26,24,-1.884357583174364e-05
N32,A,all,in-cur,50,-0.002356160153435406,-0.0026156388827197853,-0.0020694116911046875,49,1,-0.02484198280383472
N32,A,all,hist-legs,50,-0.003485270709664219,-0.0037667304184651027,-0.003179719005530568,49,1,-0.03631501651609799
N32,A,all,cur-legs,50,-0.001127367718850431,-0.00120186562840039,-0.0010514623848938123,50,0,-0.0117466850469453
N32,A,post,hist-cur,50,-0.0017229697573047358,-0.001995386342508714,-0.0014205467775427012,47,3,-0.018096760679449802
N32,A,post,hist-in,50,1.1115096283209614e-07,-6.598681658025192e-06,6.509482584489825e-06,26,24,1.188962730315181e-06
N32,A,post,in-cur,50,-0.001723080908267568,-0.0019876955883186085,-0.0014258271376264902,47,3,-0.018097928124418083
N32,A,post,hist-legs,50,-0.003408615122502311,-0.0037808770933285903,-0.003004940521719949,49,1,-0.03517866549629103
N32,A,post,cur-legs,50,-0.0016856453651975752,-0.0018149132955919062,-0.0015584530540106777,50,0,-0.01739672926291743
N32,A,pre,hist-cur,50,-0.0031306591471966985,-0.003449429345840093,-0.002782384099838036,49,1,-0.03112950988192392
N32,A,pre,hist-in,50,-4.368421908038933e-06,-1.0991937799272253e-05,1.7684201843938545e-06,22,28,-4.483073661870092e-05
N32,A,pre,in-cur,50,-0.0031262907252886584,-0.003447209521946711,-0.002794181164267078,49,1,-0.031086072756845478
N32,A,pre,hist-legs,50,-0.003783133020791823,-0.004115579637833034,-0.0034511879928885926,49,1,-0.03737486046577333
N32,A,pre,cur-legs,50,-0.0006524738735951249,-0.0008162858435618494,-0.0004953265931054194,44,6,-0.006446011770972918
N32,B,all,hist-cur,50,0.0025604353926997215,0.0022528031527022183,0.002837385675527623,2,48,0.030207061123870668
N32,B,all,hist-in,50,-2.3653379540106157e-07,-6.950626028742399e-07,1.9867188393913475e-07,24,26,-2.708707775802724e-06
N32,B,all,in-cur,50,0.002560671926495123,0.002244598512630753,0.0028360741231022086,2,48,0.030209851661306575
N32,B,all,hist-legs,50,-0.0012453462584792333,-0.0013324161527337698,-0.0011609330208486575,50,0,-0.014060811294479449
N32,B,all,cur-legs,50,-0.0038057816511789548,-0.0041225960750949165,-0.003477375579304194,49,1,-0.04296987866697159
N32,B,post,hist-cur,50,0.002173994876412399,0.0018323565698240953,0.0024844309470029957,1,49,0.02537689142943162
N32,B,post,hist-in,50,-3.7302338259687095e-07,-8.929336155850259e-07,1.2434977483007098e-07,29,21,-4.246494749868302e-06
N32,B,post,in-cur,50,0.0021743678997949963,0.0018457105840746274,0.0024723589229994998,1,49,0.025381245705508128
N32,B,post,hist-legs,50,-0.001538171129375568,-0.001649569026329464,-0.0014291274327643255,50,0,-0.017209255918200606
N32,B,post,cur-legs,50,-0.003712166005787968,-0.0041190661808169216,-0.003283396679346807,49,1,-0.04153218948426351
N32,B,pre,hist-cur,50,0.0030900094682181044,0.0027458593829203896,0.003401179527373876,2,48,0.034639434878937905
N32,B,pre,hist-in,50,-1.976509820841854e-07,-8.829411601103954e-07,4.983137720956237e-07,26,24,-2.1415095092083653e-06
N32,B,pre,in-cur,50,0.003090207119200189,0.002750083817575426,0.003412969414007879,2,48,0.03464165057387123
N32,B,pre,hist-legs,50,-0.0010497823487447394,-0.0012171524847999448,-0.0008851120422578772,49,1,-0.011246291913267328
N32,B,pre,cur-legs,50,-0.004139791816962844,-0.004480860165534782,-0.003773946217926518,49,1,-0.04434948567137717
N4,A,all,hist-cur,50,-1.7559385927103933e-05,-2.3778354079006693e-05,-1.173639596078435e-05,39,11,-2.268377349407511e-05
N4,A,all,hist-in,50,1.7068010842291593e-06,2.612024290656879e-07,3.1425135691205976e-06,18,32,2.2049548307581126e-06
N4,A,all,in-cur,50,-1.926618701133309e-05,-2.5828673719111682e-05,-1.3212617259982126e-05,42,8,-2.4888673446432476e-05
N4,A,all,hist-legs,50,-1.5165739187648075e-05,-1.921202957498913e-05,-1.0947675836665503e-05,45,5,-1.9591645049397867e-05
N4,A,all,cur-legs,50,2.393646739455857e-06,-4.723173686120296e-06,1.0351617641799538e-05,31,19,3.0921985874095937e-06
N4,A,post,hist-cur,50,0.00023564510863748777,0.00019951082980162186,0.0002740340802963902,0,50,0.0003056080770875442
N4,A,post,hist-in,50,-6.908958995717196e-05,-0.00012624951677570173,-1.7903541494017334e-05,26,24,-8.956687260698385e-05
N4,A,post,in-cur,50,0.00030473469859465974,0.0002334300862973999,0.00038173190489529043,1,49,0.00039521034744937104
N4,A,post,hist-legs,50,-8.20463229596391e-05,-0.00014418795104635654,-2.7183809031754147e-05,26,24,-0.0001063620312184209
N4,A,post,cur-legs,50,-0.0003176914315971269,-0.0003974955273626594,-0.00024394522815311453,50,0,-0.0004118442453780755
N4,A,pre,hist-cur,50,-0.0003182174179363329,-0.0003787003962568172,-0.00026109578351714443,50,0,-0.0004153320361551828
N4,A,pre,hist-in,50,1.9958564066246964e-06,-4.021513497494076e-05,4.3071107047707587e-05,24,26,2.6060474673508813e-06
N4,A,pre,in-cur,50,-0.00032021327434295755,-0.00037424316296709844,-0.00027002200542786006,49,1,-0.00041793699445888773
N4,A,pre,hist-legs,50,-2.4249805288818482e-05,-6.820893944423834e-05,1.9396327442952444e-05,30,20,-3.166258745217884e-05
N4,A,pre,cur-legs,50,0.0002939676126475144,0.0002466254483268059,0.0003425194429925353,0,50,0.0003838288651270923
N4,B,all,hist-cur,50,1.0199788520177667e-05,6.9741820848799875e-06,1.3117975801154037e-05,5,45,1.3182953334333e-05
N4,B,all,hist-in,50,-1.1703405649932108e-07,-6.169918984704203e-07,3.874365953067672e-07,23,27,-1.5126136486301867e-07
N4,B,all,in-cur,50,1.0316822576676987e-05,7.0521276362082165e-06,1.3139673490412618e-05,5,45,1.3334216716147838e-05
N4,B,all,hist-legs,50,-6.748453285316814e-06,-8.879134105464815e-06,-4.598315675579556e-06,42,8,-8.722003973357271e-06
N4,B,all,cur-legs,50,-1.694824180549448e-05,-2.0695115570241227e-05,-1.2615843705840623e-05,45,5,-2.1904668539467108e-05
N4,B,post,hist-cur,50,2.599634878978074e-06,-2.004132937658118e-05,2.505520621657998e-05,25,25,3.3697924651252342e-06
N4,B,post,hist-in,50,9.97660594920713e-05,7.72892846584318e-05,0.00012469920831712874,0,50,0.00012933864971319844
N4,B,post,in-cur,50,-9.716642461309322e-05,-0.00012589691705327432,-6.914514577577747e-05,38,12,-0.00012595256671316658
N4,B,post,hist-legs,50,-1.346580210659809e-05,-3.5190439571884805e-05,7.712385058186539e-06,22,28,-1.7454764086588044e-05
N4,B,post,cur-legs,50,-1.6065436985576166e-05,-2.5333223157612384e-05,-6.038324431967499e-06,38,12,-2.0824486377515997e-05
