cell,scenario,method,alpha
N32,A,cur,0.03
N32,A,hist,0.1
N32,A,in,0.1
N32,A,legs,0.0
N32,A,point,3.0
N32,B,cur,0.1
N32,B,hist,0.03
N32,B,in,0.03
N32,B,legs,0.0
N32,B,point,1.0
N4,A,cur,0.03
N4,A,hist,0.03
N4,A,in,0.03
N4,A,legs,0.0
N4,A,point,3.0
N4,B,cur,0.03
N4,B,hist,0.01
N4,B,in,0.01
N4,B,legs,0.0
N4,B,point,1.0
N8,A,cur,0.03
N8,A,hist,0.03
N8,A,in,0.03
N8,A,legs,0.0
N8,A,point,3.0
N8,B,cur,0.03
N8,B,hist,0.01
N8,B,in,0.01
N8,B,legs,0.0
N8,B,point,1.0
R1_theta0,A,cur,1.0
R1_theta0,A,hist,1.0
R1_theta0,A,in,1.0
R1_theta0,A,legs,0.0
R1_theta0,A,point,30.0
R1_theta45,A,cur,1.0
R1_theta45,A,hist,1.0
R1_theta45,A,in,1.0
R1_theta45,A,legs,0.0
R1_theta45,A,point,30.0
R3_drift,A,cur,0.03
R3_drift,A,hist,0.1
R3_drift,A,in,0.1
R3_drift,A,legs,0.0
R3_drift,A,point,3.0
R3_drift,B,cur,0.1
R3_drift,B,hist,0.03
R3_drift,B,in,0.03
R3_drift,B,legs,0.0
R3_drift,B,point,1.0
R3_many,A,cur,0.1
R3_many,A,hist,0.1
R3_many,A,in,0.1
R3_many,A,legs,0.0
R3_many,A,point,3.0
R3_many,B,cur,0.1
R3_many,B,hist,0.1
R3_many,B,in,0.1
R3_many,B,legs,0.0
R3_many,B,point,3.0
R3_noisy_maps,A,cur,0.03
R3_noisy_maps,A,hist,0.1
R3_noisy_maps,A,in,0.1
R3_noisy_maps,A,legs,0.0
R3_noisy_maps,A,point,3.0
R3_noisy_maps,B,cur,0.1
R3_noisy_maps,B,hist,0.03
R3_noisy_maps,B,in,0.03
R3_noisy_maps,B,legs,0.0
R3_noisy_maps,B,point,1.0
R3_tau_shift,A,cur,0.03
R3_tau_shift,A,hist,0.1
R3_tau_shift,A,in,0.1
R3_tau_shift,A,legs,0.0
R3_tau_shift,A,point,3.0
R3_tau_shift,B,cur,0.1
R3_tau_shift,B,hist,0.03
R3_tau_shift,B,in,0.03
R3_tau_shift,B,legs,0.0
R3_tau_shift,B,point,1.0
d3_theta45,A,cur,0.03
d3_theta45,A,hist,0.1
d3_theta45,A,in,0.1
d3_theta45,A,legs,0.0
d3_theta45,A,point,3.0
d3_theta45,B,cur,0.1
d3_theta45,B,hist,0.03
d3_theta45,B,in,0.03
d3_theta45,B,legs,0.0
d3_theta45,B,point,1.0
frac0.1,A,cur,0.03
frac0.1,A,hist,0.1
frac0.1,A,in,0.1
frac0.1,A,legs,0.0
frac0.1,A,point,3.0
frac0.1,B,cur,0.1
frac0.1,B,hist,0.1
frac0.1,B,in,0.1
frac0.1,B,legs,0.0
frac0.1,B,point,3.0
frac0.25,A,cur,0.03
frac0.25,A,hist,0.1
frac0.25,A,in,0.1
frac0.25,A,legs,0.0
frac0.25,A,point,10.0
frac0.25,B,cur,0.1
frac0.25,B,hist,0.03
frac0.25,B,in,0.03
frac0.25,B,legs,0.0
frac0.25,B,point,1.0
frac1.0,A,cur,0.01
frac1.0,A,hist,0.1
frac1.0,A,in,0.1
frac1.0,A,legs,0.0
frac1.0,A,point,3.0
frac1.0,B,cur,0.1
frac1.0,B,hist,0.01
frac1.0,B,in,0.01
frac1.0,B,legs,0.0
frac1.0,B,point,0.3
snr-10,A,cur,3.0
snr-10,A,hist,10.0
snr-10,A,in,30.0
snr-10,A,legs,0.0
snr-10,A,point,100.0
snr-10,B,cur,30.0
snr-10,B,hist,3.0
snr-10,B,in,3.0
snr-10,B,legs,0.0
snr-10,B,point,100.0
snr-5,A,cur,1.0
snr-5,A,hist,3.0
snr-5,A,in,3.0
snr-5,A,legs,0.0
snr-5,A,point,100.0
snr-5,B,cur,10.0
snr-5,B,hist,1.0
snr-5,B,in,1.0
snr-5,B,legs,0.0
snr-5,B,point,100.0
snr0,A,cur,0.3
snr0,A,hist,1.0
snr0,A,in,1.0
snr0,A,legs,0.0
snr0,A,point,100.0
snr0,B,cur,1.0
snr0,B,hist,0.3
snr0,B,in,0.3
snr0,B,legs,0.0
snr0,B,point,30.0
snr20,A,cur,0.0
snr20,A,hist,0.01
snr20,A,in,0.01
snr20,A,legs,0.0
snr20,A,point,0.3
snr20,B,cur,0.01
snr20,B,hist,0.0
snr20,B,in,0.0
snr20,B,legs,0.0
snr20,B,point,0.1
snr30,A,cur,0.0
snr30,A,hist,0.0
snr30,A,in,0.0
snr30,A,legs,0.0
snr30,A,point,0.03
snr30,B,cur,0.0
snr30,B,hist,0.0
snr30,B,in,0.0
snr30,B,legs,0.0
snr30,B,point,0.01
tau0.2,A,cur,0.03
tau0.2,A,hist,0.1
tau0.2,A,in,0.1
tau0.2,A,legs,0.0
tau0.2,A,point,3.0
tau0.2,B,cur,0.1
tau0.2,B,hist,0.03
tau0.2,B,in,0.03
tau0.2,B,legs,0.0
tau0.2,B,point,1.0
tau0.8,A,cur,0.03
tau0.8,A,hist,0.1
tau0.8,A,in,0.1
tau0.8,A,legs,0.0
tau0.8,A,point,3.0
tau0.8,B,cur,0.1
tau0.8,B,hist,0.01
tau0.8,B,in,0.01
tau0.8,B,legs,0.0
tau0.8,B,point,0.3
theta0,A,cur,0.1
theta0,A,hist,0.1
theta0,A,in,0.1
theta0,A,legs,0.0
theta0,A,point,3.0
theta0,B,cur,0.1
theta0,B,hist,0.1
theta0,B,in,0.1
theta0,B,legs,0.0
theta0,B,point,3.0
theta0_snr0,A,cur,1.0
theta0_snr0,A,hist,1.0
theta0_snr0,A,in,1.0
theta0_snr0,A,legs,0.0
theta0_snr0,A,point,100.0
theta0_snr0,B,cur,1.0
theta0_snr0,B,hist,1.0
theta0_snr0,B,in,1.0
theta0_snr0,B,legs,0.0
theta0_snr0,B,point,100.0
theta10,A,cur,0.1
theta10,A,hist,0.1
theta10,A,in,0.1
theta10,A,legs,0.0
theta10,A,point,3.0
theta10,B,cur,0.1
theta10,B,hist,0.1
theta10,B,in,0.1
theta10,B,legs,0.0
theta10,B,point,3.0
theta10_snr0,A,cur,1.0
theta10_snr0,A,hist,1.0
theta10_snr0,A,in,1.0
theta10_snr0,A,legs,0.0
theta10_snr0,A,point,100.0
theta10_snr0,B,cur,1.0
theta10_snr0,B,hist,1.0
theta10_snr0,B,in,1.0
theta10_snr0,B,legs,0.0
theta10_snr0,B,point,100.0
theta20,A,cur,0.03
theta20,A,hist,0.1
theta20,A,in,0.1
theta20,A,legs,0.0
theta20,A,point,3.0
theta20,B,cur,0.1
theta20,B,hist,0.03
theta20,B,in,0.03
theta20,B,legs,0.0
theta20,B,point,3.0
theta20_snr0,A,cur,1.0
theta20_snr0,A,hist,1.0
theta20_snr0,A,in,1.0
theta20_snr0,A,legs,0.0
theta20_snr0,A,point,100.0
theta20_snr0,B,cur,1.0
theta20_snr0,B,hist,1.0
theta20_snr0,B,in,1.0
theta20_snr0,B,legs,0.0
theta20_snr0,B,point,100.0
theta30,A,cur,0.03
theta30,A,hist,0.1
theta30,A,in,0.1
theta30,A,legs,0.0
theta30,A,point,3.0
theta30,B,cur,0.1
theta30,B,hist,0.03
theta30,B,in,0.03
theta30,B,legs,0.0
theta30,B,point,1.0
theta30_snr0,A,cur,0.3
theta30_snr0,A,hist,1.0
theta30_snr0,A,in,1.0
theta30_snr0,A,legs,0.0
theta30_snr0,A,point,100.0
theta30_snr0,B,cur,1.0
theta30_snr0,B,hist,0.3
theta30_snr0,B,in,0.3
theta30_snr0,B,legs,0.0
theta30_snr0,B,point,100.0
theta45,A,cur,0.03
theta45,A,hist,0.1
theta45,A,in,0.1
theta45,A,legs,0.0
theta45,A,point,3.0
theta45,B,cur,0.1
theta45,B,hist,0.03
theta45,B,in,0.03
theta45,B,legs,0.0
theta45,B,point,1.0
theta45_snr0,A,cur,0.3
theta45_snr0,A,hist,1.0
theta45_snr0,A,in,1.0
theta45_snr0,A,legs,0.0
theta45_snr0,A,point,100.0
theta45_snr0,B,cur,1.0
theta45_snr0,B,hist,0.3
theta45_snr0,B,in,0.3
theta45_snr0,B,legs,0.0
theta45_snr0,B,point,30.0
theta5,A,cur,0.1
theta5,A,hist,0.1
theta5,A,in,0.1
theta5,A,legs,0.0
theta5,A,point,3.0
theta5,B,cur,0.1
theta5,B,hist,0.1
theta5,B,in,0.1
theta5,B,legs,0.0
theta5,B,point,3.0
theta5_snr0,A,cur,1.0
theta5_snr0,A,hist,1.0
theta5_snr0,A,in,1.0
theta5_snr0,A,legs,0.0
theta5_snr0,A,point,100.0
theta5_snr0,B,cur,1.0
theta5_snr0,B,hist,1.0
theta5_snr0,B,in,1.0
theta5_snr0,B,legs,0.0
theta5_snr0,B,point,100.0
theta60,A,cur,0.03
theta60,A,hist,0.1
theta60,A,in,0.1
theta60,A,legs,0.0
theta60,A,point,3.0
theta60,B,cur,0.1
theta60,B,hist,0.01
theta60,B,in,0.01
theta60,B,legs,0.0
theta60,B,point,0.3
theta60_snr0,A,cur,0.3
theta60_snr0,A,hist,1.0
theta60_snr0,A,in,1.0
theta60_snr0,A,legs,0.0
theta60_snr0,A,point,100.0
theta60_snr0,B,cur,1.0
theta60_snr0,B,hist,0.3
theta60_snr0,B,in,0.3
theta60_snr0,B,legs,0.0
theta60_snr0,B,point,10.0
theta90,A,cur,0.01
theta90,A,hist,0.1
theta90,A,in,0.1
theta90,A,legs,0.0
theta90,A,point,3.0
theta90,B,cur,0.1
theta90,B,hist,0.01
