cell,scenario,method,alpha,segment,mean,std,count
E1_a100_N16,A,cur,0.0,all,0.5155970702780046,0.0742747464971238,50
E1_a100_N16,A,cur,0.0,end,0.5591990851662758,0.23825439991313258,50
E1_a100_N16,A,cur,0.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,cur,0.0,pre,0.5094984076292856,0.10643219765802917,50
E1_a100_N16,A,cur,0.01,all,0.5122014635250888,0.07384781868398968,50
E1_a100_N16,A,cur,0.01,end,0.5555074946918395,0.23673085514438535,50
E1_a100_N16,A,cur,0.01,post,0.5484650388380302,0.10789564398576267,50
E1_a100_N16,A,cur,0.01,pre,0.5061502575363701,0.10577783471509006,50
E1_a100_N16,A,cur,0.03,all,0.5056398772549658,0.07301145996846686,50
E1_a100_N16,A,cur,0.03,end,0.5483242144851931,0.2337712303798159,50
E1_a100_N16,A,cur,0.03,post,0.5413719850153701,0.10661967195462244,50
E1_a100_N16,A,cur,0.03,pre,0.49972273616844676,0.10448904448751134,50
E1_a100_N16,A,cur,0.1,all,0.4848634600501685,0.0702440501940281,50
E1_a100_N16,A,cur,0.1,end,0.5250944480941285,0.22424072108989632,50
E1_a100_N16,A,cur,0.1,post,0.518430132590167,0.10250698119034654,50
E1_a100_N16,A,cur,0.1,pre,0.47978269899106607,0.1001639428451793,50
E1_a100_N16,A,cur,0.3,all,0.44003064472634207,0.06334287303248069,50
E1_a100_N16,A,cur,0.3,end,0.47155108031008025,0.20244896463523576,50
E1_a100_N16,A,cur,0.3,post,0.46552756089539526,0.09304855231350867,50
E1_a100_N16,A,cur,0.3,pre,0.4396006071022741,0.08906332741983479,50
E1_a100_N16,A,cur,1.0,all,0.3685480357687407,0.04660347318013263,50
E1_a100_N16,A,cur,1.0,end,0.36358665570158055,0.15875807466276817,50
E1_a100_N16,A,cur,1.0,post,0.3587450271719053,0.07353623246410398,50
E1_a100_N16,A,cur,1.0,pre,0.3920708490560089,0.06145812160091854,50
E1_a100_N16,A,cur,3.0,all,0.33870613506296315,0.03361753896930332,50
E1_a100_N16,A,cur,3.0,end,0.25613889831400777,0.11525379867169473,50
E1_a100_N16,A,cur,3.0,post,0.25226881242892507,0.05285550767927639,50
E1_a100_N16,A,cur,3.0,pre,0.40572221967606614,0.03508322001271319,50
E1_a100_N16,A,cur,10.0,all,0.3556209766604106,0.03880028515513196,50
E1_a100_N16,A,cur,10.0,end,0.18533268109734166,0.08837719036381013,50
E1_a100_N16,A,cur,10.0,post,0.1818573119147986,0.04007222317752919,50
E1_a100_N16,A,cur,10.0,pre,0.4588463851349699,0.026277812110437566,50
E1_a100_N16,A,cur,30.0,all,0.375293777048989,0.04321713195749108,50
E1_a100_N16,A,cur,30.0,end,0.16196640375750174,0.08041275590808132,50
E1_a100_N16,A,cur,30.0,post,0.15833794272874108,0.03706488746324989,50
E1_a100_N16,A,cur,30.0,pre,0.4937973418406009,0.02322722725697039,50
E1_a100_N16,A,cur,100.0,all,0.38799497611245287,0.04498304354866661,50
E1_a100_N16,A,cur,100.0,end,0.15728795499483994,0.0780510527886895,50
E1_a100_N16,A,cur,100.0,post,0.15355424844466362,0.03638366233742515,50
E1_a100_N16,A,cur,100.0,pre,0.5130255438332918,0.021684167171191746,50
E1_a100_N16,A,cur,300.0,all,0.39326827902419426,0.045610431872938374,50
E1_a100_N16,A,cur,300.0,end,0.15785337847193534,0.07775048379515528,50
E1_a100_N16,A,cur,300.0,post,0.15435783515107782,0.03667012465065684,50
E1_a100_N16,A,cur,300.0,pre,0.5203172229715812,0.0214156870770389,50
E1_a100_N16,A,cur,1000.0,all,0.3954851865383712,0.045917216132984946,50
E1_a100_N16,A,cur,1000.0,end,0.15857233175409152,0.07780197789416846,50
E1_a100_N16,A,cur,1000.0,post,0.15531543040523998,0.037099502030087356,50
E1_a100_N16,A,cur,1000.0,pre,0.5232427172161995,0.021411055502346024,50
E1_a100_N16,A,hist,0.0,all,0.5155970702780048,0.07427474649712379,50
E1_a100_N16,A,hist,0.0,end,0.5591990851662759,0.2382543999131327,50
E1_a100_N16,A,hist,0.0,post,0.5521100403917529,0.1085523908009616,50
E1_a100_N16,A,hist,0.0,pre,0.5094984076292858,0.10643219765802919,50
E1_a100_N16,A,hist,0.01,all,0.5121945253445971,0.07382924783421947,50
E1_a100_N16,A,hist,0.01,end,0.5555073959740815,0.2367318363120857,50
E1_a100_N16,A,hist,0.01,post,0.5484666482971384,0.10789655744866661,50
E1_a100_N16,A,hist,0.01,pre,0.50614161637826,0.10578254383721827,50
E1_a100_N16,A,hist,0.03,all,0.5055730209503867,0.07296668723475498,50
E1_a100_N16,A,hist,0.03,end,0.5483237755274646,0.2337739835507945,50
E1_a100_N16,A,hist,0.03,post,0.5413762872458403,0.10662228047820514,50
E1_a100_N16,A,hist,0.03,pre,0.49960897924515435,0.10452090050637827,50
E1_a100_N16,A,hist,0.1,all,0.4841540275853041,0.07021144920601396,50
E1_a100_N16,A,hist,0.1,end,0.5250914952635233,0.22424793411403507,50
E1_a100_N16,A,hist,0.1,post,0.5184390211273161,0.10251431402488828,50
E1_a100_N16,A,hist,0.1,pre,0.4784760007976997,0.10046042185018801,50
E1_a100_N16,A,hist,0.3,all,0.43474990390581847,0.06398900377207761,50
E1_a100_N16,A,hist,0.3,end,0.47153281098280203,0.2024585282475868,50
E1_a100_N16,A,hist,0.3,post,0.4655201980796513,0.0930620128759989,50
E1_a100_N16,A,hist,0.3,pre,0.4297244618717439,0.09117120372580165,50
E1_a100_N16,A,hist,1.0,all,0.3349595852521785,0.05131026993783837,50
E1_a100_N16,A,hist,1.0,end,0.3634763462043077,0.158730157765972,50
E1_a100_N16,A,hist,1.0,post,0.35854074379655027,0.07353135715013075,50
E1_a100_N16,A,hist,1.0,pre,0.331228695497231,0.07231552988585918,50
E1_a100_N16,A,hist,3.0,all,0.23514836629939115,0.03731404413481918,50
E1_a100_N16,A,hist,3.0,end,0.2557368313315963,0.11509571978365514,50
E1_a100_N16,A,hist,3.0,post,0.25134102165691014,0.052685117937676273,50
E1_a100_N16,A,hist,3.0,pre,0.23262886333204258,0.05259967887864955,50
E1_a100_N16,A,hist,10.0,all,0.16788079931879152,0.027416737247925413,50
E1_a100_N16,A,hist,10.0,end,0.18419161612917956,0.08804914441236225,50
E1_a100_N16,A,hist,10.0,post,0.17908852387548724,0.03914073928295116,50
E1_a100_N16,A,hist,10.0,pre,0.16582296532663374,0.038828214488183355,50
E1_a100_N16,A,hist,30.0,all,0.14380181215064658,0.024180554147210886,50
E1_a100_N16,A,hist,30.0,end,0.15976241361512952,0.07991948674286849,50
E1_a100_N16,A,hist,30.0,post,0.15332807522407685,0.03494631274462102,50
E1_a100_N16,A,hist,30.0,pre,0.14164817095707016,0.03391592889280048,50
E1_a100_N16,A,hist,100.0,all,0.13808760807587764,0.02317642071802105,50
E1_a100_N16,A,hist,100.0,end,0.1540602193225567,0.0771693187701024,50
