cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
E1_a100_N16,A,all,hist-cur,50,-0.20061852698708552,-0.20840589120627545,-0.19254400892394552,50,0,-0.5923085123621746
E1_a100_N16,A,all,hist-in,50,-0.005562543300422957,-0.007170774981469077,-0.004181282223250702,45,5,-0.038722850252009305
E1_a100_N16,A,all,in-cur,50,-0.19505598368666255,-0.20208054279993706,-0.18751930636517236,50,0,-0.5758855937179967
E1_a100_N16,A,all,hist-legs,50,-0.37750946220212694,-0.39328349039078403,-0.3615795251874103,50,0,-0.7321792228155558
E1_a100_N16,A,all,cur-legs,50,-0.1768909352150414,-0.19300048851474214,-0.16134720284614557,50,0,-0.3430797912014194
E1_a100_N16,A,end,hist-cur,50,-0.10207867899145107,-0.11556996825533992,-0.08899417801943456,50,0,-0.39852860952931096
E1_a100_N16,A,end,hist-in,50,-0.0031094894775817424,-0.00524580453621514,-0.0012220497552800013,34,16,-0.019784279689261625
E1_a100_N16,A,end,in-cur,50,-0.09896918951386931,-0.11328067063047106,-0.08569470080795295,50,0,-0.3863887529981497
E1_a100_N16,A,end,hist-legs,50,-0.40513886584371916,-0.45412096192141516,-0.35916703444187076,50,0,-0.724498441772759
E1_a100_N16,A,end,cur-legs,50,-0.3030601868522681,-0.3405575991697488,-0.268247632292653,50,0,-0.5419540104615054
E1_a100_N16,A,post,hist-cur,50,-0.10536173022876451,-0.11278723621375127,-0.09769450857680329,50,0,-0.41765658312776743
E1_a100_N16,A,post,hist-in,50,-0.006619548289030934,-0.008613760677113664,-0.004819127013747425,45,5,-0.043116612850413336
E1_a100_N16,A,post,in-cur,50,-0.09874218193973357,-0.10557650459147656,-0.0916645220580769,50,0,-0.3914165250512426
E1_a100_N16,A,post,hist-legs,50,-0.40520295819159224,-0.4291116220085881,-0.38245711940677946,50,0,-0.733917024772957
E1_a100_N16,A,post,cur-legs,50,-0.2998412279628277,-0.3162797164509613,-0.2830165304930708,50,0,-0.5430823676926319
E1_a100_N16,A,pre,hist-cur,50,-0.269494411885118,-0.27641547255189663,-0.2621657378000001,50,0,-0.6642338004072981
E1_a100_N16,A,pre,hist-in,50,-0.0049882036820728445,-0.00707546856074552,-0.00319688846031974,41,9,-0.03532321604357046
E1_a100_N16,A,pre,in-cur,50,-0.2645062082030452,-0.2713336039484467,-0.25727317784863196,50,0,-0.6519391726049177
E1_a100_N16,A,pre,hist-legs,50,-0.3732705998383375,-0.3959336618625964,-0.3511167937857489,50,0,-0.7326236829182236
E1_a100_N16,A,pre,cur-legs,50,-0.1037761879532194,-0.12665302275327395,-0.08126336966614668,47,3,-0.20368304669703235
E1_a100_N4,A,all,hist-cur,50,-0.2376081354465018,-0.2612339304881357,-0.21416055410637502,50,0,-0.5497146782030821
E1_a100_N4,A,all,hist-in,50,-0.02438386404270076,-0.03133902481519451,-0.0176262946876287,44,6,-0.1113343455758669
E1_a100_N4,A,all,in-cur,50,-0.21322427140380104,-0.2370825115654383,-0.18899542300796324,50,0,-0.4933017614046211
E1_a100_N4,A,all,hist-legs,50,-0.6351584777368289,-0.7459686620938245,-0.5508798262061138,50,0,-0.7654454302375221
E1_a100_N4,A,all,cur-legs,50,-0.39755034229032715,-0.5124692971084172,-0.3028499944744617,48,2,-0.4790978999127496
E1_a100_N4,A,end,hist-cur,50,-0.029731235334014137,-0.05098648580502283,-0.008014939479366207,38,12,-0.10226352101992382
E1_a100_N4,A,end,hist-in,50,-0.018581720871104653,-0.03868458089032983,0.0019207184377060733,33,17,-0.06646249159773482
E1_a100_N4,A,end,in-cur,50,-0.011149514462909486,-0.01770959549905966,-0.004470575303242932,35,15,-0.03834985643315169
E1_a100_N4,A,end,hist-legs,50,-0.851719584199869,-1.0358932505373417,-0.6840515914200039,50,0,-0.7654393166894264
E1_a100_N4,A,end,cur-legs,50,-0.821988348865855,-0.9953193480994058,-0.6645200778764534,50,0,-0.7387198929723128
E1_a100_N4,A,post,hist-cur,50,-0.04618895179369062,-0.059191665485259226,-0.033665304572703315,46,4,-0.13983173765562792
E1_a100_N4,A,post,hist-in,50,-0.03684324431133951,-0.05070689120263478,-0.024076926684734854,42,8,-0.11478633957619358
