cell,scenario,method,alpha
E1_a100_N16,A,cur,3.0
E1_a100_N16,A,hist,100.0
E1_a100_N16,A,in,100.0
E1_a100_N16,A,legs,0.0
E1_a100_N16,A,point,1000.0
E1_a100_N4,A,cur,30.0
E1_a100_N4,A,hist,100.0
E1_a100_N4,A,in,100.0
E1_a100_N4,A,legs,0.0
E1_a100_N4,A,point,1000.0
E1_a100_N8,A,cur,30.0
E1_a100_N8,A,hist,100.0
E1_a100_N8,A,in,100.0
E1_a100_N8,A,legs,0.0
E1_a100_N8,A,point,1000.0
E1_a10_N16,A,cur,3.0
E1_a10_N16,A,hist,10.0
E1_a10_N16,A,in,10.0
E1_a10_N16,A,legs,0.0
E1_a10_N16,A,point,300.0
E1_a10_N4,A,cur,10.0
E1_a10_N4,A,hist,10.0
E1_a10_N4,A,in,10.0
E1_a10_N4,A,legs,0.0
E1_a10_N4,A,point,1000.0
E1_a10_N8,A,cur,3.0
E1_a10_N8,A,hist,10.0
E1_a10_N8,A,in,10.0
E1_a10_N8,A,legs,0.0
E1_a10_N8,A,point,1000.0
E1_a1_N16,A,cur,1.0
E1_a1_N16,A,hist,1.0
E1_a1_N16,A,in,1.0
E1_a1_N16,A,legs,0.0
E1_a1_N16,A,point,30.0
E1_a1_N4,A,cur,1.0
E1_a1_N4,A,hist,1.0
E1_a1_N4,A,in,1.0
E1_a1_N4,A,legs,0.0
E1_a1_N4,A,point,100.0
E1_a1_N8,A,cur,1.0
E1_a1_N8,A,hist,1.0
E1_a1_N8,A,in,1.0
E1_a1_N8,A,legs,0.0
E1_a1_N8,A,point,100.0
E2_N16_snr-10,A,cur,1.0
E2_N16_snr-10,A,hist,10.0
E2_N16_snr-10,A,in,1000.0
E2_N16_snr-10,A,legs,0.0
E2_N16_snr-10,A,point,1000.0
E2_N16_snr-10,B,cur,1000.0
E2_N16_snr-10,B,hist,1.0
E2_N16_snr-10,B,in,1.0
E2_N16_snr-10,B,legs,0.0
E2_N16_snr-10,B,point,300.0
E2_N16_snr0,A,cur,0.1
E2_N16_snr0,A,hist,3.0
E2_N16_snr0,A,in,1000.0
E2_N16_snr0,A,legs,0.0
E2_N16_snr0,A,point,1000.0
E2_N16_snr0,B,cur,1000.0
E2_N16_snr0,B,hist,0.1
E2_N16_snr0,B,in,0.1
E2_N16_snr0,B,legs,0.0
E2_N16_snr0,B,point,3.0
E2_N16_snr10,A,cur,0.01
E2_N16_snr10,A,hist,1.0
E2_N16_snr10,A,in,1000.0
E2_N16_snr10,A,legs,0.0
E2_N16_snr10,A,point,1000.0
E2_N16_snr10,B,cur,1000.0
E2_N16_snr10,B,hist,0.01
E2_N16_snr10,B,in,0.01
E2_N16_snr10,B,legs,0.0
E2_N16_snr10,B,point,0.3
E2_N4_snr-10,A,cur,1.0
E2_N4_snr-10,A,hist,3.0
E2_N4_snr-10,A,in,1000.0
E2_N4_snr-10,A,legs,0.0
E2_N4_snr-10,A,point,1000.0
E2_N4_snr-10,B,cur,1000.0
E2_N4_snr-10,B,hist,1.0
E2_N4_snr-10,B,in,1.0
E2_N4_snr-10,B,legs,0.0
E2_N4_snr-10,B,point,300.0
E2_N4_snr0,A,cur,0.03
E2_N4_snr0,A,hist,1.0
E2_N4_snr0,A,in,1000.0
E2_N4_snr0,A,legs,0.0
E2_N4_snr0,A,point,1000.0
E2_N4_snr0,B,cur,1000.0
E2_N4_snr0,B,hist,0.1
E2_N4_snr0,B,in,0.03
E2_N4_snr0,B,legs,0.0
E2_N4_snr0,B,point,3.0
E2_N4_snr10,A,cur,0.01
E2_N4_snr10,A,hist,0.1
E2_N4_snr10,A,in,1000.0
E2_N4_snr10,A,legs,0.0
E2_N4_snr10,A,point,1000.0
E2_N4_snr10,B,cur,1000.0
E2_N4_snr10,B,hist,0.01
E2_N4_snr10,B,in,0.01
E2_N4_snr10,B,legs,0.0
E2_N4_snr10,B,point,0.3
E2_N8_snr-10,A,cur,1.0
E2_N8_snr-10,A,hist,3.0
E2_N8_snr-10,A,in,1000.0
E2_N8_snr-10,A,legs,0.0
E2_N8_snr-10,A,point,1000.0
E2_N8_snr-10,B,cur,1000.0
E2_N8_snr-10,B,hist,1.0
E2_N8_snr-10,B,in,1.0
E2_N8_snr-10,B,legs,0.0
E2_N8_snr-10,B,point,300.0
E2_N8_snr0,A,cur,0.03
E2_N8_snr0,A,hist,1.0
E2_N8_snr0,A,in,1000.0
E2_N8_snr0,A,legs,0.0
E2_N8_snr0,A,point,1000.0
E2_N8_snr0,B,cur,1000.0
E2_N8_snr0,B,hist,0.03
E2_N8_snr0,B,in,0.03
E2_N8_snr0,B,legs,0.0
E2_N8_snr0,B,point,3.0
E2_N8_snr10,A,cur,0.01
E2_N8_snr10,A,hist,0.1
E2_N8_snr10,A,in,1000.0
E2_N8_snr10,A,legs,0.0
E2_N8_snr10,A,point,1000.0
E2_N8_snr10,B,cur,1000.0
E2_N8_snr10,B,hist,0.01
E2_N8_snr10,B,in,0.01
E2_N8_snr10,B,legs,0.0
E2_N8_snr10,B,point,0.3
