cell,scenario,method,segment,mean,std,count,alpha
E1_a100_N16,A,cur,all,0.33870613506296315,0.03361753896930332,50,3.0
E1_a100_N16,A,cur,end,0.25613889831400777,0.11525379867169473,50,3.0
E1_a100_N16,A,cur,post,0.25226881242892507,0.05285550767927639,50,3.0
E1_a100_N16,A,cur,pre,0.40572221967606614,0.03508322001271319,50,3.0
E1_a100_N16,A,hist,all,0.13808760807587764,0.02317642071802105,50,100.0
E1_a100_N16,A,hist,end,0.1540602193225567,0.0771693187701024,50,100.0
E1_a100_N16,A,hist,post,0.14690708220016055,0.03337473523143079,50,100.0
E1_a100_N16,A,hist,pre,0.13622780779094815,0.03313954186072961,50,100.0
E1_a100_N16,A,in,all,0.1436501513763006,0.024693355580251018,50,100.0
E1_a100_N16,A,in,end,0.15716970880013842,0.07830858165794863,50,100.0
E1_a100_N16,A,in,post,0.1535266304891915,0.03677936227303343,50,100.0
E1_a100_N16,A,in,pre,0.14121601147302099,0.034051813842216984,50,100.0
E1_a100_N16,A,legs,all,0.5155970702780046,0.07427474649712378,50,0.0
E1_a100_N16,A,legs,end,0.5591990851662758,0.2382543999131326,50,0.0
E1_a100_N16,A,legs,post,0.5521100403917528,0.10855239080096164,50,0.0
E1_a100_N16,A,legs,pre,0.5094984076292856,0.10643219765802914,50,0.0
E1_a100_N16,A,point,all,0.5871932739072799,0.07535304886415725,50,1000.0
E1_a100_N16,A,point,end,0.32067290849719526,0.12031648548873412,50,1000.0
E1_a100_N16,A,point,post,0.6309521978261328,0.11588888272310158,50,1000.0
E1_a100_N16,A,point,pre,0.578740802279102,0.11689567850105453,50,1000.0
E1_a100_N4,A,cur,all,0.432239023020451,0.10900109998720679,50,30.0
E1_a100_N4,A,cur,end,0.29073158285075723,0.25830330621575237,50,30.0
E1_a100_N4,A,cur,post,0.3303180849217718,0.25399989512243903,50,30.0
E1_a100_N4,A,cur,pre,0.5373040579704665,0.11872992357657856,50,30.0
E1_a100_N4,A,hist,all,0.19463088757394917,0.10602464987449405,50,100.0
E1_a100_N4,A,hist,end,0.2610003475167431,0.25149294812089573,50,100.0
E1_a100_N4,A,hist,post,0.28412913312808113,0.22567613807262993,50,100.0
E1_a100_N4,A,hist,pre,0.20210183337876514,0.1666148426327855,50,100.0
E1_a100_N4,A,in,all,0.21901475161664993,0.10885127810341752,50,100.0
E1_a100_N4,A,in,end,0.27958206838784777,0.2488593916015281,50,100.0
E1_a100_N4,A,in,post,0.3209723774394206,0.25288526557051016,50,100.0
E1_a100_N4,A,in,pre,0.22395544305934265,0.16457191974984967,50,100.0
E1_a100_N4,A,legs,all,0.8297893653107781,0.4536342138462646,50,0.0
E1_a100_N4,A,legs,end,1.1127199317166123,0.8484761893152928,50,0.0
E1_a100_N4,A,legs,post,1.2052155765035089,0.829181052898514,50,0.0
E1_a100_N4,A,legs,pre,0.8566546971866331,0.613420646693335,50,0.0
E1_a100_N4,A,point,all,1.8634197650621567,1.025215347772087,50,1000.0
E1_a100_N4,A,point,end,1.334240647706896,1.0682744279863465,50,1000.0
E1_a100_N4,A,point,post,2.7233227411481415,1.8778359975673624,50,1000.0
E1_a100_N4,A,point,pre,1.913958487158826,1.4047192982650647,50,1000.0
E1_a100_N8,A,cur,all,0.39751420460036174,0.051889419788053844,50,30.0
E1_a100_N8,A,cur,end,0.22199048330877402,0.1521691548281237,50,30.0
E1_a100_N8,A,cur,post,0.1892177578761958,0.05846640488102716,50,30.0
E1_a100_N8,A,cur,pre,0.5003791500432033,0.028351627694592454,50,30.0
E1_a100_N8,A,hist,all,0.14849613763315297,0.036704243790438754,50,100.0
E1_a100_N8,A,hist,end,0.20924148754554334,0.14060706300457942,50,100.0
