run,group,dataset,arm,seed,lr,final_val_edges,final_test_edges,prep_sec,negatives_load_sec,train_sec_total,selection_eval_sec_total,reserved_buffer_mib,params_embeddings,params_ssm_input_selector_B,params_ssm_other,params_map_decoder,params_spatial_block,params_scorer,params_rec,params_other,params_total,params_trainable,params_unused_by_construction,params_active,hw_hostname,hw_python,hw_torch,hw_cuda_runtime,hw_cudnn,hw_torch_geometric,hw_py_tgb,hw_cpu_model,hw_cpu_cores,hw_ram_gib,hw_gpu_model,hw_gpu_vram_gib,hw_gpu_visible,hw_gpu_count_visible,hw_precision,hw_sync,hw_gpu_driver,hw_gpu_other_processes_at_start,final_val_loss,final_test_loss,final_eval_sec,final_replay_sec,final_val_sec,final_test_sec,final_eval_peak_gpu_mem_mb,final_eval_peak_gpu_reserved_mb,cpu_rss_mib,rec_keys_typed,rec_keys_untyped,rec_keys_symmetric,rec_keys_total,rec_cache_bytes,rec_cache_device,tracked_nodes,core_state_bytes,checkpoint_bytes,end_to_end_sec
sp_f_s47,audit,tkgl-smallpedia,tsd,47,0.01,162066,163172,5.8,2.0,0.0,0.0,3000,9056,620928,4261,128,2534,11719,177,0,648803,648803,0,648803,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,0,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,21,0.0915658101439476,0.1148368716239929,1007.7,176.4,469.2,362.1,22768.1,25728.0,51089.4,187872,180534.0,90269.0,458675,11008200,cuda:0,47433,15178560,2595216,1024.6
sw_f_s43,audit,thgl-software,tsd,43,0.001,223469,223471,5.5,6.6,0.0,0.0,3000,480,620928,4261,128,2534,2335,129,0,630795,630795,0,630795,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,0,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,22,0.3926432728767395,0.4030659794807434,1010.2,696.7,149.1,164.4,2342.6,3018.0,6171.4,1368217,880274.0,,2248491,53963784,cuda:0,681927,218216640,7978600,1041.3
sw_f_s46,audit,thgl-software,tsd,46,0.001,223469,223471,2.2,6.4,0.0,0.0,3000,480,620928,4261,128,2534,2335,129,0,630795,630795,0,630795,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,0,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,43,0.4130105078220367,0.4223442077636719,1049.5,681.3,160.6,207.5,2355.2,3018.0,6181.9,1368217,880274.0,,2248491,53963784,cuda:0,681927,218216640,7978600,1078.5
wiki_f_s46,audit,tgbl-wiki,tsd,46,0.0003,23621,23621,1.1,0.6,0.0,0.0,1500,0,435584,4245,128,2534,2114,81,0,444686,444686,0,444686,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,0,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,48,0.0934578031301498,0.1058566272258758,1365.4,915.8,191.9,257.7,195.8,1514.0,2433.1,18256,,,18256,438144,cuda:0,9227,2952640,1778748,1382.4
wiki_f_s47,audit,tgbl-wiki,tsd,47,0.0003,23621,23621,1.1,0.6,0.0,0.0,1500,0,435584,4245,128,2534,2114,81,0,444686,444686,0,444686,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,0,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,47,0.0927400141954422,0.1034775078296661,1344.9,877.1,203.2,264.6,181.7,1514.0,2453.5,18256,,,18256,438144,cuda:0,9227,2952640,1778748,1359.9
wiki_coreoff_s43_lr1e-3,matched,tgbl-wiki,core-off,43,0.001,23621,23621,1.0,0.6,603.7,277.6,1500,0,435584,4245,4288,2532,2114,81,0,448844,448844,440425,8419,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,3,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,10,0.0908225029706955,0.1102892532944679,56.5,25.7,14.1,16.7,89.0,1514.0,2263.4,18256,,,18256,438144,cuda:0,9227,2952640,1795380,942.8
wiki_coreoff_s43_lr3e-4,matched,tgbl-wiki,core-off,43,0.0003,23621,23621,0.9,0.6,483.7,226.3,1500,0,435584,4245,4288,2532,2114,81,0,448844,448844,440425,8419,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,7,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,49,0.0943996012210846,0.1102331131696701,52.3,22.3,13.2,16.8,89.0,1514.0,2250.1,18256,,,18256,438144,cuda:0,9227,2952640,1795380,769.7
attention,smoke,tgbl-wiki,attention-gates,43,0.0003,4000,4000,0.4,0.8,78.7,61.6,1500,0,435584,4245,257,2534,2114,81,0,444815,444815,0,444815,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,7,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,9,0.141208991408348,0.2196036726236343,76.9,55.4,11.1,10.4,131.1,1514.0,2436.6,4826,,,4826,115824,cuda:0,9227,2952640,1779264,220.4
coreoff,smoke,tgbl-wiki,core-off,43,0.0003,4000,4000,0.3,0.9,15.3,8.0,1500,0,435584,4245,4288,2532,2114,81,0,448844,448844,440425,8419,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,7,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,11,0.1365093141794204,0.1941431760787964,12.8,6.5,3.1,3.2,88.3,1512.0,2269.6,4826,,,4826,115824,cuda:0,9227,2952640,1795380,39.5
gru,smoke,tgbl-wiki,gru-sheaf,43,0.0003,4000,4000,0.4,0.8,72.0,58.4,1500,0,0,28609,128,2534,2114,81,0,33466,33466,0,33466,biaslab0.ics.uci.edu,3.9.9,2.8.0+cu128,12.8,91002,2.6.1,2.2.0,AMD EPYC 7713 64-Core Processor,256,2003.8,NVIDIA A100-SXM4-80GB,79.3,7,1,float32,torch.cuda.synchronize-free wall clock (perf_counter),560.35.05,12,0.137435644865036,0.2085119783878326,72.8,52.7,10.3,9.8,87.0,1514.0,2343.9,4826,,,4826,115824,cuda:0,9227,2952640,133868,206.4
