run,arm,seed,n,mrr,mrr_recurring,mrr_novel,frac_recurring,mrr_gap_first,mrr_gap_q1,mrr_gap_q2,mrr_gap_q3,mrr_gap_q4
wiki_attention_s44_lr1e-3,attention-gates,44,23621,0.7603846239161705,0.8498498093083683,0.019166969627116347,0.8922992252656534,0.0316110696004987,0.7889161539671752,0.8630343391034293,0.835311782530916,0.6701244011944703
wiki_attention_s45_lr1e-3,attention-gates,45,23621,0.7548577586240903,0.8447049906684778,0.010474853828667124,0.8922992252656534,0.009165880974555646,0.7837006174629365,0.8556648014603395,0.8318993974662282,0.6666885029099743
wiki_attention_s46_lr1e-3,attention-gates,46,23621,0.7481497944390003,0.8368030394297785,0.01365905360934951,0.8922992252656534,0.0189717870961823,0.7684921466638098,0.8472179190636814,0.8259300578598204,0.6669077841129633
wiki_attention_s47_lr1e-3,attention-gates,47,23621,0.7586333792567005,0.8488733584610905,0.010996570415926908,0.8922992252656534,0.014869899184323056,0.7974187705580674,0.868320511735816,0.8308696020183733,0.6561143501641552
wiki_coreoff_s44_lr1e-3,core-off,44,23621,0.7333773752973907,0.820031375241501,0.01545034824471148,0.8922992252656534,0.022228657301368627,0.7611144385852845,0.8440412489109054,0.8156587999226887,0.6257993636776638
wiki_coreoff_s45_lr1e-3,core-off,45,23621,0.7314694314285531,0.8180551143921347,0.014108409485386773,0.8922992252656534,0.02058963018907108,0.7531851846860464,0.8367059766446417,0.8128999422809038,0.6361592140797402
wiki_coreoff_s46_lr1e-3,core-off,46,23621,0.738635546910276,0.8261515296745804,0.013567005745478308,0.8922992252656534,0.018979061264816726,0.7718172424075813,0.8479130219676982,0.8193368170767488,0.6298878017334795
wiki_coreoff_s47_lr1e-3,core-off,47,23621,0.7270039309599994,0.8131941024000815,0.012919715770292555,0.8922992252656534,0.01757062193495105,0.7511732050303022,0.837464018788975,0.8096723976715825,0.6225590569124846
wiki_curonly_s44_lr1e-3,current-only-maps,44,23621,0.7678597310266059,0.8597627458044381,0.006444698608222576,0.8922992252656534,0.008427398579607564,0.8100927845843087,0.8731554735112234,0.8386164517572794,0.670206002989593
wiki_curonly_s45_lr1e-3,current-only-maps,45,23621,0.7626001761485199,0.8529564127424407,0.014000176663430662,0.8922992252656534,0.023589362561809754,0.7960584049451633,0.8655952924706513,0.8360145684988854,0.6701734261104161
wiki_curonly_s46_lr1e-3,current-only-maps,46,23621,0.7534528345343577,0.8432453601904557,0.009523171305752295,0.8922992252656534,0.013451682340338778,0.7814301479151616,0.8559973787675499,0.8321638341119676,0.661855284154595
wiki_curonly_s47_lr1e-3,current-only-maps,47,23621,0.7510506080350771,0.8403816457508996,0.01094436513555119,0.8922992252656534,0.015727611978823983,0.7730285094644536,0.8522645661503212,0.8287453903833669,0.6670858180712177
wiki_diag_s44_lr1e-3,diagssm-ordinary,44,23621,0.7688885119360289,0.8591085280515254,0.021417096972852965,0.8922992252656534,0.03578891352465559,0.8065926684661526,0.872771734323441,0.8401305599226853,0.67253946093429
wiki_diag_s45_lr1e-3,diagssm-ordinary,45,23621,0.7578343395588661,0.8482466496110845,0.008769772353439271,0.8922992252656534,0.012234105245614049,0.7874891613074022,0.8613485002106449,0.8350876819960549,0.6659267978832232
wiki_diag_s46_lr1e-3,diagssm-ordinary,46,23621,0.761362734482374,0.8507511543611394,0.020781081265104438,0.8922992252656534,0.03411723303853068,0.7969201145215485,0.8673808378005399,0.8339607066511155,0.6627654719167066
wiki_diag_s47_lr1e-3,diagssm-ordinary,47,23621,0.7539292788036234,0.8426403831048952,0.018959174496269538,0.8922992252656534,0.03168327395468667,0.7772722407035458,0.8541471604286743,0.8315470057067599,0.6675882537268462
wiki_gru_s44_lr1e-3,gru-ordinary,44,23621,0.7693698781946728,0.8610381183064896,0.009899950192801543,0.8922992252656534,0.013169989471287044,0.8099506012003973,0.8748684359390131,0.8420248031176066,0.6707684085739818
wiki_gru_s45_lr1e-3,gru-ordinary,45,23621,0.7615818297290161,0.8521617931209639,0.01112825723998976,0.8922992252656534,0.01418978282141432,0.7961564662188,0.8658447250618826,0.8354243119248986,0.6676702890482006
wiki_gru_s46_lr1e-3,gru-ordinary,46,23621,0.7600510553997663,0.8505003135263427,0.010680373979225517,0.8922992252656534,0.013382238466487723,0.7906868152922966,0.8636739228579767,0.8351464297160357,0.6693728753836401
wiki_gru_s47_lr1e-3,gru-ordinary,47,23621,0.7575794806531158,0.8477532404969287,0.010491298173539346,0.8922992252656534,0.014310898365496606,0.7868012600986031,0.8624396852176144,0.8318456276726433,0.6673806769867822
wiki_identity_s44_lr1e-3,identity-maps,44,23621,0.7648430843132582,0.856365452953263,0.006581699161772842,0.8922992252656534,0.008412993273393298,0.8024231625848476,0.8718656632987064,0.8378759664198192,0.6674011619048394
wiki_identity_s45_lr1e-3,identity-maps,45,23621,0.7649155658942309,0.8551236934128725,0.01754264776907043,0.8922992252656534,0.032276119377083454,0.7997459628442632,0.8681623273990299,0.8368640029049857,0.6713124367205959
wiki_identity_s46_lr1e-3,identity-maps,46,23621,0.7612101382920061,0.8522409118561077,0.007021610614894534,0.8922992252656534,0.009881652891323301,0.7937058751856646,0.865160027738148,0.836243817755238,0.6691354705744557
wiki_identity_s47_lr1e-3,identity-maps,47,23621,0.7610349220098425,0.8516888288000125,0.00996872962917809,0.8922992252656534,0.014983658274573715,0.7993232718023799,0.8658193334471687,0.8362413284742283,0.6612943280734804
wiki_nodeframe_s44_lr1e-3,node-frame,44,23621,0.7550841137062553,0.8455304978893908,0.005737242861935893,0.8922992252656534,0.006717074986401926,0.7856488237670121,0.857043334775765,0.832335195927355,0.6642504259498359
wiki_nodeframe_s45_lr1e-3,node-frame,45,23621,0.7479104997403492,0.8370656053853698,0.009261851281189734,0.8922992252656534,0.012628761495033116,0.7677330437346145,0.8488530184992485,0.8269409524507769,0.6650435554987411
wiki_nodeframe_s46_lr1e-3,node-frame,46,23621,0.752882351648218,0.841777139722404,0.016390430170381207,0.8922992252656534,0.026653076041998652,0.7755373230469299,0.852502306109779,0.8302011766685828,0.6687583478620671
wiki_nodeframe_s47_lr1e-3,node-frame,47,23621,0.7516840137824878,0.8411840115141158,0.010177939808620329,0.8922992252656534,0.013805791107504014,0.7749443464036686,0.8515969888080884,0.8297393922217005,0.6677696171083102
wiki_tsd_s44_lr1e-3,tsd,44,23621,0.7646197289700961,0.8557907904821195,0.00926891785024064,0.8922992252656534,0.011772135975562993,0.8045853026741865,0.8698137646476692,0.8357096182903683,0.6679718756438067
wiki_tsd_s45_lr1e-3,tsd,45,23621,0.763108512108908,0.8531167610693852,0.017391584695394126,0.8922992252656534,0.026947976915914915,0.7966387139279285,0.8662232722486083,0.8362576991606815,0.6703034357662712
wiki_tsd_s46_lr1e-3,tsd,46,23621,0.7646510409936044,0.855494479447902,0.012014581755698495,0.8922992252656534,0.017587435072794217,0.7991730411943548,0.8704021152613544,0.838627656028809,0.6691245659308873
wiki_tsd_s47_lr1e-3,tsd,47,23621,0.7616071237089954,0.8524834597557908,0.008698108434504963,0.8922992252656534,0.012960962728014495,0.7957019639299967,0.866540911900539,0.8353985988340173,0.6677597592336099
