dataset,group,rec,tsd_lr,arm,arm_lr,seeds,n,tsd_mean,arm_mean,delta_arm_minus_tsd_mean,delta_sd,t95_halfwidth,deltas,signs,method
tgbl-wiki,matched,on,0.001,core-off,0.0003,[43],1,0.7575254706119957,0.7255446388027437,-0.03198083180925204,,,-0.0320,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,core-off,0.001,[43],1,0.7575254706119957,0.7440184061553293,-0.013507064456666384,,,-0.0135,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,current-only-maps,0.001,[43],1,0.7575254706119957,0.7656129958324683,0.008087525220472624,,,+0.0081,1+ 0-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,diagssm-ordinary,0.0003,[43],1,0.7575254706119957,0.7171373845691034,-0.040388086042892346,,,-0.0404,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,diagssm-ordinary,0.001,[43],1,0.7575254706119957,0.7658907968602492,0.00836532624825348,,,+0.0084,1+ 0-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,gru-ordinary,0.0003,[43],1,0.7575254706119957,0.733609011899627,-0.023916458712368693,,,-0.0239,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,gru-ordinary,0.001,[43],1,0.7575254706119957,0.771264038982846,0.013738568370850301,,,+0.0137,1+ 0-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,identity-maps,0.0003,[43],1,0.7575254706119957,0.7359533961459375,-0.021572074466058244,,,-0.0216,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
tgbl-wiki,matched,on,0.001,node-frame,0.0003,[43],1,0.7575254706119957,0.7317244227292561,-0.025801047882739625,,,-0.0258,0+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
thgl-forum,forum,off,0.001,core-off,0.001,"[44, 45]",2,0.31143766944332607,0.220775922057154,-0.09066174738617211,0.11378119375582285,1.0222834665728693,-0.0102 / -0.1711,0+ 2-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
thgl-forum,forum,off,0.001,gru-ordinary,0.001,"[44, 45]",2,0.31143766944332607,0.36218102306391997,0.05074335362059387,0.15639613531118765,1.405163525596587,+0.1613 / -0.0598,1+ 1-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
thgl-forum,forum,off,0.001,identity-maps,0.001,[45],1,0.3905994444989896,0.411829866998223,0.021230422499233403,,,+0.0212,1+ 0-,"paired per-seed differences; mean, sample SD, 95% t-interval (n-1 df); descriptive only"
