run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
forum_f_s43,audit,thgl-forum,tsd,0.001,on,global,43,True,0.6229626860492989,0.6279778359972671,0.6826020940004252,-1,0.0,630271.0,630271.0,0.0,True,0.6279851863704754,-7.3503732083146645e-06,False,2026-09-22 16:10
forum_f_s46,audit,thgl-forum,tsd,0.001,on,global,46,True,0.6345147981254773,0.6412303612035141,0.6943857897588901,-1,0.0,630271.0,630271.0,0.0,True,0.6412311482580632,-7.870545490895609e-07,False,2026-09-22 15:45
forum_f_s47,audit,thgl-forum,tsd,0.001,on,global,47,True,0.6018888054615528,0.6187274742376441,0.6525826173562634,-1,0.0,630271.0,630271.0,0.0,True,0.6187274944382603,-2.0200616179799624e-08,False,2026-09-22 14:07
icews_eval_s43,audit,tkgl-icews,tsd,0.003,on,global,43,True,0.3235239152514565,0.3386218565862767,0.5405479843181132,-1,0.0,655883.0,655883.0,0.0,True,0.3386218864867703,-2.9900493581092036e-08,False,2026-09-23 01:17
icews_eval_s46,audit,tkgl-icews,tsd,0.003,on,global,46,True,0.3227384314304185,0.3341327443034823,0.5288432803874055,-1,0.0,655883.0,655883.0,0.0,True,0.3341947866141307,-6.20423106484358e-05,False,2026-09-23 02:47
icews_eval_s47,audit,tkgl-icews,tsd,0.003,on,global,47,True,0.3088133011103815,0.3326459083760779,0.5269526581841786,-1,0.0,655883.0,655883.0,0.0,True,0.3326458931631487,1.5212929194152736e-08,False,2026-09-23 01:59
polecat_f_s43,audit,tkgl-polecat,tsd,0.003,on,global,43,True,0.2472287155562392,0.2402999856853719,0.3941509772302849,-1,0.0,631133.0,631133.0,0.0,True,0.2403000034304314,-1.7745059505136496e-08,False,2026-09-22 13:27
polecat_f_s46,audit,tkgl-polecat,tsd,0.003,on,global,46,True,0.2518202347983602,0.2460985214834369,0.3992332470564603,-1,0.0,631133.0,631133.0,0.0,True,0.2460985191840125,2.299424400886707e-09,False,2026-09-22 18:48
polecat_f_s47,audit,tkgl-polecat,tsd,0.003,on,global,47,True,0.2527079989075954,0.2461902745935505,0.3973595468864869,-1,0.0,631133.0,631133.0,0.0,True,0.2461634466937962,2.6827899754305884e-05,False,2026-09-22 16:54
sp_f_s43,audit,tkgl-smallpedia,tsd,0.01,on,global,43,True,0.6460062084926438,0.6164403295881086,0.7146446694870244,-1,0.0,648803.0,648803.0,0.0,True,0.6164438131824711,-3.4835943625299848e-06,False,2026-09-22 14:03
sp_f_s46,audit,tkgl-smallpedia,tsd,0.01,on,global,46,True,0.6383026609734654,0.6032514479112208,0.7132473690577067,-1,0.0,648803.0,648803.0,0.0,True,0.6032514479112208,0.0,False,2026-09-22 11:10
sp_f_s47,audit,tkgl-smallpedia,tsd,0.01,on,global,47,True,0.644656435510462,0.6104105329835294,0.711028850015315,-1,0.0,648803.0,648803.0,0.0,True,0.6111797571271381,-0.0007692241436086933,False,2026-09-22 10:08
sp_f_s47_replay2,audit,tkgl-smallpedia,tsd,0.01,on,global,47,True,0.6445531757134492,0.6103094154928448,0.7109062851382685,-1,0.0,648803.0,648803.0,0.0,True,,,False,2026-09-22 10:58
sw_f_s43,audit,thgl-software,tsd,0.001,on,global,43,True,0.3795993558255006,0.4360194315508485,0.4736498254665529,-1,0.0,630795.0,630795.0,0.0,True,0.4360192940843008,1.3746654770052658e-07,False,2026-09-22 10:09
sw_f_s46,audit,thgl-software,tsd,0.001,on,global,46,True,0.3844297105875409,0.439970380806352,0.4796282287885221,-1,0.0,630795.0,630795.0,0.0,True,0.4399680341391525,2.346667199504271e-06,False,2026-09-22 10:27
sw_f_s47,audit,thgl-software,tsd,0.001,on,global,47,True,0.379806126321456,0.4368618100731012,0.4744418728301235,-1,0.0,630795.0,630795.0,0.0,True,0.4368618048309459,5.24215532093919e-09,False,2026-09-22 11:00
wd_f_s43,audit,tkgl-wikidata,tsd,0.003,on,global,43,True,0.6440308980255319,0.5370786194188402,0.6017973897120726,-1,0.0,355253.0,355253.0,0.0,True,0.5370788666432262,-2.4722438607405195e-07,False,2026-09-22 11:13
wd_f_s46,audit,tkgl-wikidata,tsd,0.003,on,global,46,True,0.640764526603255,0.5500367346196253,0.6206359693410809,-1,0.0,355253.0,355253.0,0.0,True,0.5500371345736689,-3.9995404355064323e-07,False,2026-09-22 11:09
wd_f_s47,audit,tkgl-wikidata,tsd,0.003,on,global,47,True,0.6404692824205716,0.5323052212727785,0.5951610774787377,-1,0.0,355253.0,355253.0,0.0,True,0.532305703439783,-4.821670045451754e-07,False,2026-09-22 11:02
wiki_f_s43,audit,tgbl-wiki,tsd,0.0003,on,global,43,True,0.7521191340695741,0.7357009688527834,0.8477625845386618,-1,0.0,444686.0,444686.0,0.0,True,0.7357009219255755,4.6927207897340395e-08,False,2026-09-22 10:57
wiki_f_s46,audit,tgbl-wiki,tsd,0.0003,on,global,46,True,0.7447142681407917,0.730548123068624,0.8498793446358059,-1,0.0,444686.0,444686.0,0.0,True,0.730524992957698,2.3130110926028458e-05,False,2026-09-22 10:45
wiki_f_s47,audit,tgbl-wiki,tsd,0.0003,on,global,47,True,0.7438043944165758,0.7330750215619299,0.8508530546746687,-1,0.0,444686.0,444686.0,0.0,True,0.7330750208806186,6.813113406778371e-10,False,2026-09-22 10:38
