epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.18235520047804454,0.19546219457040231,0.3071308732032776,43.9,290.8,5110.7,11012.0,1192,0,0,11,0,0,0,0
2,0.15428332107191617,0.2110070562283198,0.2903594970703125,86.8,435.6,5156.8,11012.0,1192,0,0,0,0,0,0,0
3,0.15237031847038526,0.22459295180191596,0.28448721766471863,153.8,398.9,5156.8,11012.0,1192,0,0,0,0,0,0,0
4,0.15151320777883465,0.23497224757522345,0.2866170108318329,42.6,466.0,5156.8,11012.0,1192,0,0,0,0,0,0,0
5,0.15092782534958932,0.23744465130269526,0.2802925705909729,115.7,693.8,5156.8,11012.0,1192,0,0,0,0,0,0,0
6,0.1505967452184566,0.23714200013379255,0.28173667192459106,25.5,821.5,5156.8,11012.0,1192,0,0,0,0,0,0,0
7,0.15000836731515974,0.2344412224556009,0.2792986333370209,63.1,868.3,5156.8,11012.0,1192,0,0,0,0,0,0,0
8,0.1500893661364813,0.23243830943306287,0.2777533531188965,56.0,668.1,5156.8,11012.0,1192,0,0,0,0,0,0,0
9,0.14984204716380412,0.22972486347357432,0.2765771448612213,60.9,777.8,5156.8,11012.0,1192,0,0,0,0,0,0,0
10,0.14968274270915646,0.23186491784105698,0.2752304673194885,144.8,895.2,5156.8,11012.0,1192,0,0,0,0,0,0,0
