runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
ours,tgbn-genre,train,1108443600,1,1108529945,1134,1108443900,1108529945,3210,1108357203,1108529945,1743,1090,377,26,0681c0c3276d9643,1108443600,1108530000,1,0,True,False
ours,tgbn-genre,train,1108530000,2,1108616344,1566,1108530003,1108616344,4776,1108357203,1108616344,2833,1375,568,26,aeed4e10bef2165c,1108530000,1108616400,1,0,False,False
ours,tgbn-genre,train,1108616400,3,1108702741,1693,1108616583,1108702741,6469,1108357203,1108702741,4208,1590,671,27,ea760a6040349654,1108616400,1108702800,1,0,False,False
ours,tgbn-genre,train,1108702800,4,1108789140,1555,1108702860,1108789140,8024,1108357203,1108789140,5798,1798,428,22,1ebbe3092c325076,1108702800,1108789200,1,0,False,False
ours,tgbn-genre,train,1108789200,5,1108875362,1680,1108789205,1108875362,9704,1108357203,1108875362,7596,1796,312,27,3eb4d79219204346,1108789200,1108875600,1,0,False,False
ours,tgbn-genre,train,1108875600,6,1108961765,1341,1108875662,1108961765,11045,1108357203,1108961765,9392,1234,419,25,5b1b2690da210883,1108875600,1108962000,1,0,False,False
ours,tgbn-genre,train,1108962000,7,1109048105,1713,1108962245,1109048105,12758,1108357203,1109048105,10626,1728,404,25,3a59bb1c6fc1bbeb,1108962000,1109048400,1,0,False,False
ours,tgbn-genre,train,1109048400,8,1109134680,1994,1109049004,1109134680,14752,1108357203,1109134680,12354,1856,542,26,5ca4419cb6d42511,1109048400,1109134800,1,0,False,False
ours,tgbn-genre,train,1109134800,9,1109221142,2279,1109134804,1109221142,17031,1108357203,1109221142,14210,2351,470,32,f27cfef448db5ad5,1109134800,1109221200,1,0,False,False
ours,tgbn-genre,train,1109221200,10,1109307600,1379,1109221205,1109307600,18410,1108357203,1109307600,16561,1446,403,23,56716dde930ef9e1,1109221200,1109394000,2,0,False,False
ours,tgbn-genre,train,1109307600,10,1109307600,1379,1109221205,1109307600,18410,1108357203,1109307600,18007,403,0,28,5116eca896c4c851,1109221200,1109394000,2,1,False,False
ours,tgbn-genre,train,1109394000,12,1109480284,1004,1109394063,1109480284,21766,1108357203,1109480284,20035,1562,169,32,8fa122c5180e29f0,1109394000,1109480400,1,0,False,False
ours,tgbn-genre,train,1109480400,13,1109566264,1118,1109480641,1109566264,22884,1108357203,1109566264,21597,923,364,26,df954d4f92e4035a,1109480400,1109566800,1,0,False,False
ours,tgbn-genre,train,1109566800,14,1109653141,1971,1109567105,1109653141,24855,1108357203,1109653141,22520,1606,729,27,4b2aed3e41fbc674,1109566800,1109653200,1,0,False,False
ours,tgbn-genre,train,1109653200,15,1109739601,1482,1109653263,1109739601,26337,1108357203,1109739601,24126,1985,226,31,58d85d32279900de,1109653200,1109826000,2,0,False,False
ours,tgbn-genre,train,1109739600,15,1109739601,1482,1109653263,1109739601,26337,1108357203,1109739601,26111,226,0,31,e92d0f3290778662,1109653200,1109826000,2,1,False,False
ours,tgbn-genre,train,1109826000,17,1109912165,1426,1109826122,1109912165,28566,1108357203,1109912165,26900,1184,482,34,05d02c2fe0b320e6,1109826000,1109912400,1,0,False,False
