runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
ours,tgbn-trade,train,1987,0,1987,16384,1986,1987,16384,1986,1987,0,16384,0,201,64a8806b1be54c1f,1987,1988,1,0,True,True
ours,tgbn-trade,val,2010,0,2012,54437,2010,2012,70821,1986,2012,16384,54437,0,213,2f1e91a6d10d2a8c,2010,2013,3,0,True,False
ours,tgbn-trade,val,2011,0,2012,54437,2010,2012,70821,1986,2012,16384,54437,0,212,1a358c13e6920af6,2010,2013,3,1,False,False
ours,tgbn-trade,val,2012,0,2012,54437,2010,2012,70821,1986,2012,16384,54437,0,213,d205cab81896fdb8,2010,2013,3,2,False,False
ours,tgbn-trade,val,2013,1,2013,18733,2013,2013,89554,1986,2013,70821,18733,0,214,cda3e5d665433d0c,2013,2014,1,0,False,True
ours,tgbn-trade,test,2014,0,2016,57851,2014,2016,147405,1986,2016,70821,57377,19207,225,bbfe440052a49927,2014,-1,3,0,True,False
ours,tgbn-trade,test,2015,0,2016,57851,2014,2016,147405,1986,2016,70821,57377,19207,226,0452d512a98429c2,2014,-1,3,1,False,False
ours,tgbn-trade,test,2016,0,2016,57851,2014,2016,147405,1986,2016,128198,19207,0,224,7f3d4c6273452735,2014,-1,3,2,False,True
official_tgn_example,tgbn-trade,train,1987,94,1988,200,1987,1988,18801,1986,1987,0,18801,0,201,64a8806b1be54c1f,1987,1988,1,0,True,False
official_tgn_example,tgbn-trade,train,1988,142,1989,200,1988,1989,28513,1986,1988,0,28513,0,205,a73353088baa0744,1988,1989,1,0,False,False
official_tgn_example,tgbn-trade,train,1989,191,1990,200,1989,1990,38373,1986,1989,28513,9860,0,204,2fe3679d5dc10d3b,1989,1990,1,0,False,False
official_tgn_example,tgbn-trade,train,1990,240,1991,200,1990,1991,48033,1986,1990,28513,19520,0,205,4bf51d7a43527c9e,1990,1991,1,0,False,False
official_tgn_example,tgbn-trade,train,1991,292,1992,200,1991,1992,58595,1986,1991,28513,30082,0,209,2ced982cfe455991,1991,1992,1,0,False,False
official_tgn_example,tgbn-trade,train,1992,352,1993,200,1992,1993,70416,1986,1992,58595,11821,0,230,09a287cbdf7140db,1992,1993,1,0,False,False
official_tgn_example,tgbn-trade,train,1993,412,1994,200,1993,1994,82433,1986,1993,58595,23838,0,233,eb9244d5c3cbda34,1993,1994,1,0,False,False
official_tgn_example,tgbn-trade,train,1994,477,1995,200,1994,1995,95466,1986,1994,58595,36871,0,233,89ba2f65c6b518d4,1994,1995,1,0,False,False
official_tgn_example,tgbn-trade,train,1995,543,1996,200,1995,1996,108719,1986,1995,95466,13253,0,232,2c459a1e1342fc78,1995,1996,1,0,False,False
official_tgn_example,tgbn-trade,train,1996,610,1997,200,1996,1997,122042,1986,1996,95466,26576,0,232,01524bc0a0027e8a,1996,1997,1,0,False,False
official_tgn_example,tgbn-trade,train,1997,679,1998,200,1997,1998,135963,1986,1997,95466,40497,0,230,5dabcf9d5f3482cc,1997,1998,1,0,False,False
official_tgn_example,tgbn-trade,train,1998,753,1999,200,1998,1999,150780,1986,1998,135963,14817,0,233,0e2f81506ed2be84,1998,1999,1,0,False,False
official_tgn_example,tgbn-trade,train,1999,830,2000,200,1999,2000,166057,1986,1999,135963,30094,0,229,7a13f50c2a4cd515,1999,2000,1,0,False,False
official_tgn_example,tgbn-trade,train,2000,909,2001,200,2000,2001,181805,1986,2000,135963,45842,0,215,3cfe076b6c0d933f,2000,2001,1,0,False,False
official_tgn_example,tgbn-trade,train,2001,991,2002,200,2001,2002,198280,1986,2001,181805,16475,0,213,93f9e7aac6e3c287,2001,2002,1,0,False,False
official_tgn_example,tgbn-trade,train,2002,1076,2003,200,2002,2003,215242,1986,2002,181805,33437,0,216,befb0350768b0ca2,2002,2003,1,0,False,False
official_tgn_example,tgbn-trade,train,2003,1161,2004,200,2003,2004,232238,1986,2003,181805,50433,0,215,bd9983d8cf2bd8eb,2003,2004,1,0,False,False
