runner,split,predictor,label_timestamps,ndcg_mean
ours,val,last_label,4,0.8672856293433105
ours,val,prev_1_period,4,0.8672856293433105
ours,val,prev_3_periods,4,0.8651056342277432
ours,val,copy_available_edges,4,1.0
ours,test,last_label,3,0.8448261660196327
ours,test,prev_1_period,3,0.8448261660196327
ours,test,prev_3_periods,3,0.841669610865039
ours,test,copy_available_edges,3,1.0
official_tgn_example,val,last_label,4,0.8603903917493595
official_tgn_example,val,prev_1_period,4,0.8603903917493595
official_tgn_example,val,prev_3_periods,4,0.8628031311897608
official_tgn_example,val,copy_available_edges,4,1.0
official_tgn_example,test,last_label,3,0.8540602976422188
official_tgn_example,test,prev_1_period,3,0.8540602976422188
official_tgn_example,test,prev_3_periods,3,0.8455111308532771
official_tgn_example,test,copy_available_edges,3,1.0
