runner,dataset,split,label_ts,snapshot_index,snapshot_ts,snapshot_edges,snapshot_t_min,snapshot_t_max,frontier_n,frontier_t_min,frontier_t_max,ingested_t_lt_label,ingested_t_eq_label,ingested_t_gt_label,label_nodes,label_hash,pending_label_before,pending_label_after,labels_drained_in_snapshot,drain_position,first_in_split,last_in_split
ours,tgbn-trade,train,1987,1,1987,9330,1987,1987,18801,1986,1987,9471,9330,0,201,64a8806b1be54c1f,1987,1988,1,0,True,False
ours,tgbn-trade,train,1988,2,1988,9712,1988,1988,28513,1986,1988,18801,9712,0,205,a73353088baa0744,1988,1989,1,0,False,False
ours,tgbn-trade,train,1989,3,1989,9860,1989,1989,38373,1986,1989,28513,9860,0,204,2fe3679d5dc10d3b,1989,1990,1,0,False,False
ours,tgbn-trade,train,1990,4,1990,9660,1990,1990,48033,1986,1990,38373,9660,0,205,4bf51d7a43527c9e,1990,1991,1,0,False,False
ours,tgbn-trade,train,1991,5,1991,10562,1991,1991,58595,1986,1991,48033,10562,0,209,2ced982cfe455991,1991,1992,1,0,False,False
ours,tgbn-trade,train,1992,6,1992,11821,1992,1992,70416,1986,1992,58595,11821,0,230,09a287cbdf7140db,1992,1993,1,0,False,False
ours,tgbn-trade,train,1993,7,1993,12017,1993,1993,82433,1986,1993,70416,12017,0,233,eb9244d5c3cbda34,1993,1994,1,0,False,False
ours,tgbn-trade,train,1994,8,1994,13033,1994,1994,95466,1986,1994,82433,13033,0,233,89ba2f65c6b518d4,1994,1995,1,0,False,False
ours,tgbn-trade,train,1995,9,1995,13253,1995,1995,108719,1986,1995,95466,13253,0,232,2c459a1e1342fc78,1995,1996,1,0,False,False
ours,tgbn-trade,train,1996,10,1996,13323,1996,1996,122042,1986,1996,108719,13323,0,232,01524bc0a0027e8a,1996,1997,1,0,False,False
ours,tgbn-trade,train,1997,11,1997,13921,1997,1997,135963,1986,1997,122042,13921,0,230,5dabcf9d5f3482cc,1997,1998,1,0,False,False
ours,tgbn-trade,train,1998,12,1998,14817,1998,1998,150780,1986,1998,135963,14817,0,233,0e2f81506ed2be84,1998,1999,1,0,False,False
ours,tgbn-trade,train,1999,13,1999,15277,1999,1999,166057,1986,1999,150780,15277,0,229,7a13f50c2a4cd515,1999,2000,1,0,False,False
ours,tgbn-trade,train,2000,14,2000,15748,2000,2000,181805,1986,2000,166057,15748,0,215,3cfe076b6c0d933f,2000,2001,1,0,False,False
ours,tgbn-trade,train,2001,15,2001,16475,2001,2001,198280,1986,2001,181805,16475,0,213,93f9e7aac6e3c287,2001,2002,1,0,False,False
