tag,split,queries,snapshots,candidates,pad_masked,pos_nonfinite,pos_nan,pos_posinf,pos_neginf,neg_nan,neg_posinf,neg_neginf,queries_with_invalid_neg,queries_affected,transformed_scores,rr_tgb_raw,rr_guarded,rr_conservative,hits_guarded,state_nonfinite_snapshots,rec_nonfinite_snapshots,mrr_tgb_raw,mrr_guarded,mrr_conservative,hits10_guarded,parity_raw_vs_guarded,parity_guarded_vs_conservative,run,group
forum_f_s46,val,3563658,687,356365800,0,0,0,0,0,0,0,0,0,0,0,2261193.740642389,2261193.740642389,2261193.740642389,2459071.0,0,0,0.634514799299593,0.634514799299593,0.634514799299593,0.6900412441373442,True,True,forum_f_s46,audit
forum_f_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2285122.4995009266,2285122.4995009266,2285122.4995009266,2474550.0,0,0,0.6412303609529116,0.6412303609529116,0.6412303609529116,0.6943857889643015,True,True,forum_f_s46,audit
forum_f_s47,val,3563658,687,356365800,0,0,0,0,0,0,0,0,0,0,0,2144925.869423647,2144925.869423647,2144925.869423647,2274285.0,0,0,0.6018888090337644,0.6018888090337644,0.6018888090337644,0.6381883446728053,True,True,forum_f_s47,audit
forum_f_s47,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2204930.0288755,2204930.0288755,2204930.0288755,2325578.0,0,0,0.6187274767985267,0.6187274767985267,0.6187274767985267,0.6525826167699268,True,True,forum_f_s47,audit
polecat_f_s43,val,533472,329,80516610922,318038,0,0,0,0,0,0,0,0,0,0,131889.59644633177,131889.59644633177,131889.59644633177,212882.0,0,0,0.2472287138712655,0.2472287138712655,0.2472287138712655,0.3990499970007798,True,True,polecat_f_s43,audit
polecat_f_s43,test,532636,304,80390427050,324430,0,0,0,0,0,0,0,0,0,0,127992.42276787442,127992.42276787442,127992.42276787442,209939.0,0,0,0.2402999849200475,0.2402999849200475,0.2402999849200475,0.3941509774029543,True,True,polecat_f_s43,audit
sp_f_s43,val,162066,10,7685551252,1563260,0,0,0,0,0,0,0,0,0,0,104695.64477547604,104695.64477547604,104695.64477547604,117138.0,0,0,0.6460062244732148,0.6460062244732148,0.6460062244732148,0.7227796083077265,True,True,sp_f_s43,audit
sp_f_s43,test,163172,17,7738818040,756264,0,0,0,0,0,0,0,0,0,0,100585.80038963596,100585.80038963596,100585.80038963596,116610.0,0,0,0.6164403230311326,0.6164403230311326,0.6164403230311326,0.7146446694285784,True,True,sp_f_s43,audit
sp_f_s46,val,162066,10,7685551252,1563260,0,0,0,0,0,0,0,0,0,0,103447.1575426392,103447.1575426392,103447.1575426392,116831.0,0,0,0.6383026516520381,0.6383026516520381,0.6383026516520381,0.7208853183271013,True,True,sp_f_s46,audit
sp_f_s46,test,163172,17,7738818040,756264,0,0,0,0,0,0,0,0,0,0,98433.74365571162,98433.74365571162,98433.74365571162,116382.0,0,0,0.603251438088101,0.603251438088101,0.603251438088101,0.7132473708724536,True,True,sp_f_s46,audit
sp_f_s47,val,162066,10,7685551252,1563260,0,0,0,0,0,0,0,0,0,0,104476.8880556936,104476.8880556936,104476.8880556936,116829.0,0,0,0.6446564242697024,0.6446564242697024,0.6446564242697024,0.7208729776757618,True,True,sp_f_s47,audit
sp_f_s47,test,163172,17,7738818040,756264,0,0,0,0,0,0,0,0,0,0,99601.90593873586,99601.90593873586,99601.90593873586,116020.0,0,0,0.6104105234889311,0.6104105234889311,0.6104105234889311,0.7110288529894835,True,True,sp_f_s47,audit
sp_f_s47_replay2,val,162066,10,7685551252,1563260,0,0,0,0,0,0,0,0,0,0,104460.15443461818,104460.15443461818,104460.15443461818,116819.0,0,0,0.6445531723780322,0.6445531723780322,0.6445531723780322,0.7208112744190638,True,True,sp_f_s47_replay2,audit
sp_f_s47_replay2,test,163172,17,7738818040,756264,0,0,0,0,0,0,0,0,0,0,99585.40844103352,99585.40844103352,99585.40844103352,116000.0,0,0,0.6103094185340225,0.6103094185340225,0.6103094185340225,0.7109062829407006,True,True,sp_f_s47_replay2,audit
sw_f_s43,val,223469,87,223469000,0,0,0,0,0,0,0,0,0,0,0,84828.68834216705,84828.68834216705,84828.68834216705,90149.0,0,0,0.3795993553565239,0.3795993553565239,0.3795993553565239,0.4034071839942005,True,True,sw_f_s43,audit
sw_f_s43,test,223471,125,223471000,0,0,0,0,0,0,0,0,0,0,0,97437.69826446328,97437.69826446328,97437.69826446328,105847.0,0,0,0.4360194309975937,0.4360194309975937,0.4360194309975937,0.4736498248094831,True,True,sw_f_s43,audit
sw_f_s46,val,223469,87,223469000,0,0,0,0,0,0,0,0,0,0,0,85908.12237777546,85908.12237777546,85908.12237777546,91305.0,0,0,0.3844297078242417,0.3844297078242417,0.3844297078242417,0.408580161006672,True,True,sw_f_s46,audit
sw_f_s46,test,223471,125,223471000,0,0,0,0,0,0,0,0,0,0,0,98320.6209925147,98320.6209925147,98320.6209925147,107183.0,0,0,0.4399703809107879,0.4399703809107879,0.4399703809107879,0.4796282291662005,True,True,sw_f_s46,audit
sw_f_s47,val,223469,87,223469000,0,0,0,0,0,0,0,0,0,0,0,84874.89512230498,84874.89512230498,84874.89512230498,90082.0,0,0,0.3798061257816743,0.3798061257816743,0.3798061257816743,0.4031073661223704,True,True,sw_f_s47,audit
