reserved 24976 MiB of GPU memory on cuda:0 in the caching allocator (requested 24976; now reserved 24980 MiB)
device=cuda:0 sha=8fda5f15dc8d config={'dataset': 'tkgl-smallpedia', 'seed': 46, 'model': 'faithful', 'feedback_dim': 16, 'no_memory_readout': False, 'sheaf_conditioning': 'current_only', 'epochs': 15, 'patience': 6, 'min_epochs': 6, 'time_window': None, 'context_edges': 50000, 'train_edges_cap': None, 'val_edges_cap': None, 'test_edges_cap': None, 'track_val_edges': 50000, 'train_loss': 'softplus', 'learn_node_emb': False, 'emb_in_head': False, 'node_type_emb': False, 'predict_from_previous': True, 'reserve_gpu_mb': None, 'delta_time_scale': 'auto', 'sheaf_identity': False, 'no_delta_t': False, 'no_memory': False, 'recurrency_symmetric': True, 'recurrency_untyped': True, 'cache_warm_history': False, 'recurrency_decoder': True, 'relation_in_input': True, 'no_dst_range': False, 'd': 2, 'layers': 2, 'hidden_channels': 8, 'temporal_d_model': 64, 'closure_hops': 1, 'train_negatives_per_pos': 32, 'candidate_chunk_size': 1024, 'max_score_elements': 4000000, 'bptt_steps': 1, 'lr': 0.01, 'weight_decay': 0.0, 'grad_clip': 1.0, 'skip_final_eval': False, 'save_checkpoint': True, 'eval_only': None, 'backbone': 'tsd', 'spatial': None, 'clock': 'global', 'fast_core_off': False, 'rng_isolation': False, 'no_query_audit': False, 'dump_query_ranks': True, 'clock_diagnostics': False, 'audit_eval_only': False, 'out': 'results/review_2026_09_22/sp/sp_curonly_s46'}
split_source=official_tgb_masks
destination_range=None
snapshots: train=98 (edges=775514) track_val=7 final_val=10 final_test=17 | prep_sec=0.9
negative-sample sets loaded in 1.6s
delta_time_scale=1 (Delta_k is measured in units of the median training inter-snapshot gap)
protocol: predict-from-previous-state (leak-free) for training and evaluation
parameter_count=652963 num_relations=566 num_nodes=47433
parameters_by_component={'embeddings': 9056, 'ssm_input_selector_B': 620928, 'ssm_other': 4261, 'map_decoder': 4288, 'spatial_block': 2534, 'scorer': 11719, 'rec': 177, 'other': 0, 'total': 652963, 'trainable': 652963, 'unused_by_construction': 0, 'active': 652963}
[epoch 1/15] {'epoch': 1, 'train_loss': 0.11345598224512081, 'track_val_mrr': 0.547113371270895, 'track_val_loss': 0.12922342121601105, 'train_sec': 19.5, 'track_eval_sec': 303.0, 'peak_gpu_mem_mb': 9237.6, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 5, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 2/15] {'epoch': 2, 'train_loss': 0.052713852702188736, 'track_val_mrr': 0.5701038343822956, 'track_val_loss': 0.08397644013166428, 'train_sec': 9.1, 'track_eval_sec': 369.8, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 3/15] {'epoch': 3, 'train_loss': 0.04869964309804833, 'track_val_mrr': 0.6180639564430713, 'track_val_loss': 0.06670485436916351, 'train_sec': 9.0, 'track_eval_sec': 318.0, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 4/15] {'epoch': 4, 'train_loss': 0.04595321407253595, 'track_val_mrr': 0.6522609955787658, 'track_val_loss': 0.05629155784845352, 'train_sec': 12.3, 'track_eval_sec': 307.7, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 5/15] {'epoch': 5, 'train_loss': 0.04362934064504105, 'track_val_mrr': 0.6904541073596477, 'track_val_loss': 0.05393560975790024, 'train_sec': 11.4, 'track_eval_sec': 297.2, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 6/15] {'epoch': 6, 'train_loss': 0.04344015603059346, 'track_val_mrr': 0.6957291804349423, 'track_val_loss': 0.05956614390015602, 'train_sec': 9.4, 'track_eval_sec': 343.1, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 7/15] {'epoch': 7, 'train_loss': 0.04219412233334841, 'track_val_mrr': 0.707536831753254, 'track_val_loss': 0.053457848727703094, 'train_sec': 9.3, 'track_eval_sec': 352.6, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 8/15] {'epoch': 8, 'train_loss': 0.04095549800807668, 'track_val_mrr': 0.7174053623223304, 'track_val_loss': 0.05265386775135994, 'train_sec': 9.0, 'track_eval_sec': 316.5, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 9/15] {'epoch': 9, 'train_loss': 0.0405213319187619, 'track_val_mrr': 0.7201676117122173, 'track_val_loss': 0.05205318331718445, 'train_sec': 8.8, 'track_eval_sec': 367.8, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 10/15] {'epoch': 10, 'train_loss': 0.03916342601602532, 'track_val_mrr': 0.7231165045201778, 'track_val_loss': 0.051033735275268555, 'train_sec': 9.2, 'track_eval_sec': 366.5, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 11/15] {'epoch': 11, 'train_loss': 0.03881310164621196, 'track_val_mrr': 0.7214584841918945, 'track_val_loss': 0.05273694917559624, 'train_sec': 9.6, 'track_eval_sec': 295.8, 'peak_gpu_mem_mb': 9252.1, 'peak_gpu_reserved_mb': 25038.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
