reserved 12488 MiB of GPU memory on cuda:0 in the caching allocator (requested 24976; now reserved 12500 MiB)
device=cuda:0 sha=429c8e517500 config={'dataset': 'tkgl-smallpedia', 'seed': 46, 'model': 'faithful', 'feedback_dim': 16, 'no_memory_readout': False, 'sheaf_conditioning': 'history', 'epochs': 15, 'patience': 6, 'min_epochs': 6, 'time_window': None, 'context_edges': 50000, 'train_edges_cap': None, 'val_edges_cap': None, 'test_edges_cap': None, 'track_val_edges': 50000, 'train_loss': 'softplus', 'learn_node_emb': False, 'emb_in_head': False, 'node_type_emb': False, 'predict_from_previous': True, 'reserve_gpu_mb': None, 'delta_time_scale': 'auto', 'sheaf_identity': False, 'no_delta_t': False, 'no_memory': False, 'recurrency_symmetric': True, 'recurrency_untyped': True, 'cache_warm_history': False, 'recurrency_decoder': True, 'relation_in_input': True, 'no_dst_range': False, 'd': 2, 'layers': 2, 'hidden_channels': 8, 'temporal_d_model': 64, 'closure_hops': 1, 'train_negatives_per_pos': 32, 'candidate_chunk_size': 1024, 'max_score_elements': 4000000, 'bptt_steps': 1, 'lr': 0.01, 'weight_decay': 0.0, 'grad_clip': 1.0, 'skip_final_eval': False, 'save_checkpoint': True, 'eval_only': None, 'backbone': 'tsd', 'spatial': 'node_frame', 'clock': 'global', 'fast_core_off': False, 'rng_isolation': False, 'no_query_audit': False, 'dump_query_ranks': True, 'clock_diagnostics': False, 'audit_eval_only': False, 'out': 'results/review_2026_09_22/sp/sp_nodeframe_s46'}
split_source=official_tgb_masks
destination_range=None
snapshots: train=98 (edges=775514) track_val=7 final_val=10 final_test=17 | prep_sec=1.5
negative-sample sets loaded in 1.5s
delta_time_scale=1 (Delta_k is measured in units of the median training inter-snapshot gap)
protocol: predict-from-previous-state (leak-free) for training and evaluation
parameter_count=648867 num_relations=566 num_nodes=47433
parameters_by_component={'embeddings': 9056, 'ssm_input_selector_B': 620928, 'ssm_other': 4261, 'map_decoder': 192, 'spatial_block': 2534, 'scorer': 11719, 'rec': 177, 'other': 0, 'total': 648867, 'trainable': 648867, 'unused_by_construction': 0, 'active': 648867}
[epoch 1/15] {'epoch': 1, 'train_loss': 0.10946798889139264, 'track_val_mrr': 0.6613928190910816, 'track_val_loss': 0.10168051719665527, 'train_sec': 9.9, 'track_eval_sec': 179.9, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12556.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 4, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 2/15] {'epoch': 2, 'train_loss': 0.0500672399882496, 'track_val_mrr': 0.6794220647585392, 'track_val_loss': 0.07103751599788666, 'train_sec': 9.0, 'track_eval_sec': 102.2, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12556.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 3/15] {'epoch': 3, 'train_loss': 0.04608831107232374, 'track_val_mrr': 0.6927901197087765, 'track_val_loss': 0.0637473538517952, 'train_sec': 8.2, 'track_eval_sec': 93.8, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12776.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 4/15] {'epoch': 4, 'train_loss': 0.044097736919509994, 'track_val_mrr': 0.6909406962430478, 'track_val_loss': 0.07171738147735596, 'train_sec': 9.7, 'track_eval_sec': 93.6, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 5/15] {'epoch': 5, 'train_loss': 0.0429863656880622, 'track_val_mrr': 0.6970497248959542, 'track_val_loss': 0.06072349101305008, 'train_sec': 7.9, 'track_eval_sec': 88.7, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 6/15] {'epoch': 6, 'train_loss': 0.04272140130477468, 'track_val_mrr': 0.7020340204894543, 'track_val_loss': 0.06783071905374527, 'train_sec': 9.2, 'track_eval_sec': 98.4, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 7/15] {'epoch': 7, 'train_loss': 0.04175839896707498, 'track_val_mrr': 0.713136328523159, 'track_val_loss': 0.06576810032129288, 'train_sec': 8.1, 'track_eval_sec': 90.7, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 8/15] {'epoch': 8, 'train_loss': 0.04037961956190387, 'track_val_mrr': 0.7167308762037754, 'track_val_loss': 0.05501902848482132, 'train_sec': 8.1, 'track_eval_sec': 96.7, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 9/15] {'epoch': 9, 'train_loss': 0.04092444941286266, 'track_val_mrr': 0.718890169878006, 'track_val_loss': 0.05576417222619057, 'train_sec': 8.5, 'track_eval_sec': 93.0, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 10/15] {'epoch': 10, 'train_loss': 0.03994434538114931, 'track_val_mrr': 0.719654954534769, 'track_val_loss': 0.05647064000368118, 'train_sec': 8.2, 'track_eval_sec': 95.3, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12956.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
[epoch 11/15] {'epoch': 11, 'train_loss': 0.03994323233545748, 'track_val_mrr': 0.721927405192852, 'track_val_loss': 0.05160127207636833, 'train_sec': 9.3, 'track_eval_sec': 94.7, 'peak_gpu_mem_mb': 9769.0, 'peak_gpu_reserved_mb': 12958.0, 'epoch_steps': 97, 'epoch_nonfinite_loss': 0, 'epoch_nonfinite_grad': 0, 'epoch_clipped': 0, 'epoch_skipped_steps': 0, 'track_nonfinite_positives': 0, 'track_nonfinite_negatives': 0, 'track_skipped_queries': 0}
