epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.0959082605682083,0.6646298835396767,0.08254564553499222,20.8,129.9,9237.4,25036.0,97,0,0,3,0,0,0,0
2,0.049149355035006385,0.683546821166277,0.07762513309717178,8.8,124.5,9251.9,25036.0,97,0,0,0,0,0,0,0
3,0.04566407462908435,0.6992195270478725,0.07078041136264801,8.8,113.4,9251.9,25036.0,97,0,0,0,0,0,0,0
4,0.04403145872440535,0.703615424631834,0.059832967817783356,8.7,113.7,9251.9,25036.0,97,0,0,0,0,0,0,0
5,0.0419950857758522,0.7133982673239708,0.05611751601099968,8.8,110.2,9251.9,25036.0,97,0,0,0,0,0,0,0
6,0.04096592159116084,0.7175485821914673,0.052453722804784775,9.3,113.2,9251.9,25036.0,97,0,0,0,0,0,0,0
7,0.03939978240691509,0.7201080831837654,0.04716769605875015,11.8,110.1,9251.9,25036.0,97,0,0,0,0,0,0,0
8,0.03720404787622776,0.7228850635993481,0.04253554716706276,9.1,122.8,9251.9,25036.0,97,0,0,0,0,0,0,0
9,0.03716662674950263,0.7203216175818443,0.04728648439049721,16.1,114.6,9251.9,25036.0,97,0,0,0,0,0,0,0
10,0.03801754361844247,0.7224173104798793,0.04741548374295235,8.3,123.0,9251.9,25036.0,97,0,0,0,0,0,0,0
11,0.0388161890093506,0.7242324329221249,0.05335228890180588,9.3,123.9,9251.9,25036.0,97,0,0,0,0,0,0,0
12,0.039871832979939036,0.7241925467538833,0.04894816875457764,8.6,127.5,9251.9,25036.0,97,0,0,0,0,0,0,0
13,0.03827119245165095,0.7287586547923088,0.046954452991485596,8.3,127.6,9251.9,25036.0,97,0,0,0,0,0,0,0
14,0.038868852804616556,0.725680688303709,0.04813390597701073,9.1,129.7,9251.9,25036.0,97,0,0,0,0,0,0,0
15,0.038604971971938906,0.7202969552087783,0.051302213221788406,8.9,132.9,9251.9,25036.0,97,0,0,0,0,0,0,0
