epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.11780570247738632,0.6572015319180489,0.14846566319465637,4.7,123.3,9230.2,25028.0,97,0,0,8,0,0,0,0
2,0.062130809867197705,0.6865602123439312,0.1444777399301529,4.2,126.5,9244.6,25028.0,97,0,0,0,0,0,0,0
3,0.06002664506512204,0.6911004876577854,0.14351899921894073,3.8,129.0,9244.6,25028.0,97,0,0,0,0,0,0,0
4,0.060101548209786415,0.6959232201611996,0.14238418638706207,3.9,129.3,9244.6,25028.0,97,0,0,0,0,0,0,0
5,0.05949253183741545,0.7012284569454194,0.14218644797801971,4.5,131.2,9244.6,25028.0,97,0,0,0,0,0,0,0
6,0.05875381942569595,0.7052500853168965,0.14063942432403564,3.8,132.3,9244.6,25028.0,97,0,0,0,0,0,0,0
7,0.05900581209853138,0.7094935058093071,0.13892456889152527,3.8,137.3,9244.6,25028.0,97,0,0,0,0,0,0,0
8,0.05809610641379025,0.7120914849758149,0.13788029551506042,4.1,135.4,9244.6,25028.0,97,0,0,0,0,0,0,0
9,0.057873721935392655,0.7154978010356426,0.1370788961648941,4.1,127.7,9244.6,25028.0,97,0,0,0,0,0,0,0
10,0.058099773107576615,0.719033790447712,0.13698171079158783,4.3,128.7,9244.6,25028.0,97,0,0,0,0,0,0,0
11,0.05756637361860767,0.720623702890873,0.137648805975914,4.7,128.1,9244.6,25028.0,97,0,0,0,0,0,0,0
12,0.05706270822544688,0.7217833327579498,0.13772420585155487,4.2,138.4,9244.6,25028.0,97,0,0,0,0,0,0,0
13,0.056686293180148624,0.7197953136849403,0.1373949944972992,4.0,134.7,9244.6,25028.0,97,0,0,0,0,0,0,0
