epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.11087416853640497,0.6601504029893875,0.09081272780895233,10.0,158.4,9237.6,25036.0,97,0,0,5,0,0,0,0
2,0.05216435498567586,0.696282275749445,0.06578007340431213,9.9,131.8,9252.1,25036.0,97,0,0,0,0,0,0,0
3,0.04772332829144812,0.7007038003826142,0.05690277740359306,20.4,118.3,9252.1,25036.0,97,0,0,0,0,0,0,0
4,0.04618229035326501,0.7107146568918228,0.054916657507419586,9.4,124.3,9252.1,25038.0,97,0,0,0,0,0,0,0
5,0.04221409129113266,0.7196962835264206,0.04760956019163132,10.4,123.0,9252.1,25038.0,97,0,0,0,0,0,0,0
6,0.0402760998509133,0.7209562574088574,0.04490229859948158,9.7,120.7,9252.1,25038.0,97,0,0,0,0,0,0,0
7,0.03918264857157297,0.7206504794859886,0.042140863835811615,10.0,119.0,9252.1,25038.0,97,0,0,0,0,0,0,0
8,0.038358348450556246,0.7207713773453236,0.04169962927699089,9.4,131.0,9252.1,25038.0,97,0,0,0,0,0,0,0
9,0.03740345241175484,0.7229473248147964,0.03845749422907829,21.6,141.9,9252.1,25038.0,97,0,0,0,0,0,0,0
10,0.03695315997279489,0.723066819703579,0.03788163140416145,9.9,137.9,9252.1,25038.0,97,0,0,0,0,0,0,0
11,0.036299923972524316,0.7240341617763042,0.03716626390814781,9.4,137.8,9252.1,25038.0,97,0,0,0,0,0,0,0
12,0.03606460491176119,0.7229530816459656,0.038134973496198654,9.3,139.6,9252.1,25038.0,97,0,0,0,0,0,0,0
