epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.10835384320198875,0.663002569668293,0.10189557075500488,5.3,132.9,9228.4,25034.0,97,0,0,2,0,0,0,0
2,0.05159561706649274,0.686354977092743,0.08931762725114822,4.4,116.0,9242.8,25034.0,97,0,0,0,0,0,0,0
3,0.0452852365320798,0.6790013071286678,0.06012973561882973,4.3,99.7,9242.8,25034.0,97,0,0,0,0,0,0,0
4,0.0428779569560105,0.6880754530382156,0.05516309291124344,4.6,120.1,9242.8,25034.0,97,0,0,0,0,0,0,0
5,0.04314611436434321,0.699825261605978,0.050825294107198715,4.6,129.5,9242.8,25034.0,97,0,0,0,0,0,0,0
6,0.039878600123386405,0.697028570741415,0.04768013581633568,4.2,132.6,9242.8,25034.0,97,0,0,0,0,0,0,0
7,0.03883377957090582,0.7060012353003025,0.0470760278403759,4.2,138.3,9242.8,25034.0,97,0,0,0,0,0,0,0
8,0.03839276073327691,0.7110386261725425,0.04426458105444908,4.5,133.4,9242.8,25034.0,97,0,0,0,0,0,0,0
9,0.0380376961043815,0.7146991661024094,0.0454336516559124,4.3,131.4,9242.8,25034.0,97,0,0,0,0,0,0,0
10,0.036559945970927314,0.7140410635435581,0.04450679570436478,4.6,132.4,9242.8,25034.0,97,0,0,0,0,0,0,0
11,0.0367249388382146,0.7163192707312107,0.04596331715583801,4.4,136.9,9242.8,25034.0,97,0,0,0,0,0,0,0
12,0.03644804490403723,0.71864064229846,0.041917480528354645,4.2,130.6,9242.8,25034.0,97,0,0,0,0,0,0,0
13,0.035670835985658095,0.7182795545184613,0.040651287883520126,4.4,133.8,9242.8,25034.0,97,0,0,0,0,0,0,0
14,0.03525655622565255,0.7182376215994358,0.04048948362469673,4.6,133.9,9242.8,25034.0,97,0,0,0,0,0,0,0
15,0.035221362505684195,0.7222334582424164,0.03991356119513512,4.9,131.5,9242.8,25034.0,97,0,0,0,0,0,0,0
