epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.10493928247813097,0.6821939341700077,0.10136275738477707,10.7,128.8,9237.4,25034.0,97,0,0,3,0,0,0,0
2,0.05093132276280025,0.7026991888117791,0.06957352161407471,10.8,116.2,9251.9,25036.0,97,0,0,0,0,0,0,0
3,0.046752262649308776,0.7097797661828995,0.061625540256500244,10.3,119.0,9251.9,25036.0,97,0,0,0,0,0,0,0
4,0.04386837102626402,0.7200991416835785,0.06599289923906326,9.5,120.3,9251.9,25036.0,97,0,0,0,0,0,0,0
5,0.0420371823819335,0.7229607874536514,0.06180306151509285,8.7,121.8,9251.9,25036.0,97,0,0,0,0,0,0,0
6,0.04165391949456684,0.7204683209776879,0.06153208017349243,9.0,120.4,9251.9,25036.0,97,0,0,0,0,0,0,0
7,0.04165654886782784,0.7217560556399822,0.05859188362956047,8.4,119.8,9251.9,25036.0,97,0,0,0,0,0,0,0
8,0.04130499275190007,0.7246726032888889,0.05501732975244522,9.4,121.3,9251.9,25036.0,97,0,0,0,0,0,0,0
9,0.042732084150781335,0.7254771369278431,0.059724677354097366,8.6,119.5,9251.9,25036.0,97,0,0,0,0,0,0,0
10,0.0406604068565,0.7263113068890572,0.053326357156038284,8.9,122.7,9251.9,25036.0,97,0,0,0,0,0,0,0
11,0.04071017536190674,0.7263268875133991,0.05397986248135567,8.8,129.5,9251.9,25036.0,97,0,0,0,0,0,0,0
12,0.039611295230456235,0.7261234688234329,0.0517134889960289,8.6,129.2,9251.9,25036.0,97,0,0,0,0,0,0,0
13,0.04083600611493145,0.7247322007310391,0.056525588035583496,10.3,128.6,9251.9,25036.0,97,0,0,0,0,0,0,0
14,0.04005815229887508,0.722521961249113,0.053058087825775146,9.0,130.4,9251.9,25036.0,97,0,0,0,0,0,0,0
15,0.03913936643025924,0.723952357596159,0.05512439087033272,8.9,129.1,9251.9,25036.0,97,0,0,0,0,0,0,0
