epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.10946798889139264,0.6613928190910816,0.10168051719665527,9.9,179.9,9769.0,12556.0,97,0,0,4,0,0,0,0
2,0.0500672399882496,0.6794220647585392,0.07103751599788666,9.0,102.2,9769.0,12556.0,97,0,0,0,0,0,0,0
3,0.04608831107232374,0.6927901197087765,0.0637473538517952,8.2,93.8,9769.0,12776.0,97,0,0,0,0,0,0,0
4,0.044097736919509994,0.6909406962430478,0.07171738147735596,9.7,93.6,9769.0,12956.0,97,0,0,0,0,0,0,0
5,0.0429863656880622,0.6970497248959542,0.06072349101305008,7.9,88.7,9769.0,12956.0,97,0,0,0,0,0,0,0
6,0.04272140130477468,0.7020340204894543,0.06783071905374527,9.2,98.4,9769.0,12956.0,97,0,0,0,0,0,0,0
7,0.04175839896707498,0.713136328523159,0.06576810032129288,8.1,90.7,9769.0,12956.0,97,0,0,0,0,0,0,0
8,0.04037961956190387,0.7167308762037754,0.05501902848482132,8.1,96.7,9769.0,12956.0,97,0,0,0,0,0,0,0
9,0.04092444941286266,0.718890169878006,0.05576417222619057,8.5,93.0,9769.0,12956.0,97,0,0,0,0,0,0,0
10,0.03994434538114931,0.719654954534769,0.05647064000368118,8.2,95.3,9769.0,12956.0,97,0,0,0,0,0,0,0
11,0.03994323233545748,0.721927405192852,0.05160127207636833,9.3,94.7,9769.0,12958.0,97,0,0,0,0,0,0,0
12,0.04274031962508086,0.7245654415261745,0.05842414125800133,8.8,106.6,9769.0,12958.0,97,0,0,0,0,0,0,0
13,0.041064531119905184,0.7243716383337975,0.05558936670422554,10.4,100.7,9769.0,12958.0,97,0,0,0,0,0,0,0
14,0.04067534397442624,0.7244278263080121,0.05354652926325798,9.0,103.4,9769.0,12958.0,97,0,0,0,0,0,0,0
15,0.04073532518076221,0.7262580419564247,0.05345142260193825,10.0,100.8,9769.0,12958.0,97,0,0,0,0,0,0,0
