epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.11150999889545835,0.5843196833884716,0.11369993537664413,10.8,132.1,9237.6,25036.0,97,0,0,5,0,0,0,0
2,0.05151936398415836,0.63453700060606,0.08230829238891602,9.3,124.3,9252.0,25038.0,97,0,0,0,0,0,0,0
3,0.04841558533461438,0.6749248654377461,0.07125677913427353,10.9,132.6,9252.0,25038.0,97,0,0,0,0,0,0,0
4,0.04803428904527856,0.7198775270223617,0.0626174584031105,13.8,138.9,9252.0,25038.0,97,0,0,0,0,0,0,0
5,0.045609877252778444,0.7288210596036911,0.06240028515458107,9.3,134.3,9252.0,25038.0,97,0,0,0,0,0,0,0
6,0.04437528112807225,0.7290276377332211,0.06243913248181343,8.8,136.2,9252.0,25038.0,97,0,0,0,0,0,0,0
7,0.04308389935680886,0.7302086650645733,0.05720263347029686,9.3,146.0,9252.0,25038.0,97,0,0,0,0,0,0,0
8,0.04178412467932578,0.731157590982914,0.05279729142785072,9.6,156.5,9252.0,25038.0,97,0,0,0,0,0,0,0
9,0.04195393497105112,0.7306123386704921,0.07393396645784378,9.1,171.8,9252.0,25038.0,97,0,0,0,0,0,0,0
10,0.04191203963625984,0.7323426354515552,0.05146671459078789,9.5,131.8,9252.0,25038.0,97,0,0,0,0,0,0,0
11,0.04311807595731057,0.730667729293108,0.05317573621869087,8.7,130.8,9252.0,25038.0,97,0,0,0,0,0,0,0
12,0.04223028267013658,0.7326784934663773,0.05159527808427811,8.7,134.2,9252.0,25038.0,97,0,0,0,0,0,0,0
13,0.04117008854548648,0.7302321471643448,0.06479279696941376,10.6,137.4,9252.0,25038.0,97,0,0,0,0,0,0,0
14,0.041571539125798904,0.7311372636151314,0.048296310007572174,10.1,128.5,9252.0,25038.0,97,0,0,0,0,0,0,0
15,0.042907372529896876,0.7312859718203545,0.05576656386256218,11.0,129.5,9732.0,25038.0,97,0,0,0,0,0,0,0
