epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.37023238658456875,0.36063208921104667,0.4609569311141968,89.7,83.6,6566.6,7156.0,532,0,0,11,0,0,0,0
2,0.25547688086062,0.36480391468554735,0.4224057197570801,157.1,73.1,7759.2,8496.0,532,0,0,5,0,0,0,0
3,0.23338470655612478,0.37355746933668854,0.37943318486213684,117.0,47.2,7759.2,8496.0,532,0,0,4,0,0,0,0
4,0.2310309581794685,0.36952151667773725,0.4156360328197479,48.4,14.0,7759.2,8496.0,532,0,0,4,0,0,0,0
5,0.23316951202494757,0.37724363788366316,0.3965913653373718,40.7,45.1,8271.4,8756.0,532,0,0,7,0,0,0,0
6,0.22830588415377123,0.3700562121763825,0.4134657382965088,97.9,44.7,8487.8,8776.0,532,0,0,6,0,0,0,0
7,0.22798094084780468,0.37116329182088376,0.3932598829269409,104.8,66.4,8782.8,9036.0,532,0,0,5,0,0,0,0
8,0.22436263196562467,0.37041714937239884,0.397148996591568,103.6,65.5,8782.8,9036.0,532,0,0,1,0,0,0,0
9,0.22534654146634547,0.3784040261372924,0.40675732493400574,123.3,52.1,8782.8,9036.0,532,0,0,2,0,0,0,0
10,0.22532325264598643,0.3693622089371085,0.3930557370185852,85.5,34.2,8782.8,9076.0,532,0,0,1,0,0,0,0
11,0.22416110700906666,0.3641667659327388,0.41413742303848267,44.4,20.0,8782.8,9156.0,532,0,0,0,0,0,0,0
12,0.22298329596624786,0.36633998668044804,0.4206582307815552,32.1,27.0,8782.8,9156.0,532,0,0,0,0,0,0,0
13,0.22268015524386464,0.367194542683661,0.406942218542099,39.3,14.4,8782.8,9156.0,532,0,0,0,0,0,0,0
14,0.22412102387979962,0.36540615998208525,0.4097685217857361,39.6,14.2,8782.8,9156.0,532,0,0,0,0,0,0,0
15,0.22328221331581585,0.3670726684689522,0.41378816962242126,70.9,68.7,8782.8,9156.0,532,0,0,0,0,0,0,0
16,0.2228310213501292,0.3674809593573213,0.42805904150009155,143.0,66.6,8782.8,9156.0,532,0,0,0,0,0,0,0
17,0.22240490064417062,0.3656530411094427,0.4091074466705322,109.5,37.2,8782.8,9156.0,532,0,0,3,0,0,0,0
