epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.44255343639760986,0.35770292379707097,0.5367357730865479,14.7,6.6,1924.7,4008.0,532,0,0,7,0,0,0,0
2,0.2933153828283898,0.3571056904375553,0.5180505514144897,14.1,5.4,2132.8,4008.0,532,0,0,2,0,0,0,0
3,0.27281988109637023,0.3590809605568647,0.5114110112190247,11.7,5.3,2132.8,4008.0,532,0,0,9,0,0,0,0
4,0.2592095344194344,0.3589033998176456,0.48607683181762695,14.0,10.2,2132.8,4008.0,532,0,0,10,0,0,0,0
5,0.2504805306855001,0.3600249686345458,0.4892956614494324,52.1,28.3,2132.8,4008.0,532,0,0,9,0,0,0,0
6,0.24308883120074756,0.36044625670164826,0.4757843613624573,49.2,27.5,2132.8,4008.0,532,0,0,7,0,0,0,0
7,0.23859955446052372,0.36122937499284746,0.47500377893447876,40.8,40.5,2132.8,4008.0,532,0,0,5,0,0,0,0
8,0.23625393647392443,0.36182443113923074,0.4707310199737549,9.9,14.7,2132.8,4008.0,532,0,0,6,0,0,0,0
9,0.23432658156169986,0.3617029315173626,0.4708949625492096,12.0,5.6,2132.8,4008.0,532,0,0,5,0,0,0,0
10,0.23385772166451566,0.36129706689715385,0.47206684947013855,12.4,7.0,2132.8,4008.0,532,0,0,5,0,0,0,0
11,0.2336118427994556,0.36210318653434515,0.47585538029670715,11.0,5.0,2132.8,4008.0,532,0,0,4,0,0,0,0
12,0.23299546070620977,0.36161034489572047,0.4638989269733429,11.9,6.8,2132.8,4008.0,532,0,0,4,0,0,0,0
13,0.23307770541063824,0.36171557790338993,0.4777968227863312,12.9,5.1,2132.8,4008.0,532,0,0,4,0,0,0,0
14,0.23286699548475726,0.36187824965566395,0.47717469930648804,11.8,5.8,2132.8,4008.0,532,0,0,4,0,0,0,0
15,0.2327617836373865,0.36187203478366137,0.47139641642570496,11.7,5.9,2132.8,4008.0,532,0,0,4,0,0,0,0
16,0.23309940309788948,0.3620253764629364,0.47894006967544556,11.6,5.3,2132.8,4008.0,532,0,0,4,0,0,0,0
17,0.23218379084272942,0.3620285895317793,0.4749050438404083,12.9,5.4,2132.8,4008.0,532,0,0,4,0,0,0,0
18,0.23243324591645173,0.36216427529007195,0.4750436246395111,10.9,5.3,2132.8,4008.0,532,0,0,4,0,0,0,0
19,0.2321778771684582,0.3619014649733901,0.4784356355667114,12.6,5.2,2132.8,4008.0,532,0,0,5,0,0,0,0
20,0.23253813565225528,0.3622308173388243,0.4681619703769684,12.0,5.3,2132.8,4008.0,532,0,0,4,0,0,0,0
