epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.4009301042310277,0.35923607820272446,0.4164314568042755,75.4,52.2,1922.4,4014.0,532,0,0,11,0,0,0,0
2,0.2917498018508567,0.35847443884164093,0.49505719542503357,78.0,53.0,2130.5,4014.0,532,0,0,4,0,0,0,0
3,0.25658390997327807,0.365104420606792,0.3985168933868408,72.3,48.4,2130.5,4014.0,532,0,0,5,0,0,0,0
4,0.2418164914207799,0.3745581020012498,0.41344043612480164,61.0,43.6,2130.5,4014.0,532,0,0,5,0,0,0,0
5,0.23776503959040446,0.3743259561300278,0.4160667061805725,95.4,64.3,2130.5,4014.0,532,0,0,4,0,0,0,0
6,0.23413032219093993,0.37106368423998354,0.4574352204799652,103.9,59.5,2130.5,4014.0,532,0,0,5,0,0,0,0
7,0.23135225021077277,0.3682408015370369,0.46392208337783813,86.1,42.8,2130.5,4014.0,532,0,0,4,0,0,0,0
8,0.22912056479406984,0.3676543205022812,0.45568254590034485,85.5,56.5,2130.5,4014.0,532,0,0,3,0,0,0,0
9,0.22719007086260876,0.37410166736096145,0.4328174591064453,87.3,56.8,2130.5,4014.0,532,0,0,3,0,0,0,0
10,0.22729008506171236,0.37263472934663294,0.4283730089664459,94.9,50.5,2130.5,4014.0,532,0,0,6,0,0,0,0
