epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.3770967946296796,0.3652922154396772,0.44033873081207275,16.2,8.0,1922.8,4014.0,532,0,0,7,0,0,0,0
2,0.24703319835707657,0.3662842239305377,0.4010680913925171,17.2,9.4,2130.9,4014.0,532,0,0,4,0,0,0,0
3,0.23363677014533737,0.3711181591540575,0.4024222493171692,16.5,10.0,2130.9,4014.0,532,0,0,4,0,0,0,0
4,0.23183720490257992,0.36976464862525465,0.38440483808517456,14.6,14.1,2130.9,4014.0,532,0,0,5,0,0,0,0
5,0.2279445298044081,0.37218633344322444,0.3738034963607788,34.0,21.7,2130.9,4014.0,532,0,0,4,0,0,0,0
6,0.22582759957452467,0.3704841473802924,0.38295379281044006,34.7,20.3,2130.9,4014.0,532,0,0,4,0,0,0,0
7,0.22398365612484908,0.36959847375005483,0.3828083872795105,36.7,21.4,2130.9,4014.0,532,0,0,4,0,0,0,0
8,0.2242406840275105,0.37349219927191735,0.3769949674606323,76.6,51.9,2130.9,4014.0,532,0,0,5,0,0,0,0
9,0.22277467081645377,0.3722536484256387,0.38086509704589844,77.2,51.9,2130.9,4014.0,532,0,0,4,0,0,0,0
10,0.22353345617876016,0.3695438689261675,0.39161449670791626,72.4,47.1,2130.9,4014.0,532,0,0,4,0,0,0,0
11,0.2244837017575825,0.37061117473989724,0.4031570553779602,60.9,42.9,2130.9,4014.0,532,0,0,4,0,0,0,0
12,0.22300307945649428,0.3669544629305601,0.4028429687023163,93.4,63.9,2130.9,4014.0,532,0,0,3,0,0,0,0
13,0.22305137274744816,0.3710184146210551,0.3880736529827118,104.6,59.9,2130.9,4014.0,532,0,0,3,0,0,0,0
14,0.22197593546899638,0.3680743796214461,0.3891724944114685,86.8,42.3,2130.9,4014.0,532,0,0,1,0,0,0,0
15,0.22352307981678418,0.36738718789964914,0.395450621843338,83.6,58.8,2130.9,4014.0,532,0,0,6,0,0,0,0
16,0.22097188951377583,0.369549639993906,0.39666861295700073,86.0,56.7,2130.9,4014.0,532,0,0,3,0,0,0,0
