epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb,peak_gpu_reserved_mb,epoch_steps,epoch_nonfinite_loss,epoch_nonfinite_grad,epoch_clipped,epoch_skipped_steps,track_nonfinite_positives,track_nonfinite_negatives,track_skipped_queries
1,0.3750769079179692,0.36127040982097386,0.43966591358184814,39.2,12.8,6566.6,7216.0,532,0,0,11,0,0,0,0
2,0.2575177990768413,0.3655713727504015,0.4077625572681427,37.6,23.1,9108.6,9456.0,532,0,0,5,0,0,0,0
3,0.23570294230055988,0.3710899517029524,0.4048096835613251,65.6,26.4,9205.0,9796.0,532,0,0,5,0,0,0,0
4,0.23285388737860926,0.3770210773438215,0.38923949003219604,57.6,28.7,9205.0,9796.0,532,0,0,8,0,0,0,0
5,0.22936772706365227,0.3757868111357093,0.39997598528862,73.5,41.1,9205.0,9796.0,532,0,0,4,0,0,0,0
6,0.2314398972163523,0.37325146958231925,0.41500183939933777,78.1,33.2,9205.0,9796.0,532,0,0,9,0,0,0,0
7,0.22698458144091127,0.37385046173632147,0.4155532419681549,51.2,15.8,9205.0,9796.0,532,0,0,2,0,0,0,0
8,0.22585604545709334,0.36597393855452537,0.4216568171977997,45.1,40.2,9205.0,9796.0,532,0,0,0,0,0,0,0
9,0.22477572837046214,0.36487323059141635,0.40690767765045166,91.5,53.2,9205.0,9796.0,532,0,0,0,0,0,0,0
10,0.22410610487642593,0.3686401405915618,0.4108337461948395,100.7,31.5,9205.0,9796.0,532,0,0,0,0,0,0,0
11,0.22363748458823315,0.37231298354417086,0.4071280360221863,69.7,27.4,9205.0,9796.0,532,0,0,0,0,0,0,0
