rec,arm,n,delta_mean,delta_sd,signs
off,attention-gates,5,-0.0029143501540571603,0.0028457729744646065,1+ 4-
off,core-off,5,0.002729498449861906,0.002489323080649892,5+ 0-
off,current-only-maps,5,1.1530259590963876e-05,0.002608697647141347,2+ 3-
off,diagssm-ordinary,5,5.7771870558398494e-05,0.0015356691711296594,1+ 4-
off,gru-ordinary,5,-0.0006943821513035409,0.0025981296102952846,3+ 2-
off,identity-maps,5,-0.002533004406652173,0.005079606394401999,1+ 4-
off,node-frame,5,0.0011282627157863823,0.0013898479731666114,5+ 0-
on,attention-gates,5,-0.006995744716892116,0.005441185145829597,0+ 5-
on,core-off,5,0.0011895889673692373,0.0021991022803182873,3+ 2-
on,current-only-maps,5,-0.0026418394433283866,0.0068485175920199965,2+ 3-
on,diagssm-ordinary,5,-0.010341277008038519,0.007397453565989563,0+ 5-
on,gru-ordinary,5,-0.005082765383604226,0.005125538698569422,1+ 4-
on,identity-maps,5,-0.0006449187155968094,0.003459705686900266,3+ 2-
on,node-frame,4,-0.006538089290888935,0.00747958830070082,1+ 3-
