arm,rec,n,mrr,sd,novel,recurring,cue_known,oracle_permitted,oracle_latent,chance
attention-gates,off,5,0.20686563411198539,0.0025755372349679,0.13526489727511132,0.3232195248490061,0.2064855063058503,0.5846819234410393,0.600202351878954,0.058823529411764705
attention-gates,on,5,0.27191085494477535,0.005905429060712659,0.0666726066455178,0.6054307287985191,0.26598872741513224,0.5846819234410393,0.600202351878954,0.058823529411764705
core-off,off,5,0.21250948271590447,0.00196814277857101,0.13566487872231753,0.33738485483909714,0.2118896145174003,0.5846819234410393,0.600202351878954,0.058823529411764705
core-off,on,5,0.2800961886290367,0.0016171319757782505,0.0670088569795813,0.6263711181827709,0.27423833145289395,0.5846819234410393,0.600202351878954,0.058823529411764705
current-only-maps,off,5,0.2097915145256335,0.0025300224267419988,0.13527241229079667,0.33088785881336114,0.20925343158600307,0.5846819234410393,0.600202351878954,0.058823529411764705
current-only-maps,on,5,0.27626476021833907,0.0053982315224836526,0.06687663542838837,0.616528339473751,0.2703508380371106,0.5846819234410393,0.600202351878954,0.058823529411764705
diagssm-ordinary,off,5,0.20983775613660094,0.00165220843248991,0.13512879443549783,0.33124262919888103,0.20937414334189727,0.5846819234410393,0.600202351878954,0.058823529411764705
diagssm-ordinary,on,5,0.2685653226536289,0.005677834368314796,0.06610757668501707,0.5975667756269976,0.2624428785382636,0.5846819234410393,0.600202351878954,0.058823529411764705
gru-ordinary,off,5,0.209085602114739,0.0022034184508296258,0.13472206609312085,0.32992914545411245,0.20853332222875717,0.5846819234410393,0.600202351878954,0.058823529411764705
gru-ordinary,on,5,0.2738238342780632,0.006601869652556554,0.06691671547979348,0.610055685469955,0.26793374279760107,0.5846819234410393,0.600202351878954,0.058823529411764705
identity-maps,off,5,0.2072469798593904,0.005049637165247762,0.13424594947554336,0.32587640028454046,0.20658388892778773,0.5846819234410393,0.600202351878954,0.058823529411764705
identity-maps,on,5,0.2782616809460706,0.0023450223071181543,0.06692014009953111,0.6216996347743323,0.2725645913499873,0.5846819234410393,0.600202351878954,0.058823529411764705
node-frame,off,5,0.21090824698182892,0.0018869891391442117,0.13504290818443743,0.3341922763245656,0.2102998003914646,0.5846819234410393,0.600202351878954,0.058823529411764705
node-frame,on,4,0.27270300274203396,0.00673145008857745,0.06650314206173186,0.6077855328875745,0.2667071441533162,0.5846819234410393,0.600202351878954,0.058823529411764705
tsd,off,5,0.20977998426604255,0.0008489882132920637,0.13457003135315887,0.33199898689305785,0.20925785150509194,0.5846819234410393,0.600202351878954,0.058823529411764705
tsd,on,5,0.2789065996616674,0.002019064417080128,0.06674667673692777,0.6236744551517649,0.2733086465101717,0.5846819234410393,0.600202351878954,0.058823529411764705
