epoch,train_loss,evaluated,train_mrr,val_mrr,test_mrr,train_eval_loss,val_eval_loss,test_eval_loss,train_state_memory_norm,val_state_memory_norm,test_state_memory_norm
0,4.8113665918590955,False,,,,,,,,,
1,4.299422343181141,True,,0.01953125,0.029296875,,7.471099376678467,7.686047077178955,134.39599609375,146.76007080078125,155.2401123046875
2,,False,,,,,,,,,
3,,True,,1.0,1.0,,,,,,
4,,False,,,,,,,,,
5,,True,,1.0,1.0,,,,,,
6,,False,,,,,,,,,
7,,True,,1.0,1.0,,,,,,
8,,False,,,,,,,,,
9,,True,,1.0,1.0,,,,,,
10,,False,,,,,,,,,
11,,True,,1.0,1.0,,,,,,
12,,False,,,,,,,,,
13,,True,,1.0,1.0,,,,,,
14,,False,,,,,,,,,
15,,True,,1.0,1.0,,,,,,
16,,False,,,,,,,,,
17,,True,,1.0,1.0,,,,,,
18,,False,,,,,,,,,
19,,True,,1.0,1.0,,,,,,
