epoch,train_loss,evaluated,train_mrr,val_mrr,test_mrr,train_eval_loss,val_eval_loss,test_eval_loss,train_state_memory_norm,val_state_memory_norm,test_state_memory_norm
0,5.182522180075655,False,,,,,,,,,
1,4.244828338929993,True,,0.01953125,0.01953125,,10.435222625732422,10.468823432922363,182.90467834472656,199.22225952148438,210.65740966796875
2,3.854096974619848,False,,,,,,,,,
3,3.5984738152660056,True,,0.021484375,0.02734375,,12.327178001403809,12.505791664123535,217.01602172851562,235.66314697265625,249.09280395507812
4,,False,,,,,,,,,
5,,True,,1.0,1.0,,,,,,
6,,False,,,,,,,,,
7,,True,,1.0,1.0,,,,,,
8,,False,,,,,,,,,
9,,True,,1.0,1.0,,,,,,
10,,False,,,,,,,,,
11,,True,,1.0,1.0,,,,,,
12,,False,,,,,,,,,
13,,True,,1.0,1.0,,,,,,
14,,False,,,,,,,,,
15,,True,,1.0,1.0,,,,,,
16,,False,,,,,,,,,
17,,True,,1.0,1.0,,,,,,
18,,False,,,,,,,,,
19,,True,,1.0,1.0,,,,,,
20,,False,,,,,,,,,
21,,True,,1.0,1.0,,,,,,
22,,False,,,,,,,,,
23,,True,,1.0,1.0,,,,,,
24,,False,,,,,,,,,
25,,True,,1.0,1.0,,,,,,
26,,False,,,,,,,,,
27,,True,,1.0,1.0,,,,,,
28,,False,,,,,,,,,
29,,True,,1.0,1.0,,,,,,
30,,False,,,,,,,,,
31,,True,,1.0,1.0,,,,,,
32,,False,,,,,,,,,
33,,True,,1.0,1.0,,,,,,
34,,False,,,,,,,,,
35,,True,,1.0,1.0,,,,,,
36,,False,,,,,,,,,
37,,True,,1.0,1.0,,,,,,
38,,False,,,,,,,,,
39,,True,,1.0,1.0,,,,,,
40,,False,,,,,,,,,
41,,True,,1.0,1.0,,,,,,
42,,False,,,,,,,,,
43,,True,,1.0,1.0,,,,,,
44,,False,,,,,,,,,
45,,True,,1.0,1.0,,,,,,
46,,False,,,,,,,,,
47,,True,,1.0,1.0,,,,,,
48,,False,,,,,,,,,
49,,True,,1.0,1.0,,,,,,
50,,False,,,,,,,,,
51,,True,,1.0,1.0,,,,,,
52,,False,,,,,,,,,
53,,True,,1.0,1.0,,,,,,
54,,False,,,,,,,,,
55,,True,,1.0,1.0,,,,,,
56,,False,,,,,,,,,
57,,True,,1.0,1.0,,,,,,
58,,False,,,,,,,,,
59,,True,,1.0,1.0,,,,,,
60,,False,,,,,,,,,
61,,True,,1.0,1.0,,,,,,
62,,False,,,,,,,,,
63,,True,,1.0,1.0,,,,,,
64,,False,,,,,,,,,
65,,True,,1.0,1.0,,,,,,
66,,False,,,,,,,,,
67,,True,,1.0,1.0,,,,,,
68,,False,,,,,,,,,
69,,True,,1.0,1.0,,,,,,
70,,False,,,,,,,,,
71,,True,,1.0,1.0,,,,,,
72,,False,,,,,,,,,
73,,True,,1.0,1.0,,,,,,
74,,False,,,,,,,,,
75,,True,,1.0,1.0,,,,,,
76,,False,,,,,,,,,
77,,True,,1.0,1.0,,,,,,
78,,False,,,,,,,,,
79,,True,,1.0,1.0,,,,,,
80,,False,,,,,,,,,
81,,True,,1.0,1.0,,,,,,
82,,False,,,,,,,,,
83,,True,,1.0,1.0,,,,,,
84,,False,,,,,,,,,
85,,True,,1.0,1.0,,,,,,
86,,False,,,,,,,,,
87,,True,,1.0,1.0,,,,,,
88,,False,,,,,,,,,
89,,True,,1.0,1.0,,,,,,
90,,False,,,,,,,,,
91,,True,,1.0,1.0,,,,,,
92,,False,,,,,,,,,
93,,True,,1.0,1.0,,,,,,
94,,False,,,,,,,,,
95,,True,,1.0,1.0,,,,,,
96,,False,,,,,,,,,
97,,True,,1.0,1.0,,,,,,
98,,False,,,,,,,,,
99,,True,,1.0,1.0,,,,,,
