number,value,state,params_closure_hops,params_d,params_dropout,params_hidden_channels,params_layers,params_lr,params_temporal_bptt_steps,params_temporal_d_model,params_time_window,params_weight_decay,user_attrs_best_epoch,user_attrs_config_json,user_attrs_metric_name,user_attrs_search_best_test_metric
28,1.0,COMPLETE,1,4,0.15000000000000002,8,1,0.01047799575121039,4,64,,6.794457218175247e-08,8.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 1, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.15000000000000002, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 8, ""input_dropout"": 0.0, ""layers"": 1, ""left_weights"": true, ""linear"": false, ""lr"": 0.01047799575121039, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""model"": ""TemporalMambaSheaf"", ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 4, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 6.794457218175247e-08}",mrr,
19,1.0,COMPLETE,1,4,0.05,24,3,0.007175937029073601,2,64,,3.116282433858924e-08,12.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 1, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.05, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 24, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.007175937029073601, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 3.116282433858924e-08}",mrr,
21,1.0,COMPLETE,1,4,0.05,24,1,0.01066724161014827,2,64,,1.4145927901028872e-08,4.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 1, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.05, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 24, ""input_dropout"": 0.0, ""layers"": 1, ""left_weights"": true, ""linear"": false, ""lr"": 0.01066724161014827, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 1.4145927901028872e-08}",mrr,
16,1.0,COMPLETE,1,4,0.1,8,3,0.008278664815438819,2,64,,7.5835581763429006e-06,8.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 1, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.1, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 8, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.008278664815438819, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 7.5835581763429006e-06}",mrr,
1,0.015625,COMPLETE,2,2,0.1,8,3,0.0017779734905323187,2,64,,2.3877114115123664e-06,8.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 2, ""deg_normalised"": false, ""dropout"": 0.1, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 8, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.0017779734905323187, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 2.3877114115123664e-06}",mrr,
10,0.015625,COMPLETE,2,2,0.1,4,3,0.0017570553228176498,2,64,,3.5893091130493664e-05,12.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 2, ""deg_normalised"": false, ""dropout"": 0.1, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 4, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.0017570553228176498, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 3.5893091130493664e-05}",mrr,
14,0.0078125,COMPLETE,2,2,0.1,4,2,0.00781367619237135,2,64,,0.00047322097265762,4.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 2, ""deg_normalised"": false, ""dropout"": 0.1, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 4, ""input_dropout"": 0.0, ""layers"": 2, ""left_weights"": true, ""linear"": false, ""lr"": 0.00781367619237135, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 64, ""time_window"": null, ""use_act"": true, ""weight_decay"": 0.00047322097265762}",mrr,
5,0.0078125,COMPLETE,2,2,0.0,8,1,0.0023559510815342314,8,16,134930.0,7.812260155368107e-07,4.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 2, ""deg_normalised"": false, ""dropout"": 0.0, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 8, ""input_dropout"": 0.0, ""layers"": 1, ""left_weights"": true, ""linear"": false, ""lr"": 0.0023559510815342314, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 8, ""temporal_d_model"": 16, ""time_window"": 134930, ""use_act"": true, ""weight_decay"": 7.812260155368107e-07}",mrr,
2,0.0078125,COMPLETE,2,4,0.05,16,3,0.002527059967539685,4,32,,5.013861359373324e-06,8.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 2, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.05, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 16, ""input_dropout"": 0.0, ""layers"": 3, ""left_weights"": true, ""linear"": false, ""lr"": 0.002527059967539685, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 4, ""temporal_d_model"": 32, ""time_window"": null, ""use_act"": true, ""weight_decay"": 5.013861359373324e-06}",mrr,
30,0.0078125,COMPLETE,1,4,0.05,24,1,0.0018621188022016355,2,32,,1.0501484023490429e-08,4.0,"{""add_hp"": false, ""add_lp"": false, ""closure_hops"": 1, ""d"": 4, ""deg_normalised"": false, ""dropout"": 0.05, ""early_stopping_patience"": 8, ""edge_weights"": false, ""epochs"": 24, ""eval_every"": 4, ""evaluate_test"": false, ""hidden_channels"": 24, ""input_dropout"": 0.0, ""layers"": 1, ""left_weights"": true, ""linear"": false, ""lr"": 0.0018621188022016355, ""max_t"": 1.0, ""min_delta"": 0.0, ""min_epochs_before_stopping"": 8, ""model"": ""TemporalMambaSheaf"", ""normalised"": true, ""orth"": ""householder"", ""right_weights"": true, ""second_linear"": false, ""sheaf_act"": ""tanh"", ""skip_train_eval"": true, ""sparse_learner"": false, ""stateful_temporal"": true, ""temporal_bptt_steps"": 2, ""temporal_d_model"": 32, ""time_window"": null, ""use_act"": true, ""weight_decay"": 1.0501484023490429e-08}",mrr,
