time_window,window_label,edge_prefix,raw_unique_timestamps,estimated_snapshots,estimated_mean_edges,estimated_max_edges,estimated_min_edges,compression_ratio,timestamp_start,timestamp_end
,exact timestamps,1024,1004,1004,1.0199203491210938,3,1,1.0,0,28546
1.0,1,1024,1004,1004,1.0199203491210938,3,1,1.0,0,28546
4.0,4,1024,1004,952,1.0756303071975708,3,1,0.9482071713147411,0,28546
14.0,14,1024,1004,807,1.2688971757888794,4,1,0.8037848605577689,0,28546
51.0,51,1024,1004,462,2.2164502143859863,8,1,0.4601593625498008,0,28546
191.0,191,1024,1004,149,6.872483253479004,17,1,0.14840637450199204,0,28546
708.0,708,1024,1004,41,24.975608825683594,43,6,0.04083665338645418,0,28546
2631.0,2631,1024,1004,11,93.09091186523438,122,40,0.010956175298804782,0,28546
9774.0,9774,1024,1004,3,341.3333435058594,407,246,0.00298804780876494,0,28546
36316.0,36316,1024,1004,1,1024.0,1024,1024,0.00099601593625498,0,28546
134930.0,134930,1024,1004,1,1024.0,1024,1024,0.00099601593625498,0,28546
501325.0,501325,1024,1004,1,1024.0,1024,1024,0.00099601593625498,0,28546
1862652.0,1862652,1024,1004,1,1024.0,1024,1024,0.00099601593625498,0,28546
