epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.10417738550563077,0.04262500056182034,0.41313958168029785,394.5,359.9,716.2
2,0.07860681739202348,0.04037500066927169,0.4510626494884491,389.1,361.5,721.0
3,0.09119046485192486,0.05525000062328763,0.41495344042778015,383.5,360.8,721.0
4,0.06848173864701712,0.09125000074040145,0.3300116956233978,391.8,361.5,721.0
5,0.06863064805717596,0.03962500024214387,0.45569029450416565,393.6,361.9,721.0
6,0.058813108052704455,0.043000000429339706,0.44197919964790344,384.8,362.4,721.4
7,0.04817921831448759,0.061250000536674634,0.4486309587955475,392.3,369.0,721.4
8,0.04917062440476172,0.027500000195926987,0.4449406862258911,392.4,366.5,721.4
9,0.07302072929891783,0.03662500034726691,0.48891255259513855,400.4,372.4,721.4
10,0.07681480071832833,0.036625000302447,0.5462429523468018,414.8,403.5,721.4
