epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.11191072066235033,0.06912500084005296,0.37607669830322266,431.1,401.4,716.2
2,0.06536330881599042,0.044750000470085066,0.42363178730010986,425.5,403.0,721.0
3,0.06962591194384243,0.05800000066030771,0.37868985533714294,432.9,415.1,721.0
4,0.05867342066361708,0.033750000454834665,0.4835146367549896,430.1,421.7,721.0
5,0.06878982217871432,0.04087500037578866,0.4262606203556061,439.6,416.1,721.0
6,0.07005199211231176,0.031250000450527296,0.4697881042957306,471.8,448.7,721.4
7,0.09887931685228854,0.07725000060594175,0.4536685049533844,465.0,451.7,721.4
8,0.05713139835313179,0.03112500017450657,0.4586179256439209,464.5,419.4,721.4
9,0.053498093916730126,0.05187500050314702,0.4697316586971283,435.0,430.8,721.4
10,0.06358691006388976,0.014000000113854185,0.4176572859287262,439.0,421.1,721.4
11,0.07839759978827167,0.04162500028661452,0.5321741700172424,446.5,430.8,721.4
12,0.053361065809475486,0.011125000073341653,0.6464363932609558,467.7,443.2,721.4
13,0.06616364289285097,0.03162500018090941,0.49091053009033203,456.8,424.2,721.4
14,0.16107828964549753,0.028000000132946297,0.7052915692329407,445.9,452.1,721.4
15,0.14847629154685904,0.03662500025355257,0.6657341122627258,433.5,418.6,721.4
16,0.19233451487133565,0.023125000171596185,0.45064762234687805,431.3,406.4,721.4
17,0.14645161535020995,0.05062500041362364,0.3346293866634369,424.0,402.8,721.4
