epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.10338793733335684,0.15262500115041622,0.30381226539611816,2144.5,2232.2,2517.1
2,0.09088001082982754,0.19450000171316786,0.21453054249286652,2312.9,2244.9,2522.7
3,0.08961797417988836,0.18925000126054511,0.2582503855228424,2263.7,2251.9,2523.8
4,0.0831741113157196,0.23525000145682134,0.21546335518360138,2108.2,2101.3,2523.8
5,0.07537336452187739,0.15087500132108106,0.23620213568210602,2057.9,2094.3,2523.9
6,0.07837425182706972,0.143375001227716,0.24720625579357147,2081.9,2102.1,2523.9
7,0.12283128191388532,0.13600000143633223,0.24962611496448517,2056.7,2088.2,2523.9
8,0.1174190085210302,0.10012500060000457,0.2523047626018524,2052.3,2094.2,2523.9
9,0.12179053700296583,0.1448750015120022,0.24313108623027802,2048.6,2085.4,2523.9
10,0.13782441715879332,0.1372500014307443,0.2622773349285126,2047.5,2072.9,2523.9
