epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.10697711484743681,0.04237500044913031,0.44779345393180847,441.6,409.9,716.2
2,0.07974474477355223,0.06387500051711686,0.43084025382995605,435.9,410.5,721.0
3,0.09206997612446259,0.05962500059697777,0.6317230463027954,445.1,410.3,721.0
4,0.07191537665878085,0.03512500041141175,0.5201275944709778,445.7,425.6,721.0
5,0.061845562761820454,0.02437500021699816,0.5287370085716248,440.1,418.9,721.0
6,0.06072514865895352,0.06862500065215864,0.4574376344680786,470.7,450.1,721.4
7,0.09770903763017841,0.03300000013271347,0.4897991120815277,473.2,445.0,721.4
8,0.04978043164535997,0.02025000012200326,0.44194361567497253,465.7,416.8,721.4
9,0.05076436136163855,0.021625000313855707,0.4864121377468109,434.7,421.3,721.4
10,0.04283482356014963,0.061000000597443434,0.40125012397766113,435.5,425.7,721.4
11,0.046923899304739614,0.035625000317581,0.4516794681549072,445.6,429.0,721.4
12,0.06574769169107175,0.04562500038580038,0.4295670986175537,475.1,448.6,721.4
13,0.05048615870196462,0.03500000039534643,0.6655586361885071,450.7,421.2,721.4
14,0.07614090215180808,0.011875000117579476,3.888805627822876,436.3,412.5,721.4
15,0.11343461354885508,0.059750000505475326,0.6535249948501587,425.3,405.1,721.4
16,0.10610951229617983,0.06587500088708476,0.36747753620147705,427.2,409.0,721.4
