epoch,train_loss,track_val_mrr,track_val_loss,train_sec,track_eval_sec,peak_gpu_mem_mb
1,0.10145454931698272,0.12912500134273433,0.2788051664829254,2220.3,2251.2,2525.5
2,0.0722079740565768,0.2687500020056032,0.19249282777309418,2209.3,2238.9,2531.7
3,0.06763747712948184,0.1995000018698629,0.20086491107940674,2193.2,2254.5,2531.7
4,0.06557434976967756,0.26862500128056854,0.15275408327579498,2210.4,2227.4,2531.7
5,0.053346182127301724,0.30412500267708675,0.1181512400507927,2156.5,2232.7,2531.7
6,0.045941614285700066,0.32137500230036675,0.13110700249671936,2152.3,2163.6,2531.7
7,0.0437388826933226,0.1958750009131618,0.1762215942144394,2133.4,2180.3,2531.7
8,0.0664238882134481,0.20075000165891835,0.1998395323753357,2123.8,2158.3,2531.7
9,0.05107359179144128,0.20800000216113404,0.1384063959121704,1995.4,2103.5,2531.7
10,0.054679549445102706,0.19962500213133172,0.20084381103515625,2018.7,2107.6,2531.7
